Z,Element,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,6s1/2,7s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,6p1/2,6p3/2,3d3/2,3d5/2,4d3/2,4d5/2,5d3/2,5d5/2,4f5/2,4f7/2,5f5/2,5f7/2
30,Zn,9658.6,1193.6,135.9,,,,,1042.8,1019.7,88.6,85.6,,,,,,,,,,,,,,,,
31,Ga,,1297.7,158.1,,,,,1142.3,1115.4,106.8,102.9,,,,,,,,,,,,,,,,
32,Ge,,1414.3,180,,,,,1247.8,1216.7,127.9,120.8,,,,,,,,,,,,,,,,
33,As,,1526.5,203.5,,,,,1358.6,1323.1,146.4,140.5,,,,,,,,,,,,,,,,
34,Se,,1653.9,231.5,,,,,1476.2,1435.8,168.2,161.9,,,,,,,57.4,56.4,,,,,,,,
35,Br,,1782,256.5,,,,,1596,1549.9,189.3,181.5,,,,,,,70.1,69,,,,,,,,
36,Kr,,1921,292.1,,,,,1727.2,1674.9,222.1,214.4,,,,,,,95,93.8,,,,,,,,
37,Rb,,2065.1,322.1,,,,,1863.9,1804.4,247.4,238.5,,,,,,,111.8,110.3,,,,,,,,
38,Sr,,2216.3,357.5,,,,,2006.8,1939.6,279.8,269.1,,,,,,,135,133.1,,,,,,,,
39,Y,,2372.5,393.6,,,,,2155.5,2080,312.4,300.3,,,,,,,159.6,157.4,,,,,,,,
40,Zr,,2531.6,430.3,51.3,,,,2306.7,2222.3,344.2,330.5,,,,,,,182.4,180,,,,,,,,
41,Nb,,2697.7,468.4,58.1,,,,2464.7,2370.5,378.4,363,,,,,,,207.4,204.6,,,,,,,,
42,Mo,,2865.5,504.6,61.8,,,,2625.1,2520.2,409.7,392.3,,,,,,,230.3,227,,,,,,,,
43,Tc,,3042.5,544,68.8,,,,2793.2,2676.9,444.9,425,,,,,,,256.4,252.9,,,,,,,,
44,Ru,,3224,585,74.9,,,,2966.9,2837.9,482.8,460.6,,,,,,,283.6,279.4,,,,,,,,
45,Rh,,3411.9,627.1,81,,,,3146.1,3003.8,521,496.2,51.9,,,,,,311.7,307,,,,,,,,
46,Pd,,3604.3,669.9,86.4,,,,3330.3,3173.3,559.1,531.5,54.4,50,,,,,340,334.7,,,,,,,,
47,Ag,,3805.8,717.5,95.2,,,,3523.7,3351.1,602.4,571.4,62.6,55.9,,,,,372.8,366.7,,,,,,,,
48,Cd,,4018,770.2,107.6,,,,3727,3537.5,650.7,616.5,70.8,65,,,,,410.5,403.7,,,,,,,,
49,In,,4237.5,825.6,121.9,,,,3938,3730.1,702.2,664.3,81.9,75.1,,,,,450.8,443.1,,,,,,,,
50,Sn,,4464.7,883.8,136.5,,,,4156.1,3928.8,756.4,714.4,93.9,86,,,,,493.3,484.8,,,,,,,,
51,Sb,,4698.3,943.7,152,,,,4380.4,4132.3,811.9,765.6,104.3,95.4,,,,,536.9,527.5,,,,,,,,
52,Te,,4939.2,1006,168.3,,,,4612,4341.4,869.7,818.7,116.8,96.9,,,,,582.5,572.1,,,,,,,,
53,I,,5188.1,1072.1,186.4,,,,4852.1,4557.1,930.5,874.6,130.1,119,,,,,631.3,619.4,,,,,,,,
54,Xe,,5452.8,1148.4,217.7,,,,5103.7,4782.2,999,937,163.9,156.5,,,,,690.6,674.7,67.6,67.6,,,,,,
55,Cs,,5714.3,1217.1,230.8,,,,5359.4,5011.9,1065,997.6,172.3,161.6,,,,,739.5,725.5,76.5,76.5,,,,,,
56,Ba,,5988.8,1292.8,253,,,,5623.6,5247,1136.7,1062.2,191.8,179.7,,,,,796.1,780.7,89.9,89.9,,,,,,
57,La,,6266.3,1361.3,270.4,,,,5890.6,5482.7,1204.4,1123.4,205.8,191.4,,,,,848.5,831.7,97.7,97.7,,,,,,
58,Ce,,6548.8,1434.6,289.6,,,,6164.2,5723.4,1272.8,1185.4,223.3,207.2,,,,,901.3,883.3,107.6,107.6,,,,,,
59,Pr,,6834.8,1511,304.5,,,,6440.4,5964.3,1337.4,1242.2,236.3,217.6,,,,,951.1,931,110.1,110.1,,,,,,
60,Nd,,7126,1575.3,315.2,,,,6721.5,6207.9,1402.8,1297.4,243.3,224.6,,,,,999.9,977.7,113.5,113.5,,,,,,
61,Pm,,7427.9,1648.6,331.4,,,,7012.8,6459.3,1471.4,1356.9,254.7,236.2,,,,,1051.5,1026.9,115.6,115.6,,,,,,
62,Sm,,7736.8,1722.8,345.7,,,,7311.8,6716.2,1540.7,1419.8,265.6,247.4,,,,,1106,1080.2,123.3,123.3,,,,,,
63,Eu,,8052,1800,360.2,,,,7617.1,6976.9,1613.9,1480.6,283.9,256.6,,,,,1160.6,1130.9,127.7,127.7,,,,,,
64,Gd,,8375.6,1880.8,375.8,,,,7930.3,7242.8,1688.3,1544,288.5,270.9,,,,,1217.2,1185.2,134.5,134.5,,,,,,
65,Tb,,8708,1967.5,397.9,,,,8251.6,7514,1767.7,1611.3,310.2,285,,,,,1275,1241.2,142,142,,,,,,
66,Dy,,9045.8,2046.8,416.3,62.9,,,8580.6,7790.1,1841.8,1675.6,331.8,292.9,,,,,1332.5,1294.9,149.4,149.4,,,,,,
67,Ho,,9394.2,2128.3,435.7,51.2,,,8917.8,8071.1,1922.8,1741.2,343.5,306.6,,,,,1391.5,1351.4,156.5,156.5,,,,,,
68,Er,,9751.3,2216.7,449.1,59.8,,,9264.3,8357.9,2005.8,1811.8,366.2,320,,,,,1453.3,1409.3,167.6,167.6,,,,,,
69,Tm,,,2306.8,471.7,53.2,,,9616.9,8648,2089.8,1884.5,385.9,336.6,,,,,1514.6,1467.7,175.7,175.7,,,,,,
70,Yb,,,2398.1,487.2,54.1,,,9978.2,8943.6,2173,1949.8,396.7,343.5,,,,,1576.3,1527.8,184.9,184.9,,,,,,
71,Lu,,,2491.2,506.2,56.8,,,,9244.1,2263.5,2023.6,410.1,359.3,,,,,1639.4,1588.5,195,195,,,,,,
72,Hf,,,2600.9,538.1,64.9,,,,9560.7,2365.4,2107.6,437,380.4,,,,,1716.4,1661.7,213.7,213.7,,,,,,
73,Ta,,,2708,565.5,71.1,,,,9881.1,2468.7,2194,464.8,404.5,,,,,1793.2,1735.1,229.3,229.3,,,,,,
74,W,,,2819.6,595,77.1,,,,,2574.9,2281,491.6,425.3,,,,,1871.6,1809.2,245.4,245.4,,,,,,
75,Re,,,2931.7,625,82.8,,,,,2681.6,2367.3,517.9,444.4,,,,,1948.9,1882.9,260.2,260.2,,,,,,
76,Os,,,3048.5,654.3,83.7,,,,,2792.2,2457.2,546.5,468.2,58,,,,2030.8,1960.1,272.8,272.8,,,53.8,51,,
77,Ir,,,3173.7,690.1,95.2,,,,,2908.7,2550.7,577.1,494.3,63,,,,2116.1,2040.4,294.9,294.9,,,63.8,60.8,,
78,Pt,,,3297.2,722.8,101.7,,,,,3026.7,2645.7,608.4,519,65.3,51.6,,,2201.7,2121.4,313.4,313.4,,,74.3,70.9,,
79,Au,,,3424.9,758.8,107.8,,,,,3147.8,2743,643.7,545.4,71.7,56.9,,,2291.1,2205.7,333.9,333.9,,,87.3,83.7,,
80,Hg,,,3561.6,803,120.3,,,,,3278.5,2847.1,676.9,571,80.5,61.8,,,2384.9,2294.9,359.8,359.8,,,103.3,99.4,,
81,Tl,,,3704.1,845.5,136.3,,,,,3415.7,2956.6,721.3,609,99.6,74.5,,,2485.1,2389.3,386.2,386.2,,,123,118.7,,
82,Pb,,,3850.7,893.6,147.3,,,,,3554.2,3066.4,763.9,644.5,104.8,84.5,,,2585.6,2484,412.9,412.9,,,141.8,136.9,,
83,Bi,,,3999.1,938.2,159.3,,,,,3696.3,3176.9,805.3,678.9,116.8,92.9,,,2687.6,2579.6,440,440,,,162.3,157.2,,
84,Po,,,4153.5,987.5,177.5,,,,,3844.3,3293.4,850.9,715.2,131.8,103.7,,,2793.6,2679.2,469.9,469.9,,,184.6,178.9,,
85,At,,,4311.7,1038.2,193.4,,,,,3995.8,3410.5,897.7,753.7,145.6,113.6,,,2901.8,2780.7,500.1,500.1,,,207,200.8,,
86,Rn,,,4474.3,1090.5,209.6,,,,,4151.5,3530.5,946.2,791.2,159.5,123.9,,,3012.3,2884.2,531.1,531.1,,,230.1,223.6,,
87,Fr,,,4645.7,1149,230.9,,,,,4316,3657.3,1000.7,835.1,178.7,138.7,,,3129.7,2994.9,567.5,567.5,,,258.6,251.6,,
88,Ra,,,4822,1208.4,254.4,,,,,4485,3786.6,1057.6,879.1,200.4,152.8,,,3248.4,3104.9,602.7,602.7,,,287.9,280.4,,
89,Ac,,,5000.6,1269.4,273.5,,,,,4656.8,3916.7,,924.3,216.9,167.8,,,3370.1,3219.7,641.1,641.1,,,316.4,308.4,,
90,Th,,,5182.3,1329.5,290.2,,,,,4830.4,4046.1,,967.2,232,180.8,,,3490.8,3332,676.6,676.6,,,344.4,335,,
91,Pa,,,5366.9,1387.1,309.6,,,,,5002.7,4173.8,,1006.7,244.6,186.3,,,3606.4,3439.4,708.2,708.2,,,371.2,359.5,,
92,U,,,5548,1440.8,323.3,,,,,5182.2,4303.4,,1044.9,259.3,195.9,,,3727.6,3551.7,,737.7,,,390.7,379.9,,
93,Np,,,5739.6,1500.1,339.8,,,,,5366.7,4433.4,,1086,283.4,206,,,3849.8,3665.2,,770.8,,,414.3,403.4,,
94,Pu,,,5932.9,1559.3,,,,,,5541.2,4556.6,,1120.9,282.5,215.3,,,3972.6,3778.1,,801.5,,,437.4,425.2,,
95,Am,,,6132.6,1619.2,,,,,,5747,4706,,1168,303,216.4,,,4092.1,3886.9,,830,,,463.3,449,,
96,Cm,,,6342.5,1688.6,,,,,,5943.3,4841.5,,1211,317.7,231.7,,,4229.4,4014.9,,864.8,,,487.4,472.7,,
97,Bk,,,6547.6,1748.3,,,,,,6139.9,4975.3,,1248,,245.9,,,4353.4,4128.8,,,,,,,,
98,Cf,,,6764,1816,,,,,,6347.5,5117.1,,1291.5,,248.8,,,4485.3,4249.9,,933.1,,,,,,
