PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
10,1.5705E+04,1.3889E+04,1.5859E+03,2.2039E+02,9.6078E+00,1.3889E+04,1.0171E+03,2.0013E+02,3.6871E+02,1.4564E+02,2.5960E+01,4.7794E+01,4.0928E-01,5.8256E-01,9.6078E+00,,,,,,,,,,,,,,,,,,
15,5.2145E+03,4.6481E+03,4.9353E+02,6.9463E+01,3.3725E+00,4.6481E+03,3.5664E+02,4.8610E+01,8.8280E+01,5.1127E+01,6.4569E+00,1.1715E+01,6.7839E-02,9.5675E-02,3.3725E+00,,,,,,,,,,,,,,,,,,
20,2.3227E+03,2.0778E+03,2.1306E+02,3.0208E+01,1.5591E+00,2.0778E+03,1.6451E+02,1.7377E+01,3.1181E+01,2.3634E+01,2.3378E+00,4.1913E+00,1.8439E-02,2.5790E-02,1.5591E+00,,,,,,,,,,,,,,,,,,
30,7.1986E+02,6.4603E+02,6.4153E+01,9.1684E+00,5.0603E-01,6.4603E+02,5.3209E+01,3.9673E+00,6.9765E+00,7.6704E+00,5.4071E-01,9.5049E-01,2.8880E-03,3.9843E-03,5.0603E-01,,,,,,,,,,,,,,,,,,
40,3.0752E+02,2.7635E+02,2.7059E+01,3.8845E+00,2.2228E-01,2.7635E+02,2.3317E+01,1.3713E+00,2.3704E+00,3.3694E+00,1.8847E-01,3.2481E-01,7.7194E-04,1.0525E-03,2.2228E-01,,,,,,,,,,,,,,,,,,
50,1.5746E+02,1.4160E+02,1.3764E+01,1.9798E+00,1.1599E-01,1.4160E+02,1.2146E+01,5.9849E-01,1.0190E+00,1.7563E+00,8.2654E-02,1.4027E-01,2.7750E-04,3.7440E-04,1.1599E-01,,,,,,,,,,,,,,,,,,
60,9.0663E+01,8.1565E+01,7.8925E+00,1.1376E+00,6.7690E-02,8.1565E+01,7.0791E+00,3.0355E-01,5.0985E-01,1.0248E+00,4.2061E-02,7.0419E-02,1.2055E-04,1.6133E-04,6.7690E-02,,,,,,,,,,,,,,,,,,
80,3.7648E+01,3.3885E+01,3.2632E+00,4.7158E-01,2.8626E-02,3.3885E+01,2.9882E+00,1.0417E-01,1.7084E-01,4.3331E-01,1.4496E-02,2.3695E-02,3.2665E-05,4.3038E-05,2.8626E-02,,,,,,,,,,,,,,,,,,
100,1.8955E+01,1.7064E+01,1.6395E+00,2.3733E-01,1.4583E-02,1.7064E+01,1.5204E+00,4.5679E-02,7.3423E-02,2.2072E-01,6.3754E-03,1.0210E-02,1.2011E-05,1.5658E-05,1.4583E-02,,,,,,,,,,,,,,,,,,
150,5.4352E+00,4.8937E+00,4.6914E-01,6.8081E-02,4.2521E-03,4.8937E+00,4.4248E-01,1.0469E-02,1.6195E-02,6.4349E-02,1.4670E-03,2.2606E-03,2.0413E-06,2.6136E-06,4.2521E-03,,,,,,,,,,,,,,,,,,
200,2.2557E+00,2.0311E+00,1.9460E-01,2.8278E-02,1.7805E-03,2.0311E+00,1.8508E-01,3.7940E-03,5.7244E-03,2.6943E-02,5.3299E-04,8.0045E-04,6.0848E-07,7.7779E-07,1.7805E-03,,,,,,,,,,,,,,,,,,
300,6.7373E-01,6.0663E-01,5.8109E-02,8.4554E-03,5.3664E-04,6.0663E-01,5.5716E-02,9.7033E-04,1.4221E-03,8.1194E-03,1.3621E-04,1.9955E-04,1.2090E-07,1.5729E-07,5.3664E-04,,,,,,,,,,,,,,,,,,
400,2.9763E-01,2.6798E-01,2.5673E-02,3.7367E-03,2.3809E-04,2.6798E-01,2.4712E-02,3.9021E-04,5.7122E-04,3.6016E-03,5.4847E-05,8.0145E-05,4.1355E-08,5.6187E-08,2.3809E-04,,,,,,,,,,,,,,,,,,
500,1.6340E-01,1.4713E-01,1.4091E-02,2.0514E-03,1.3105E-04,1.4713E-01,1.3593E-02,2.0035E-04,2.9673E-04,1.9816E-03,2.8162E-05,4.1642E-05,1.8969E-08,2.7010E-08,1.3105E-04,,,,,,,,,,,,,,,,,,
600,1.0287E-01,9.2627E-02,8.8661E-03,1.2910E-03,8.2630E-05,9.2627E-02,8.5661E-03,1.1975E-04,1.8024E-04,1.2488E-03,1.6817E-05,2.5335E-05,1.0330E-08,1.5637E-08,8.2630E-05,,,,,,,,,,,,,,,,,,
800,5.2397E-02,4.7187E-02,4.5109E-03,6.5693E-04,4.2197E-05,4.7187E-02,4.3667E-03,5.6192E-05,8.8001E-05,6.3664E-04,7.8831E-06,1.2394E-05,4.2467E-09,7.1474E-09,4.2197E-05,,,,,,,,,,,,,,,,,,
1000,3.2594E-02,2.9356E-02,2.8030E-03,4.0821E-04,2.6313E-05,2.9356E-02,2.7165E-03,3.2726E-05,5.3725E-05,3.9607E-04,4.6034E-06,7.5357E-06,2.2771E-09,4.1768E-09,2.6313E-05,,,,,,,,,,,,,,,,,,
1500,1.5211E-02,1.3704E-02,1.3049E-03,1.9008E-04,1.2399E-05,1.3704E-02,1.2670E-03,1.3732E-05,2.4226E-05,1.8474E-04,1.9218E-06,3.4206E-06,8.5377E-10,1.8247E-09,1.2399E-05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,2.4,3.6,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
