PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
5,1.3146E+05,0.0000E+00,1.0715E+05,2.0999E+04,3.3093E+03,0.0000E+00,2.1664E+04,3.0603E+04,5.4882E+04,4.6067E+03,4.1777E+03,7.5762E+03,1.9270E+03,2.7118E+03,8.9995E+02,6.8326E+02,1.2262E+03,1.9683E+02,2.7359E+02,2.9447E+01,,,,,,,,,,,,,
6,8.1859E+04,0.0000E+00,6.6838E+04,1.2939E+04,2.0819E+03,0.0000E+00,1.5589E+04,1.8501E+04,3.2748E+04,3.2031E+03,2.6322E+03,4.7125E+03,9.9632E+02,1.3952E+03,6.2111E+02,4.3103E+02,7.6431E+02,1.0318E+02,1.4191E+02,2.0304E+01,,,,,,,,,,,,,
8,3.8187E+04,0.0000E+00,3.1230E+04,5.9666E+03,9.9022E+02,0.0000E+00,8.9902E+03,8.1283E+03,1.4111E+04,1.7710E+03,1.2277E+03,2.1536E+03,3.4088E+02,4.7333E+02,3.4058E+02,2.0197E+02,3.5121E+02,3.6104E+01,4.9233E+01,1.1122E+01,,,,,,,,,,,,,
10,2.0893E+04,0.0000E+00,1.7095E+04,3.2475E+03,5.5062E+02,0.0000E+00,5.7106E+03,4.2049E+03,7.1794E+03,1.0999E+03,6.6156E+02,1.1418E+03,1.4474E+02,1.9951E+02,2.1067E+02,1.0933E+02,1.8714E+02,1.5550E+01,2.1049E+01,6.8758E+00,,,,,,,,,,,,,
15,6.8464E+03,0.0000E+00,5.6016E+03,1.0592E+03,1.8553E+02,0.0000E+00,2.3744E+03,1.2154E+03,2.0119E+03,4.4587E+02,2.0379E+02,3.4096E+02,2.9097E+01,3.9502E+01,8.5012E+01,3.3950E+01,5.6358E+01,3.1865E+00,4.2475E+00,2.7727E+00,,,,,,,,,,,,,
20,3.0634E+03,0.0000E+00,2.5055E+03,4.7338E+02,8.4510E+01,0.0000E+00,1.2261E+03,4.8894E+02,7.9053E+02,2.2816E+02,8.5094E+01,1.3902E+02,9.0159E+00,1.2085E+01,4.3428E+01,1.4251E+01,2.3103E+01,9.9814E-01,1.3136E+00,1.4159E+00,,,,,,,,,,,,,
25.465,1.5485E+03,0.0000E+00,1.2660E+03,2.3920E+02,4.3301E+01,0.0000E+00,6.8793E+02,2.2378E+02,3.5431E+02,1.2755E+02,3.9998E+01,6.3962E+01,3.3108E+00,4.3843E+00,2.4261E+01,6.7263E+00,1.0673E+01,3.6933E-01,4.8019E-01,7.9078E-01,,,,,,,,,,,,,
25.669,9.6074E+03,8.0935E+03,1.2377E+03,2.3385E+02,4.2351E+01,8.0935E+03,6.7472E+02,2.1803E+02,3.4496E+02,1.2508E+02,3.9002E+01,6.2322E+01,3.2023E+00,4.2389E+00,2.3793E+01,6.5595E+00,1.0401E+01,3.5733E-01,4.6436E-01,7.7549E-01,,,,,,,,,,,,,
30,6.4337E+03,5.4621E+03,7.9416E+02,1.5006E+02,2.7395E+01,5.4621E+03,4.5964E+02,1.3071E+02,2.0382E+02,8.5119E+01,2.3729E+01,3.7362E+01,1.6656E+00,2.1857E+00,1.6189E+01,4.0005E+00,6.2511E+00,1.8663E-01,2.4045E-01,5.2756E-01,,,,,,,,,,,,,
40,2.9836E+03,2.5574E+03,3.4822E+02,6.5818E+01,1.2169E+01,2.5574E+03,2.2187E+02,5.0237E+01,7.6112E+01,4.1079E+01,9.3340E+00,1.4274E+01,4.9400E-01,6.3709E-01,7.8152E+00,1.5820E+00,2.3906E+00,5.5707E-02,7.0534E-02,2.5456E-01,,,,,,,,,,,,,
50,1.6169E+03,1.3930E+03,1.8281E+02,3.4567E+01,6.4462E+00,1.3930E+03,1.2402E+02,2.3721E+01,3.5077E+01,2.2983E+01,4.4737E+00,6.6750E+00,1.9161E-01,2.4350E-01,4.3743E+00,7.6010E-01,1.1207E+00,2.1691E-02,2.7063E-02,1.4244E-01,,,,,,,,,,,,,
60,9.7165E+02,8.3979E+02,1.0767E+02,2.0367E+01,3.8211E+00,8.3979E+02,7.6342E+01,1.2797E+01,1.8527E+01,1.4166E+01,2.4392E+00,3.5622E+00,8.8367E-02,1.1089E-01,2.6966E+00,4.1518E-01,5.9911E-01,1.0031E-02,1.2358E-02,8.7810E-02,,,,,,,,,,,,,
80,4.2929E+02,3.7235E+02,4.6478E+01,8.7988E+00,1.6643E+00,3.7235E+02,3.4939E+01,4.8149E+00,6.7243E+00,6.4992E+00,9.3066E-01,1.3107E+00,2.6149E-02,3.2142E-02,1.2376E+00,1.5880E-01,2.2097E-01,2.9792E-03,3.5941E-03,4.0303E-02,,,,,,,,,,,,,
100,2.2593E+02,1.9633E+02,2.4153E+01,4.5755E+00,8.6998E-01,1.9633E+02,1.8838E+01,2.2564E+00,3.0586E+00,3.5115E+00,4.4002E-01,6.0139E-01,1.0246E-02,1.2394E-02,6.6889E-01,7.5203E-02,1.0154E-01,1.1700E-03,1.3891E-03,2.1784E-02,,,,,,,,,,,,,
150,6.9664E+01,6.0663E+01,7.3416E+00,1.3926E+00,2.6677E-01,6.0663E+01,6.0271E+00,5.7638E-01,7.3812E-01,1.1277E+00,1.1377E-01,1.4692E-01,1.9237E-03,2.2701E-03,2.1494E-01,1.9498E-02,2.4860E-02,2.2048E-04,2.5511E-04,7.0008E-03,,,,,,,,,,,,,
200,3.0266E+01,2.6376E+01,3.1722E+00,6.0223E-01,1.1582E-01,2.6376E+01,2.6738E+00,2.2340E-01,2.7501E-01,5.0144E-01,4.4372E-02,5.5094E-02,6.1105E-04,7.0754E-04,9.5610E-02,7.6163E-03,9.3321E-03,7.0000E-05,8.0150E-05,3.1145E-03,,,,,,,,,,,,,
300,9.5643E+00,8.3403E+00,9.9788E-01,1.8955E-01,3.6619E-02,8.3403E+00,8.6371E-01,6.1689E-02,7.2487E-02,1.6233E-01,1.2355E-02,1.4588E-02,1.3054E-04,1.5152E-04,3.0979E-02,2.1200E-03,2.4780E-03,1.4946E-05,1.7225E-05,1.0094E-03,,,,,,,,,,,,,
400,4.3680E+00,3.8104E+00,4.5451E-01,8.6375E-02,1.6720E-02,3.8104E+00,3.9863E-01,2.5971E-02,2.9913E-02,7.5015E-02,5.2191E-03,6.0391E-03,4.6516E-05,5.5351E-05,1.4319E-02,8.9599E-04,1.0261E-03,5.3232E-06,6.3127E-06,4.6674E-04,,,,,,,,,,,,,
500,2.4488E+00,2.1369E+00,2.5419E-01,4.8314E-02,9.3634E-03,2.1369E+00,2.2471E-01,1.3739E-02,1.5745E-02,4.2314E-02,2.7667E-03,3.1846E-03,2.1739E-05,2.7060E-05,8.0780E-03,4.7517E-04,5.4123E-04,2.4959E-06,3.0726E-06,2.6345E-04,,,,,,,,,,,,,
600,1.5621E+00,1.3636E+00,1.6177E-01,3.0748E-02,5.9637E-03,1.3636E+00,1.4376E-01,8.3793E-03,9.6327E-03,2.7081E-02,1.6904E-03,1.9493E-03,1.2105E-05,1.5791E-05,5.1701E-03,2.9027E-04,3.3139E-04,1.3910E-06,1.7837E-06,1.6873E-04,,,,,,,,,,,,,
800,8.0593E-01,7.0398E-01,8.3098E-02,1.5789E-02,3.0656E-03,7.0398E-01,7.4344E-02,4.0344E-03,4.7195E-03,1.4006E-02,8.1579E-04,9.5477E-04,5.1758E-06,7.0436E-06,2.6742E-03,1.4004E-04,1.6253E-04,5.8519E-07,8.1364E-07,8.7441E-05,,,,,,,,,,,,,
1000,5.0278E-01,4.3942E-01,5.1644E-02,9.8108E-03,1.9059E-03,4.3942E-01,4.6393E-02,2.4004E-03,2.8504E-03,8.7406E-03,4.8423E-04,5.7900E-04,2.7840E-06,4.1779E-06,1.6688E-03,8.3170E-05,9.8430E-05,3.1676E-07,4.7237E-07,5.4725E-05,,,,,,,,,,,,,
1500,2.3262E-01,2.0350E-01,2.3737E-02,4.5058E-03,8.7646E-04,2.0350E-01,2.1442E-02,1.0263E-03,1.2683E-03,4.0382E-03,2.0724E-04,2.5761E-04,1.0369E-06,1.7146E-06,7.7110E-04,3.5572E-05,4.3892E-05,1.1690E-07,1.9939E-07,2.5583E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
