PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
20,1.3888E+02,1.2924E+02,9.0237E+00,6.1201E-01,0.0000E+00,1.2924E+02,8.5208E+00,1.7378E-01,3.2909E-01,6.0872E-01,1.1400E-03,2.1522E-03,,,,,,,,,,,,,,,,,,,,,
30,3.9080E+01,3.6371E+01,2.5344E+00,1.7483E-01,0.0000E+00,3.6371E+01,2.4351E+00,3.4619E-02,6.4700E-02,1.7417E-01,2.2766E-04,4.2400E-04,,,,,,,,,,,,,,,,,,,,,
40,1.5702E+01,1.4613E+01,1.0180E+00,7.0834E-02,0.0000E+00,1.4613E+01,9.8670E-01,1.1018E-02,2.0282E-02,7.0628E-02,7.2366E-05,1.3321E-04,,,,,,,,,,,,,,,,,,,,,
50,7.6968E+00,7.1628E+00,4.9903E-01,3.4909E-02,0.0000E+00,7.1628E+00,4.8625E-01,4.5307E-03,8.2482E-03,3.4825E-02,2.9764E-05,5.4204E-05,,,,,,,,,,,,,,,,,,,,,
60,4.2857E+00,3.9882E+00,2.7799E-01,1.9511E-02,0.0000E+00,3.9882E+00,2.7184E-01,2.1968E-03,3.9584E-03,1.9470E-02,1.4434E-05,2.6025E-05,,,,,,,,,,,,,,,,,,,,,
80,1.6950E+00,1.5773E+00,1.1001E-01,7.7540E-03,0.0000E+00,1.5773E+00,1.0805E-01,7.0607E-04,1.2506E-03,7.7411E-03,4.6401E-06,8.2241E-06,,,,,,,,,,,,,,,,,,,,,
100,8.2447E-01,7.6715E-01,5.3532E-02,3.7830E-03,0.0000E+00,7.6715E-01,5.2721E-02,2.9589E-04,5.1580E-04,3.7777E-03,1.9426E-06,3.3947E-06,,,,,,,,,,,,,,,,,,,,,
150,2.2362E-01,2.0806E-01,1.4531E-02,1.0304E-03,0.0000E+00,2.0806E-01,1.4361E-02,6.3077E-05,1.0679E-04,1.0292E-03,4.1366E-07,7.0328E-07,,,,,,,,,,,,,,,,,,,,,
200,8.9703E-02,8.3457E-02,5.8323E-03,4.1418E-04,0.0000E+00,8.3457E-02,5.7740E-03,2.1879E-05,3.6399E-05,4.1380E-04,1.4326E-07,2.3986E-07,,,,,,,,,,,,,,,,,,,,,
300,2.5735E-02,2.3941E-02,1.6744E-03,1.1908E-04,0.0000E+00,2.3941E-02,1.6604E-03,5.3001E-06,8.7016E-06,1.1899E-04,3.4581E-08,5.7462E-08,,,,,,,,,,,,,,,,,,,,,
400,1.1115E-02,1.0340E-02,7.2350E-04,5.1488E-05,0.0000E+00,1.0340E-02,7.1801E-04,2.0679E-06,3.4264E-06,5.1452E-05,1.3446E-08,2.2704E-08,,,,,,,,,,,,,,,,,,,,,
500,6.0211E-03,5.6011E-03,3.9200E-04,2.7908E-05,0.0000E+00,5.6011E-03,3.8920E-04,1.0393E-06,1.7677E-06,2.7889E-05,6.7468E-09,1.1710E-08,,,,,,,,,,,,,,,,,,,,,
600,3.7644E-03,3.5022E-03,2.4481E-04,1.7441E-05,0.0000E+00,3.5022E-03,2.4313E-04,6.1320E-07,1.0667E-06,1.7430E-05,3.9654E-09,7.1123E-09,,,,,,,,,,,,,,,,,,,,,
800,1.9045E-03,1.7718E-03,1.2383E-04,8.8330E-06,0.0000E+00,1.7718E-03,1.2303E-04,2.8161E-07,5.2323E-07,8.8277E-06,1.8197E-09,3.5109E-09,,,,,,,,,,,,,,,,,,,,,
1000,1.1839E-03,1.1015E-03,7.6960E-05,5.4993E-06,0.0000E+00,1.1015E-03,7.6480E-05,1.6341E-07,3.1698E-07,5.4961E-06,1.0487E-09,2.1700E-09,,,,,,,,,,,,,,,,,,,,,
1500,5.5624E-04,5.1749E-04,3.6151E-05,2.6016E-06,0.0000E+00,5.1749E-04,3.5938E-05,6.7042E-08,1.4616E-07,2.6001E-06,4.3805E-10,1.0467E-09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,0.33,0.67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
