PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,,,
5.6798,1.4594E+05,0.0000E+00,1.1025E+05,2.9298E+04,6.3943E+03,0.0000E+00,0.0000E+00,3.9588E+04,7.0664E+04,5.3711E+03,5.5920E+03,1.0023E+04,3.4826E+03,4.8287E+03,1.2476E+03,1.1277E+03,2.0073E+03,5.8736E+02,8.1225E+02,2.0433E+02,1.4584E+02,2.5526E+02,6.6313E+00,,,,,,,,,,
5.7253,1.6477E+05,0.0000E+00,1.2981E+05,2.8689E+04,6.2668E+03,0.0000E+00,2.1809E+04,3.8742E+04,6.9261E+04,5.2894E+03,5.4878E+03,9.8285E+03,3.3877E+03,4.6959E+03,1.2281E+03,1.1066E+03,1.9684E+03,5.7193E+02,7.9069E+02,2.0111E+02,1.4311E+02,2.5031E+02,6.5270E+00,,,,,,,,,,
6,1.4711E+05,0.0000E+00,1.1619E+05,2.5357E+04,5.5661E+03,0.0000E+00,2.0337E+04,3.4468E+04,6.1384E+04,4.8320E+03,4.9092E+03,8.7533E+03,2.8784E+03,3.9837E+03,1.1193E+03,9.8999E+02,1.7535E+03,4.8872E+02,6.7457E+02,1.8315E+02,1.2799E+02,2.2301E+02,5.9446E+00,,,,,,,,,,
8,7.0146E+04,0.0000E+00,5.5680E+04,1.1805E+04,2.6616E+03,0.0000E+00,1.2343E+04,1.6003E+04,2.7334E+04,2.7394E+03,2.4187E+03,4.1920E+03,1.0358E+03,1.4189E+03,6.2587E+02,4.8831E+02,8.4259E+02,1.8144E+02,2.4781E+02,1.0205E+02,6.3080E+01,1.0714E+02,3.3144E+00,,,,,,,,,,
10,3.8924E+04,0.0000E+00,3.0962E+04,6.4755E+03,1.4868E+03,0.0000E+00,8.1098E+03,8.5621E+03,1.4290E+04,1.7359E+03,1.3581E+03,2.3035E+03,4.5715E+02,6.2084E+02,3.9342E+02,2.7495E+02,4.6469E+02,8.1764E+01,1.1069E+02,6.4021E+01,3.6020E+01,5.9126E+01,2.0800E+00,,,,,,,,,,
15,1.3036E+04,0.0000E+00,1.0390E+04,2.1410E+03,5.0573E+02,0.0000E+00,3.5753E+03,2.6215E+03,4.1928E+03,7.3124E+02,4.4925E+02,7.3170E+02,9.8051E+01,1.3079E+02,1.6415E+02,9.1687E+01,1.4897E+02,1.8120E+01,2.4090E+01,2.6835E+01,1.2028E+01,1.8981E+01,8.6610E-01,,,,,,,,,,
20,5.9088E+03,0.0000E+00,4.7115E+03,9.6542E+02,2.3186E+02,0.0000E+00,1.9146E+03,1.0962E+03,1.7007E+03,3.8466E+02,1.9663E+02,3.1073E+02,3.1715E+01,4.1688E+01,8.6042E+01,4.0393E+01,6.3702E+01,5.9646E+00,7.8142E+00,1.4055E+01,5.3050E+00,8.1253E+00,4.5359E-01,,,,,,,,,,
30,1.9047E+03,0.0000E+00,1.5189E+03,3.0999E+02,7.5859E+01,0.0000E+00,7.5301E+02,3.0847E+02,4.5738E+02,1.4929E+02,5.8383E+01,8.8140E+01,6.2082E+00,7.9669E+00,3.3304E+01,1.2092E+01,1.8223E+01,1.1886E+00,1.5213E+00,5.4368E+00,1.5902E+00,2.3275E+00,1.7544E-01,,,,,,,,,,
35.953,1.1430E+03,0.0000E+00,9.1138E+02,1.8582E+02,4.5794E+01,0.0000E+00,4.8730E+02,1.7301E+02,2.5108E+02,9.6353E+01,3.3406E+01,4.9342E+01,2.9617E+00,3.7551E+00,2.1483E+01,6.9421E+00,1.0236E+01,5.7071E-01,7.2203E-01,3.5063E+00,9.1341E-01,1.3080E+00,1.1314E-01,,,,,,,,,,
36.24,6.6561E+03,5.5386E+03,8.9104E+02,1.8166E+02,4.4783E+01,5.5386E+03,4.7792E+02,1.6863E+02,2.4449E+02,9.4492E+01,3.2588E+01,4.8086E+01,2.8664E+00,3.6321E+00,2.1067E+01,6.7730E+00,9.9765E+00,5.5245E-01,6.9860E-01,3.4384E+00,8.9118E-01,1.2749E+00,1.1095E-01,,,,,,,,,,
40,5.1191E+03,4.2742E+03,6.7359E+02,1.3726E+02,3.3956E+01,4.2742E+03,3.7519E+02,1.2269E+02,1.7572E+02,7.4111E+01,2.3943E+01,3.4895E+01,1.9098E+00,2.4032E+00,1.6520E+01,4.9846E+00,7.2520E+00,3.6934E-01,4.6384E-01,2.6961E+00,6.5603E-01,9.2700E-01,8.7001E-02,,,,,,,,,,
50,2.8530E+03,2.4055E+03,3.5674E+02,7.2639E+01,1.8099E+01,2.4055E+03,2.1461E+02,5.9425E+01,8.2698E+01,4.2364E+01,1.1830E+01,1.6744E+01,7.5966E-01,9.4009E-01,9.4432E+00,2.4718E+00,3.4922E+00,1.4793E-01,1.8161E-01,1.5408E+00,3.2548E-01,4.4665E-01,4.9719E-02,,,,,,,,,,
60,1.7367E+03,1.4712E+03,2.1164E+02,4.3075E+01,1.0789E+01,1.4712E+03,1.3452E+02,3.2716E+01,4.4406E+01,2.6563E+01,6.6048E+00,9.1147E+00,3.5705E-01,4.3555E-01,5.9221E+00,1.3835E+00,1.9058E+00,6.9844E-02,8.4551E-02,9.6610E-01,1.8224E-01,2.4385E-01,3.1175E-02,,,,,,,,,,
80,7.8561E+02,6.6959E+02,9.2460E+01,1.8811E+01,4.7438E+00,6.6959E+02,6.3246E+01,1.2692E+01,1.6522E+01,1.2510E+01,2.6104E+00,3.4530E+00,1.0867E-01,1.2948E-01,2.7906E+00,5.4865E-01,7.2301E-01,2.1385E-02,2.5279E-02,4.5511E-01,7.2316E-02,9.2754E-02,1.4687E-02,,,,,,,,,,
100,4.1995E+02,3.5907E+02,4.8512E+01,9.8697E+00,2.5010E+00,3.5907E+02,3.4778E+01,6.0829E+00,7.6516E+00,6.8917E+00,1.2661E+00,1.6176E+00,4.3452E-02,5.0839E-02,1.5384E+00,2.6694E-01,3.3947E-01,8.5846E-03,9.9593E-03,2.5082E-01,3.5166E-02,4.3565E-02,8.0944E-03,,,,,,,,,,
150,1.3277E+02,1.1392E+02,1.5015E+01,3.0559E+00,7.7912E-01,1.1392E+02,1.1500E+01,1.6134E+00,1.9017E+00,2.2876E+00,3.4154E-01,4.0868E-01,8.4493E-03,9.6012E-03,5.1068E-01,7.2252E-02,8.6038E-02,1.6779E-03,1.8917E-03,8.3322E-02,9.5232E-03,1.1049E-02,2.6896E-03,,,,,,,,,,
200,5.8615E+01,5.0363E+01,6.5718E+00,1.3381E+00,3.4236E-01,5.0363E+01,5.2101E+00,6.4044E-01,7.2127E-01,1.0392E+00,1.3677E-01,1.5634E-01,2.7332E-03,3.0651E-03,2.3210E-01,2.8991E-02,3.2968E-02,5.4434E-04,6.0566E-04,3.7872E-02,3.8219E-03,4.2352E-03,1.2228E-03,,,,,,,,,,
300,1.8901E+01,1.6260E+01,2.1034E+00,4.2850E-01,1.1004E-01,1.6260E+01,1.7275E+00,1.8202E-01,1.9389E-01,3.4562E-01,3.9215E-02,4.2398E-02,5.9560E-04,6.6586E-04,7.7240E-02,8.3318E-03,8.9549E-03,1.1897E-04,1.3251E-04,1.2605E-02,1.0985E-03,1.1508E-03,4.0732E-04,,,,,,,,,,
400,8.7408E+00,7.5241E+00,9.6855E-01,1.9735E-01,5.0773E-02,7.5241E+00,8.0972E-01,7.8001E-02,8.0828E-02,1.6227E-01,1.6900E-02,1.7721E-02,2.1540E-04,2.4673E-04,3.6272E-02,3.5906E-03,3.7516E-03,4.3157E-05,4.8946E-05,5.9197E-03,4.7329E-04,4.8222E-04,1.9150E-04,,,,,,,,,,
500,4.9402E+00,4.2551E+00,5.4542E-01,1.1109E-01,2.8620E-02,4.2551E+00,4.6092E-01,4.1746E-02,4.2752E-02,9.2403E-02,9.0705E-03,9.3945E-03,1.0210E-04,1.2029E-04,2.0666E-02,1.9282E-03,1.9891E-03,2.0401E-05,2.3963E-05,3.3730E-03,2.5412E-04,2.5582E-04,1.0930E-04,,,,,,,,,,
600,3.1682E+00,2.7303E+00,3.4858E-01,7.0986E-02,1.8301E-02,2.7303E+00,2.9672E-01,2.5656E-02,2.6199E-02,5.9510E-02,5.5867E-03,5.7623E-03,5.7366E-05,6.9258E-05,1.3311E-02,1.1874E-03,1.2206E-03,1.1408E-05,1.3922E-05,2.1726E-03,1.5649E-04,1.5706E-04,7.0541E-05,,,,,,,,,,
800,1.6437E+00,1.4179E+00,1.7976E-01,3.6585E-02,9.4409E-03,1.4179E+00,1.5442E-01,1.2496E-02,1.2840E-02,3.0977E-02,2.7274E-03,2.8252E-03,2.4343E-05,3.1806E-05,6.9290E-03,5.7991E-04,5.9922E-04,4.8647E-06,6.3387E-06,1.1311E-03,7.6402E-05,7.7149E-05,3.6935E-05,,,,,,,,,,
1000,1.0271E+00,8.8674E-01,1.1177E-01,2.2736E-02,5.8696E-03,8.8674E-01,9.6554E-02,7.4581E-03,7.7554E-03,1.9366E-02,1.6292E-03,1.7089E-03,1.3191E-05,1.8480E-05,4.3318E-03,3.4658E-04,3.6194E-04,2.6479E-06,3.6536E-06,7.0727E-04,4.5673E-05,4.6668E-05,2.3285E-05,,,,,,,,,,
1500,4.7415E-01,4.0990E-01,5.1165E-02,1.0397E-02,2.6866E-03,4.0990E-01,4.4516E-02,3.2241E-03,3.4251E-03,8.9254E-03,7.0457E-04,7.5440E-04,5.1410E-06,7.7797E-06,1.9963E-03,1.4974E-04,1.6017E-04,9.9125E-07,1.5208E-06,3.2625E-04,1.9746E-05,2.0735E-05,1.1095E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,2,4,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
