PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
4,1.4069E+05,0.0000E+00,1.1728E+05,2.0805E+04,2.6005E+03,0.0000E+00,2.5106E+04,3.2517E+04,5.9662E+04,4.9476E+03,4.1859E+03,7.7212E+03,1.6289E+03,2.3214E+03,8.3630E+02,5.7362E+02,1.0537E+03,4.3365E+01,6.0811E+01,3.2725E+01,,,,,,,,,,,,,
5,7.8596E+04,0.0000E+00,6.5576E+04,1.1514E+04,1.5056E+03,0.0000E+00,1.6698E+04,1.7375E+04,3.1503E+04,3.1592E+03,2.3459E+03,4.2759E+03,7.1647E+02,1.0163E+03,5.3042E+02,3.2242E+02,5.8566E+02,1.9368E+01,2.7031E+01,2.0740E+01,,,,,,,,,,,,,
6,4.8403E+04,0.0000E+00,4.0391E+04,7.0585E+03,9.5362E+02,0.0000E+00,1.1752E+04,1.0244E+04,1.8395E+04,2.1658E+03,1.4346E+03,2.5894E+03,3.6005E+02,5.0857E+02,3.6224E+02,1.9780E+02,3.5592E+02,9.8351E+00,1.3668E+01,1.4157E+01,,,,,,,,,,,,,
8,2.2232E+04,0.0000E+00,1.8546E+04,3.2306E+03,4.5602E+02,0.0000E+00,6.5267E+03,4.3453E+03,7.6737E+03,1.1701E+03,6.3988E+02,1.1366E+03,1.1818E+02,1.6573E+02,1.9486E+02,8.8673E+01,1.5709E+02,3.2698E+00,4.5109E+00,7.6120E+00,,,,,,,,,,,,,
10,1.2047E+04,0.0000E+00,1.0044E+04,1.7494E+03,2.5408E+02,0.0000E+00,4.0392E+03,2.1889E+03,3.8159E+03,7.1387E+02,3.3377E+02,5.8524E+02,4.8699E+01,6.7863E+01,1.1859E+02,4.6427E+01,8.1209E+01,1.3585E+00,1.8622E+00,4.6313E+00,,,,,,,,,,,,,
15,3.8909E+03,0.0000E+00,3.2396E+03,5.6557E+02,8.5686E+01,0.0000E+00,1.6070E+03,6.0458E+02,1.0281E+03,2.8006E+02,9.7234E+01,1.6624E+02,9.2766E+00,1.2754E+01,4.6416E+01,1.3615E+01,2.3226E+01,2.6199E-01,3.5429E-01,1.8117E+00,,,,,,,,,,,,,
18.929,2.0171E+03,0.0000E+00,1.6784E+03,2.9345E+02,4.5311E+01,0.0000E+00,9.2175E+02,2.8292E+02,4.7369E+02,1.6008E+02,4.6637E+01,7.8478E+01,3.4975E+00,4.7646E+00,2.6518E+01,6.5536E+00,1.0972E+01,9.9338E-02,1.3311E-01,1.0347E+00,,,,,,,,,,,,,
19.081,1.3210E+04,1.1238E+04,1.6408E+03,2.8690E+02,4.4326E+01,1.1238E+04,9.0405E+02,2.7558E+02,4.6114E+02,1.5699E+02,4.5462E+01,7.6459E+01,3.3816E+00,4.6052E+00,2.6007E+01,6.3893E+00,1.0690E+01,9.6063E-02,1.2868E-01,1.0148E+00,,,,,,,,,,,,,
20,1.1734E+04,1.0009E+04,1.4353E+03,2.5107E+02,3.8941E+01,1.0009E+04,8.0593E+02,2.3593E+02,3.9347E+02,1.3990E+02,3.9096E+01,6.5531E+01,2.7712E+00,3.7664E+00,2.3176E+01,5.5089E+00,9.1681E+00,7.8803E-02,1.0535E-01,9.0425E-01,,,,,,,,,,,,,
30,4.0116E+03,3.4708E+03,4.4940E+02,7.8808E+01,1.2555E+01,3.4708E+03,2.9083E+02,6.0591E+01,9.7980E+01,5.0439E+01,1.0375E+01,1.6852E+01,4.8992E-01,6.5337E-01,8.3600E+00,1.4686E+00,2.3686E+00,1.4032E-02,1.8406E-02,3.2589E-01,,,,,,,,,,,,,
40,1.8148E+03,1.5796E+03,1.9532E+02,3.4313E+01,5.5474E+00,1.5796E+03,1.3692E+02,2.2663E+01,3.5746E+01,2.3776E+01,3.9513E+00,6.2582E+00,1.4154E-01,1.8588E-01,3.9416E+00,5.6083E-01,8.8194E-01,4.0691E-03,5.2552E-03,1.5364E-01,,,,,,,,,,,,,
50,9.6837E+02,8.4572E+02,1.0181E+02,1.7910E+01,2.9229E+00,8.4572E+02,7.5139E+01,1.0484E+01,1.6189E+01,1.3070E+01,1.8496E+00,2.8671E+00,5.3845E-02,6.9793E-02,2.1672E+00,2.6298E-01,4.0475E-01,1.5517E-03,1.9778E-03,8.4476E-02,,,,,,,,,,,,,
60,5.7528E+02,5.0346E+02,5.9597E+01,1.0496E+01,1.7242E+00,5.0346E+02,4.5596E+01,5.5659E+00,8.4347E+00,7.9439E+00,9.9000E-01,1.5059E+00,2.4448E-02,3.1328E-02,1.3174E+00,1.4095E-01,2.1286E-01,7.0581E-04,8.8927E-04,5.1355E-02,,,,,,,,,,,,,
80,2.5001E+02,2.1931E+02,2.5469E+01,4.4928E+00,7.4453E-01,2.1931E+02,2.0426E+01,2.0440E+00,2.9995E+00,3.5681E+00,3.6744E-01,5.4125E-01,7.0610E-03,8.8828E-03,5.9195E-01,5.2413E-02,7.6636E-02,2.0437E-04,2.5264E-04,2.3076E-02,,,,,,,,,,,,,
100,1.3003E+02,1.1419E+02,1.3129E+01,2.3187E+00,3.8636E-01,1.1419E+02,1.0843E+01,9.4112E-01,1.3446E+00,1.8981E+00,1.7029E-01,2.4424E-01,2.7228E-03,3.3559E-03,3.1497E-01,2.4325E-02,3.4617E-02,7.8827E-05,9.6038E-05,1.2279E-02,,,,,,,,,,,,,
150,3.9319E+01,3.4574E+01,3.9319E+00,6.9573E-01,1.1682E-01,3.4574E+01,3.3815E+00,2.3349E-01,3.1694E-01,5.9389E-01,4.2622E-02,5.8123E-02,4.9896E-04,6.0052E-04,9.8591E-02,6.1019E-03,8.2489E-03,1.4459E-05,1.7228E-05,3.8440E-03,,,,,,,,,,,,,
200,1.6872E+01,1.4843E+01,1.6812E+00,2.9766E-01,5.0204E-02,1.4843E+01,1.4760E+00,8.8836E-02,1.1641E-01,2.5957E-01,1.6329E-02,2.1414E-02,1.5573E-04,1.8556E-04,4.3131E-02,2.3351E-03,3.0467E-03,4.5105E-06,5.3329E-06,1.6818E-03,,,,,,,,,,,,,
300,5.2497E+00,4.6200E+00,5.2161E-01,9.2468E-02,1.5658E-02,4.6200E+00,4.6743E-01,2.3985E-02,3.0198E-02,8.2382E-02,4.4330E-03,5.5811E-03,3.2588E-05,3.9295E-05,1.3693E-02,6.3423E-04,7.9481E-04,9.4438E-07,1.1297E-06,5.3411E-04,,,,,,,,,,,,,
400,2.3752E+00,2.0907E+00,2.3559E-01,4.1789E-02,7.0905E-03,2.0907E+00,2.1326E-01,9.9643E-03,1.2365E-02,3.7626E-02,1.8466E-03,2.2904E-03,1.1463E-05,1.4321E-05,6.2551E-03,2.6427E-04,3.2625E-04,3.3237E-07,4.1077E-07,2.4410E-04,,,,,,,,,,,,,
500,1.3237E+00,1.1654E+00,1.3107E-01,2.3257E-02,3.9506E-03,1.1654E+00,1.1936E-01,5.2269E-03,6.4859E-03,2.1071E-02,9.7022E-04,1.2032E-03,5.3733E-06,6.8970E-06,3.5032E-03,1.3888E-04,1.7139E-04,1.5510E-07,1.9985E-07,1.3681E-04,,,,,,,,,,,,,
600,8.4110E-01,7.4069E-01,8.3148E-02,1.4754E-02,2.5082E-03,7.4069E-01,7.6021E-02,3.1665E-03,3.9605E-03,1.3423E-02,5.8873E-04,7.3496E-04,2.9869E-06,3.9565E-06,2.2318E-03,8.4257E-05,1.0471E-04,8.5710E-08,1.1570E-07,8.7246E-05,,,,,,,,,,,,,
800,4.3228E-01,3.8084E-01,4.2592E-02,7.5568E-03,1.2861E-03,3.8084E-01,3.9140E-02,1.5186E-03,1.9337E-03,6.9119E-03,2.8193E-04,3.5984E-04,1.2421E-06,1.8404E-06,1.1493E-03,4.0325E-05,5.1348E-05,3.5958E-08,5.2985E-08,4.5048E-05,,,,,,,,,,,,,
1000,2.6939E-01,2.3743E-01,2.6466E-02,4.6950E-03,7.9957E-04,2.3743E-01,2.4397E-02,8.9596E-04,1.1730E-03,4.3084E-03,1.6642E-04,2.1846E-04,6.8875E-07,1.0341E-06,7.1638E-04,2.3811E-05,3.1144E-05,1.9330E-08,3.0849E-08,2.8187E-05,,,,,,,,,,,,,
1500,1.2490E-01,1.1016E-01,1.2208E-02,2.1646E-03,3.6922E-04,1.1016E-01,1.1302E-02,3.8163E-04,5.2444E-04,1.9953E-03,7.0749E-05,9.7855E-05,2.7509E-07,4.3217E-07,3.3184E-04,1.0119E-05,1.3970E-05,7.1798E-09,1.3391E-08,1.3266E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,1.6,2.4,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
