PhotonEnergy[kev],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
300,5.8392E+00,5.1309E+00,5.8496E-01,1.0505E-01,1.8344E-02,5.1309E+00,5.2132E-01,2.8347E-02,3.5290E-02,9.3007E-02,5.3201E-03,6.6310E-03,4.1845E-05,5.0230E-05,1.5953E-02,7.9383E-04,9.8373E-04,1.7038E-06,2.0255E-06,6.0941E-04,,,,,,,,,,,,,
400,2.6461E+00,2.3256E+00,2.6458E-01,4.7543E-02,8.3181E-03,2.3256E+00,2.3831E-01,1.1803E-02,1.4469E-02,4.2563E-02,2.2213E-03,2.7258E-03,1.4823E-05,1.8170E-05,7.3016E-03,3.3156E-04,4.0451E-04,6.0074E-07,7.3766E-07,2.7906E-04,,,,,,,,,,,,,
500,1.4761E+00,1.2976E+00,1.4733E-01,2.6481E-02,4.6385E-03,1.2976E+00,1.3354E-01,6.2003E-03,7.5945E-03,2.3864E-02,1.1694E-03,1.4323E-03,6.9310E-06,8.7902E-06,4.0942E-03,1.7455E-04,2.1259E-04,2.8071E-07,3.5876E-07,1.5657E-04,,,,,,,,,,,,,
600,9.3854E-01,8.2528E-01,9.3509E-02,1.6808E-02,2.9465E-03,8.2528E-01,8.5111E-02,3.7601E-03,4.6387E-03,1.5214E-02,7.1051E-04,8.7463E-04,3.8163E-06,5.1352E-06,2.6103E-03,1.0598E-04,1.2994E-04,1.5520E-07,2.0783E-07,9.9921E-05,,,,,,,,,,,,,
800,4.8267E-01,4.2462E-01,4.7922E-02,8.6130E-03,1.5115E-03,4.2462E-01,4.3851E-02,1.8050E-03,2.2655E-03,7.8398E-03,3.4037E-04,4.2891E-04,1.6341E-06,2.3079E-06,1.3452E-03,5.0800E-05,6.3707E-05,6.5203E-08,9.5007E-08,5.1618E-05,,,,,,,,,,,,,
1000,3.0084E-01,2.6477E-01,2.9778E-02,5.3509E-03,9.3966E-04,2.6477E-01,2.7338E-02,1.0658E-03,1.3743E-03,4.8875E-03,2.0133E-04,2.5992E-04,8.6832E-07,1.3554E-06,8.3861E-04,3.0030E-05,3.8636E-05,3.5012E-08,5.5248E-08,3.2298E-05,,,,,,,,,,,,,
1500,1.3943E-01,1.2281E-01,1.3727E-02,2.4656E-03,4.3360E-04,1.2281E-01,1.2659E-02,4.5462E-04,6.1320E-04,2.2627E-03,8.5644E-05,1.1644E-04,3.2766E-07,5.6671E-07,3.8830E-04,1.2771E-05,1.7314E-05,1.2980E-08,2.3788E-08,1.5173E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,2,3,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
