PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
20,3.4905E+03,3.1015E+03,3.3974E+02,4.8364E+01,8.1459E-01,3.1015E+03,2.4722E+02,3.3405E+01,5.9116E+01,3.5709E+01,4.5086E+00,7.9533E+00,8.1196E-02,1.1233E-01,8.1459E-01,,,,,,,,,,,,,,,,,,
30,1.1033E+03,9.8490E+02,1.0329E+02,1.4830E+01,2.7080E-01,9.8490E+02,8.1911E+01,7.8271E+00,1.3549E+01,1.1870E+01,1.0744E+00,1.8543E+00,1.3050E-02,1.7784E-02,2.7080E-01,,,,,,,,,,,,,,,,,,
40,4.7709E+02,4.2674E+02,4.3888E+01,6.3316E+00,1.2084E-01,4.2674E+02,3.6458E+01,2.7526E+00,4.6774E+00,5.2968E+00,3.8160E-01,6.4496E-01,3.5403E-03,4.7640E-03,1.2084E-01,,,,,,,,,,,,,,,,,,
50,2.4644E+02,2.2066E+02,2.2459E+01,3.2508E+00,6.3783E-02,2.2066E+02,1.9207E+01,1.2169E+00,2.0345E+00,2.7959E+00,1.6969E-01,2.8218E-01,1.2881E-03,1.7151E-03,6.3783E-02,,,,,,,,,,,,,,,,,,
60,1.4283E+02,1.2797E+02,1.2943E+01,1.8761E+00,3.7556E-02,1.2797E+02,1.1293E+01,6.2341E-01,1.0272E+00,1.6445E+00,8.7293E-02,1.4304E-01,5.6523E-04,7.4540E-04,3.7556E-02,,,,,,,,,,,,,,,,,,
80,5.9891E+01,5.3697E+01,5.3938E+00,7.8418E-01,1.6090E-02,5.3697E+01,4.8280E+00,2.1709E-01,3.4877E-01,7.0443E-01,3.0565E-02,4.8826E-02,1.5538E-04,2.0179E-04,1.6090E-02,,,,,,,,,,,,,,,,,,
100,3.0364E+01,2.7233E+01,2.7261E+00,3.9709E-01,8.2726E-03,2.7233E+01,2.4786E+00,9.6190E-02,1.5126E-01,3.6213E-01,1.3589E-02,2.1248E-02,5.7776E-05,7.4152E-05,8.2726E-03,,,,,,,,,,,,,,,,,,
150,8.8055E+00,7.8999E+00,7.8808E-01,1.1512E-01,2.4480E-03,7.8999E+00,7.3184E-01,2.2409E-02,3.3828E-02,1.0714E-01,3.1816E-03,4.7731E-03,9.9761E-06,1.2573E-05,2.4480E-03,,,,,,,,,,,,,,,,,,
200,3.6803E+00,3.3021E+00,3.2907E-01,4.8141E-02,1.0343E-03,3.3021E+00,3.0881E-01,8.2021E-03,1.2049E-02,4.5263E-02,1.1679E-03,1.7039E-03,3.0027E-06,3.7679E-06,1.0343E-03,,,,,,,,,,,,,,,,,,
300,1.1086E+00,9.9473E-01,9.9062E-02,1.4516E-02,3.1503E-04,9.9473E-01,9.3924E-02,2.1136E-03,3.0242E-03,1.3784E-02,3.0200E-04,4.2851E-04,6.0153E-07,7.6888E-07,3.1503E-04,,,,,,,,,,,,,,,,,,
400,4.9215E-01,4.4160E-01,4.3960E-02,6.4459E-03,1.4061E-04,4.4160E-01,4.1885E-02,8.5869E-04,1.2164E-03,6.1501E-03,1.2238E-04,1.7297E-04,2.0722E-07,2.7603E-07,1.4061E-04,,,,,,,,,,,,,,,,,,
500,2.7102E-01,2.4319E-01,2.4198E-02,3.5489E-03,7.7664E-05,2.4319E-01,2.3123E-02,4.4298E-04,6.3262E-04,3.3955E-03,6.3174E-05,9.0023E-05,9.4985E-08,1.3270E-07,7.7664E-05,,,,,,,,,,,,,,,,,,
600,1.7093E-01,1.5339E-01,1.5252E-02,2.2372E-03,4.9080E-05,1.5339E-01,1.4601E-02,2.6525E-04,3.8513E-04,2.1444E-03,3.7844E-05,5.4784E-05,5.2161E-08,7.6697E-08,4.9080E-05,,,,,,,,,,,,,,,,,,
800,8.7216E-02,7.8280E-02,7.7706E-03,1.1400E-03,2.5113E-05,7.8280E-02,7.4571E-03,1.2479E-04,1.8865E-04,1.0953E-03,1.7819E-05,2.6823E-05,2.1541E-08,3.4921E-08,2.5113E-05,,,,,,,,,,,,,,,,,,
1000,5.4268E-02,4.8716E-02,4.8281E-03,7.0835E-04,1.5671E-05,4.8716E-02,4.6406E-03,7.3212E-05,1.1432E-04,6.8158E-04,1.0417E-05,1.6321E-05,1.1546E-08,2.0371E-08,1.5671E-05,,,,,,,,,,,,,,,,,,
1500,2.5289E-02,2.2709E-02,2.2436E-03,3.2918E-04,7.3814E-06,2.2709E-02,2.1611E-03,3.0617E-05,5.1935E-05,3.1742E-04,4.3679E-06,7.3852E-06,4.2222E-09,8.8325E-09,7.3814E-06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
