PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
50,2.8290E+02,2.5278E+02,2.6102E+01,3.8332E+00,1.8924E-01,2.5278E+02,2.2079E+01,1.5114E+00,2.5112E+00,3.2578E+00,2.1519E-01,3.5568E-01,1.9488E-03,2.5908E-03,1.8924E-01,,,,,,,,,,,,,,,,,,
60,1.6433E+02,1.4693E+02,1.5066E+01,2.2177E+00,1.1174E-01,1.4693E+02,1.3018E+01,7.7680E-01,1.2716E+00,1.9238E+00,1.1109E-01,1.8089E-01,8.5783E-04,1.1291E-03,1.1174E-01,,,,,,,,,,,,,,,,,,
80,6.9126E+01,6.1855E+01,6.2940E+00,9.2837E-01,4.8079E-02,6.1855E+01,5.5886E+00,2.7180E-01,4.3358E-01,8.2670E-01,3.9095E-02,6.2031E-02,2.3695E-04,3.0710E-04,4.8079E-02,,,,,,,,,,,,,,,,,,
100,3.5124E+01,3.1441E+01,3.1870E+00,4.7099E-01,2.4794E-02,3.1441E+01,2.8776E+00,1.2084E-01,1.8860E-01,4.2626E-01,1.7447E-02,2.7077E-02,8.8429E-05,1.1314E-04,2.4794E-02,,,,,,,,,,,,,,,,,,
150,1.0224E+01,9.1548E+00,9.2436E-01,1.3699E-01,7.3729E-03,9.1548E+00,8.5368E-01,2.8306E-02,4.2374E-02,1.2673E-01,4.1084E-03,6.1141E-03,1.5350E-05,1.9303E-05,7.3729E-03,,,,,,,,,,,,,,,,,,
200,4.2829E+00,3.8356E+00,3.8679E-01,5.7409E-02,3.1243E-03,3.8356E+00,3.6126E-01,1.0395E-02,1.5132E-02,5.3696E-02,1.5131E-03,2.1890E-03,4.6358E-06,5.7976E-06,3.1243E-03,,,,,,,,,,,,,,,,,,
300,1.2937E+00,1.1587E+00,1.1675E-01,1.7356E-02,9.5490E-04,1.1587E+00,1.1025E-01,2.6895E-03,3.8082E-03,1.6409E-02,3.9292E-04,5.5206E-04,9.3200E-07,1.1877E-06,9.5490E-04,,,,,,,,,,,,,,,,,,
400,5.7525E-01,5.1522E-01,5.1887E-02,7.7191E-03,4.2699E-04,5.1522E-01,4.9259E-02,1.0944E-03,1.5337E-03,7.3357E-03,1.5962E-04,2.2301E-04,3.2225E-07,4.2494E-07,4.2699E-04,,,,,,,,,,,,,,,,,,
500,3.1710E-01,2.8402E-01,2.8588E-02,4.2539E-03,2.3608E-04,2.8402E-01,2.7225E-02,5.6516E-04,7.9868E-04,4.0548E-03,8.2458E-05,1.1623E-04,1.4776E-07,2.0505E-07,2.3608E-04,,,,,,,,,,,,,,,,,,
600,2.0011E-01,1.7925E-01,1.8028E-02,2.6830E-03,1.4926E-04,1.7925E-01,1.7203E-02,3.3863E-04,4.8638E-04,2.5626E-03,4.9460E-05,7.0756E-05,8.1075E-08,1.1785E-07,1.4926E-04,,,,,,,,,,,,,,,,,,
800,1.0217E-01,9.1535E-02,9.1894E-03,1.3677E-03,7.6388E-05,9.1535E-02,8.7917E-03,1.5981E-04,2.3786E-04,1.3097E-03,2.3311E-05,3.4649E-05,3.3611E-08,5.3678E-08,7.6388E-05,,,,,,,,,,,,,,,,,,
1000,6.3579E-02,5.6972E-02,5.7096E-03,8.4988E-04,4.7637E-05,5.6972E-02,5.4717E-03,9.3676E-05,1.4428E-04,8.1512E-04,1.3661E-05,2.1049E-05,1.7969E-08,3.1284E-08,4.7637E-05,,,,,,,,,,,,,,,,,,
1500,2.9613E-02,2.6545E-02,2.6516E-03,3.9466E-04,2.2352E-05,2.6545E-02,2.5469E-03,3.9325E-05,6.5322E-05,3.7940E-04,5.7293E-06,9.5147E-06,6.5099E-09,1.3445E-08,2.2352E-05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
