PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
30,4.4057E+02,3.9782E+02,3.7253E+01,5.1709E+00,3.2782E-01,3.9782E+02,3.2202E+01,1.8135E+00,3.2375E+00,4.5100E+00,2.3724E-01,4.2272E-01,3.8815E-04,5.4019E-04,3.2782E-01,,,,,,,,,,,,,,,,,,
40,1.8579E+02,1.6790E+02,1.5577E+01,2.1690E+00,1.4160E-01,1.6790E+02,1.3880E+01,6.1517E-01,1.0810E+00,1.9459E+00,8.0937E-02,1.4195E-01,1.0186E-04,1.4021E-04,1.4160E-01,,,,,,,,,,,,,,,,,,
50,9.4273E+01,8.5233E+01,7.8684E+00,1.0985E+00,7.2997E-02,8.5233E+01,7.1448E+00,2.6483E-01,4.5885E-01,1.0030E+00,3.4975E-02,6.0469E-02,3.6099E-05,4.9237E-05,7.2997E-02,,,,,,,,,,,,,,,,,,
60,5.3900E+01,4.8744E+01,4.4867E+00,6.2751E-01,4.2205E-02,4.8744E+01,4.1264E+00,1.3292E-01,2.2739E-01,5.7983E-01,1.7598E-02,3.0045E-02,1.5513E-05,2.0987E-05,4.2205E-02,,,,,,,,,,,,,,,,,,
80,2.2156E+01,2.0041E+01,1.8391E+00,2.5783E-01,1.7609E-02,2.0041E+01,1.7190E+00,4.4930E-02,7.5168E-02,2.4189E-01,5.9697E-03,9.9626E-03,4.1347E-06,5.5079E-06,1.7609E-02,,,,,,,,,,,,,,,,,,
100,1.1075E+01,1.0019E+01,9.1808E-01,1.2891E-01,8.8859E-03,1.0019E+01,8.6657E-01,1.9500E-02,3.2014E-02,1.2205E-01,2.5967E-03,4.2518E-03,1.5027E-06,1.9850E-06,8.8859E-03,,,,,,,,,,,,,,,,,,
150,3.1385E+00,2.8395E+00,2.5989E-01,3.6571E-02,2.5523E-03,2.8395E+00,2.4853E-01,4.3962E-03,6.9663E-03,3.5055E-02,5.8746E-04,9.2775E-04,2.5150E-07,3.2626E-07,2.5523E-03,,,,,,,,,,,,,,,,,,
200,1.2931E+00,1.1699E+00,1.0705E-01,1.5083E-02,1.0591E-03,1.1699E+00,1.0303E-01,1.5772E-03,2.4437E-03,1.4545E-02,2.1130E-04,3.2577E-04,7.4303E-08,9.6507E-08,1.0591E-03,,,,,,,,,,,,,,,,,,
300,3.8285E-01,3.4635E-01,3.1712E-02,4.4711E-03,3.1584E-04,3.4635E-01,3.0710E-02,3.9922E-04,6.0234E-04,4.3372E-03,5.3345E-05,8.0519E-05,1.4659E-08,1.9373E-08,3.1584E-04,,,,,,,,,,,,,,,,,,
400,1.6827E-01,1.5223E-01,1.3939E-02,1.9662E-03,1.3932E-04,1.5223E-01,1.3539E-02,1.5951E-04,2.4079E-04,1.9126E-03,2.1323E-05,3.2205E-05,4.9659E-09,6.9182E-09,1.3932E-04,,,,,,,,,,,,,,,,,,
500,9.2105E-02,8.3324E-02,7.6284E-03,1.0762E-03,7.6421E-05,8.3324E-02,7.4221E-03,8.1635E-05,1.2462E-04,1.0487E-03,1.0904E-05,1.6684E-05,2.2786E-09,3.3050E-09,7.6421E-05,,,,,,,,,,,,,,,,,,
600,5.7875E-02,5.2359E-02,4.7918E-03,6.7615E-04,4.8094E-05,5.2359E-02,4.6676E-03,4.8632E-05,7.5592E-05,6.5951E-04,6.4861E-06,1.0145E-05,1.2346E-09,1.9310E-09,4.8094E-05,,,,,,,,,,,,,,,,,,
800,2.9430E-02,2.6627E-02,2.4348E-03,3.4358E-04,2.4525E-05,2.6627E-02,2.3750E-03,2.2652E-05,3.7083E-05,3.3559E-04,3.0281E-06,4.9590E-06,5.0870E-10,8.8127E-10,2.4525E-05,,,,,,,,,,,,,,,,,,
1000,1.8303E-02,1.6562E-02,1.5128E-03,2.1351E-04,1.5300E-05,1.6562E-02,1.4771E-03,1.3235E-05,2.2487E-05,2.0873E-04,1.7634E-06,3.0183E-06,2.7430E-10,5.1644E-10,1.5300E-05,,,,,,,,,,,,,,,,,,
1500,8.5554E-03,7.7427E-03,7.0579E-04,9.9634E-05,7.2407E-06,7.7427E-03,6.9002E-04,5.5003E-06,1.0268E-05,9.7526E-05,7.3335E-07,1.3745E-06,1.1124E-10,2.3194E-10,7.2407E-06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,1.2,1.8,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
