PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
400,9.8311E+01,7.6526E+01,1.6364E+01,3.9774E+00,1.4441E+00,7.6526E+01,9.4170E+00,4.6077E+00,2.3388E+00,2.1609E+00,1.1298E+00,6.1965E-01,3.6002E-02,3.1171E-02,5.9672E-01,3.0849E-01,1.7080E-01,1.1266E-02,9.7136E-03,9.5871E-05,9.3772E-05,1.6167E-01,7.9551E-02,4.3195E-02,2.5233E-03,2.1496E-03,7.5214E-06,7.2539E-06,3.3574E-02,1.4116E-02,6.8101E-03,1.6788E-05,1.2612E-05,3.3015E-03
500,5.8553E+01,4.5806E+01,9.5794E+00,2.3240E+00,8.4459E-01,4.5806E+01,5.6969E+00,2.6223E+00,1.2602E+00,1.3069E+00,6.4790E-01,3.3601E-01,1.7748E-02,1.5459E-02,3.6088E-01,1.7721E-01,9.2602E-02,5.5737E-03,4.8375E-03,4.2025E-05,4.2118E-05,9.7760E-02,4.5720E-02,2.3468E-02,1.2488E-03,1.0705E-03,3.3005E-06,3.2675E-06,2.0301E-02,8.1125E-03,3.7002E-03,8.3149E-06,6.2947E-06,1.9973E-03
600,3.8930E+01,3.0572E+01,6.2832E+00,1.5217E+00,5.5358E-01,3.0572E+01,3.8225E+00,1.6837E+00,7.7694E-01,8.7655E-01,4.1802E-01,2.0794E-01,1.0222E-02,9.0007E-03,2.4205E-01,1.1461E-01,5.7359E-02,3.2212E-03,2.8206E-03,2.1940E-05,2.3055E-05,6.5557E-02,2.9537E-02,1.4539E-02,7.2159E-04,6.2522E-04,1.7379E-06,1.7728E-06,1.3613E-02,5.2413E-03,2.2926E-03,4.8074E-06,3.6848E-06,1.3403E-03
800,2.1041E+01,1.6610E+01,3.3327E+00,8.0497E-01,2.9301E-01,1.6610E+01,2.0845E+00,8.6941E-01,3.7882E-01,4.7757E-01,2.1695E-01,1.0177E-01,4.5744E-03,4.1095E-03,1.3184E-01,5.9558E-02,2.8080E-02,1.4462E-03,1.2866E-03,8.9668E-06,9.6720E-06,3.5705E-02,1.5353E-02,7.1208E-03,3.2392E-04,2.8586E-04,7.0122E-07,7.4726E-07,7.4140E-03,2.7244E-03,1.1235E-03,2.1637E-06,1.6988E-06,7.3164E-04
1000,1.3363E+01,1.0584E+01,2.0918E+00,5.0427E-01,1.8360E-01,1.0584E+01,1.3285E+00,5.3810E-01,2.2523E-01,3.0413E-01,1.3462E-01,6.0612E-02,2.5518E-03,2.3469E-03,8.3934E-02,3.6976E-02,1.6727E-02,8.0664E-04,7.3871E-04,4.6145E-06,5.1234E-06,2.2730E-02,9.5351E-03,4.2426E-03,1.8125E-04,1.6360E-04,3.5688E-07,4.0282E-07,4.7200E-03,1.6921E-03,6.6956E-04,1.2145E-06,9.8085E-07,4.6727E-04
1500,6.1554E+00,4.8917E+00,9.5157E-01,2.2879E-01,8.3305E-02,4.8917E+00,6.1225E-01,2.4375E-01,9.5579E-02,1.3998E-01,6.1188E-02,2.5667E-02,9.9737E-04,9.5307E-04,3.8612E-02,1.6804E-02,7.1007E-03,3.1721E-04,2.9782E-04,1.9586E-06,1.9053E-06,1.0455E-02,4.3320E-03,1.8016E-03,7.1101E-05,6.6469E-05,1.2342E-07,1.5292E-07,2.1714E-03,7.6892E-04,2.8480E-04,4.8491E-07,4.1435E-07,2.1783E-04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,3.43,4.57,2,2,4,0.4,0.6,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
