PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
500,7.3264E-01,6.5010E-01,6.9674E-02,1.1475E-02,1.3901E-03,6.5010E-01,6.4856E-02,2.0743E-03,2.7439E-03,1.0661E-02,3.5066E-04,4.6086E-04,1.3015E-06,1.7268E-06,1.3178E-03,3.1435E-05,4.0862E-05,,,,,,,,,,,,,,,,
600,4.6408E-01,4.1186E-01,4.4081E-02,7.2607E-03,8.8037E-04,4.1186E-01,4.1158E-02,1.2545E-03,1.6686E-03,6.7663E-03,2.1149E-04,2.8114E-04,7.1544E-07,1.0052E-06,8.3647E-04,1.8963E-05,2.4936E-05,,,,,,,,,,,,,,,,
800,2.3778E-01,2.1109E-01,2.2531E-02,3.7110E-03,4.5054E-04,2.1109E-01,2.1117E-02,5.9577E-04,8.1782E-04,3.4719E-03,1.0062E-04,1.3774E-04,2.9941E-07,4.5115E-07,4.2929E-04,9.0110E-06,1.2236E-05,,,,,,,,,,,,,,,,
1000,1.4807E-01,1.3149E-01,1.3999E-02,2.3056E-03,2.8019E-04,1.3149E-01,1.3152E-02,3.5082E-04,4.9541E-04,2.1624E-03,5.9147E-05,8.3582E-05,1.6161E-07,2.6321E-07,2.6745E-04,5.2971E-06,7.4408E-06,,,,,,,,,,,,,,,,
1500,6.8788E-02,6.1115E-02,6.4767E-03,1.0664E-03,1.2989E-04,6.1115E-02,6.1052E-03,1.4818E-04,2.2338E-04,1.0036E-03,2.5006E-05,3.7589E-05,6.3254E-08,1.0907E-07,1.2428E-04,2.2409E-06,3.3711E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
