PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
4,2.0274E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.0274E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6877E+03,9.4546E+03,2.7141E+04,3.2565E+04,4.4746E+04,2.1185E+04,2.6094E+04,2.4507E+03,2.8178E+03,7.1424E+03,6.7074E+03,9.0538E+03,1.6442E+03,1.9376E+03,5.1972E+02,4.9571E+02,1.0546E+03,4.2973E+01,
4.2429,1.7662E+05,0.0000E+00,0.0000E+00,0.0000E+00,1.7662E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.0731E+03,8.8102E+03,2.4459E+04,2.8629E+04,3.9120E+04,1.7329E+04,2.1301E+04,2.2277E+03,2.5905E+03,6.4090E+03,5.8930E+03,7.9137E+03,1.3584E+03,1.5971E+03,4.7077E+02,4.5381E+02,9.4508E+02,3.8948E+01,
4.2769,3.9023E+05,0.0000E+00,0.0000E+00,2.1688E+05,1.7335E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1688E+05,6.9924E+03,8.7247E+03,2.4115E+04,2.8129E+04,3.8406E+04,1.6861E+04,2.0721E+04,2.1990E+03,2.5609E+03,6.3152E+03,5.7897E+03,7.7695E+03,1.3235E+03,1.5555E+03,4.6450E+02,4.4838E+02,9.3108E+02,3.8432E+01,
4.4871,3.5390E+05,0.0000E+00,0.0000E+00,1.9905E+05,1.5485E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9905E+05,6.5180E+03,8.2226E+03,2.2137E+04,2.5276E+04,3.4331E+04,1.4291E+04,1.7535E+04,2.0335E+03,2.3882E+03,5.7762E+03,5.2000E+03,6.9491E+03,1.1304E+03,1.3262E+03,4.2839E+02,4.1682E+02,8.5076E+02,3.5462E+01,
4.5231,4.8301E+05,0.0000E+00,0.0000E+00,3.3105E+05,1.5196E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3612E+05,1.9492E+05,6.4413E+03,8.1412E+03,2.1824E+04,2.4825E+04,3.3691E+04,1.3901E+04,1.7053E+04,2.0072E+03,2.3604E+03,5.6908E+03,5.1072E+03,6.8204E+03,1.1009E+03,1.2913E+03,4.2265E+02,4.1176E+02,8.3802E+02,3.4990E+01,
5,3.8261E+05,0.0000E+00,0.0000E+00,2.6276E+05,1.1985E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1151E+05,1.5126E+05,5.5423E+03,7.1549E+03,1.8186E+04,1.9704E+04,2.6504E+04,9.7875E+03,1.1964E+04,1.7018E+03,2.0324E+03,4.7091E+03,4.0575E+03,5.3716E+03,7.8225E+02,9.1958E+02,3.5648E+02,3.5240E+02,6.9217E+02,2.9542E+01,
5.0981,3.6432E+05,0.0000E+00,0.0000E+00,2.4989E+05,1.1443E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0634E+05,1.4355E+05,5.3828E+03,6.9697E+03,1.7541E+04,1.8826E+04,2.5276E+04,9.1375E+03,1.1163E+04,1.6479E+03,1.9732E+03,4.5376E+03,3.8775E+03,5.1246E+03,7.3236E+02,8.6030E+02,3.4484E+02,3.4177E+02,6.6672E+02,2.8584E+01,
5.1389,4.1693E+05,0.0000E+00,0.0000E+00,3.0466E+05,1.1228E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.9958E+04,1.0425E+05,1.4045E+05,5.3185E+03,6.8944E+03,1.7282E+04,1.8476E+04,2.4787E+04,8.8827E+03,1.0848E+04,1.6262E+03,1.9494E+03,4.4688E+03,3.8056E+03,5.0262E+03,7.1275E+02,8.3702E+02,3.4017E+02,3.3749E+02,6.5653E+02,2.8200E+01,
6,2.8207E+05,0.0000E+00,0.0000E+00,2.0464E+05,7.7438E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.6566E+04,6.8326E+04,8.9743E+04,4.1841E+03,5.5379E+03,1.2887E+04,1.2701E+04,1.6795E+04,5.0889E+03,6.1807E+03,1.2540E+03,1.5299E+03,3.3052E+03,2.6232E+03,3.4183E+03,4.1696E+02,4.8679E+02,2.6048E+02,2.6279E+02,4.8448E+02,2.1631E+01,
6.347,2.4368E+05,0.0000E+00,0.0000E+00,1.7609E+05,6.7596E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.2187E+04,5.8074E+04,7.5828E+04,3.8263E+03,5.0944E+03,1.1549E+04,1.1040E+04,1.4518E+04,4.1427E+03,5.0209E+03,1.1396E+03,1.3972E+03,2.9558E+03,2.2827E+03,2.9600E+03,3.4182E+02,3.9820E+02,2.3619E+02,2.3940E+02,4.3296E+02,1.9627E+01,
6.3978,2.5332E+05,0.0000E+00,0.0000E+00,1.8702E+05,6.6302E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4558E+04,4.1560E+04,5.6742E+04,7.4158E+04,3.7780E+03,5.0333E+03,1.1370E+04,1.0821E+04,1.4219E+04,4.0229E+03,4.8744E+03,1.1242E+03,1.3791E+03,2.9090E+03,2.2378E+03,2.8997E+03,3.3226E+02,3.8695E+02,2.3292E+02,2.3623E+02,4.2607E+02,1.9357E+01,
6.7411,2.2232E+05,0.0000E+00,0.0000E+00,1.6392E+05,5.8400E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3801E+04,3.7552E+04,4.8718E+04,6.3854E+04,3.4749E+03,4.6452E+03,1.0255E+04,9.4751E+03,1.2391E+04,3.3164E+03,4.0108E+03,1.0279E+03,1.2657E+03,2.6187E+03,1.9622E+03,2.5310E+03,2.7561E+02,3.2032E+02,2.1254E+02,2.1632E+02,3.8332E+02,1.7671E+01,
6.795,2.2716E+05,0.0000E+00,0.0000E+00,1.6988E+05,5.7279E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.2034E+03,1.3678E+04,3.6964E+04,4.7666E+04,6.2367E+04,3.4305E+03,4.5881E+03,1.0095E+04,9.2833E+03,1.2132E+04,3.2197E+03,3.8926E+03,1.0139E+03,1.2491E+03,2.5768E+03,1.9230E+03,2.4786E+03,2.6782E+02,3.1116E+02,2.0958E+02,2.1341E+02,3.7715E+02,1.7427E+01,
8,1.5187E+05,0.0000E+00,0.0000E+00,1.1346E+05,3.8420E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.4297E+03,1.1460E+04,2.6967E+04,2.9570E+04,3.8029E+04,2.6208E+03,3.5340E+03,7.2522E+03,6.0536E+03,7.7932E+03,1.7423E+03,2.0933E+03,7.6326E+02,9.4688E+02,1.8415E+03,1.2601E+03,1.6008E+03,1.4753E+02,1.7029E+02,1.5688E+02,1.6082E+02,2.6913E+02,1.3070E+01,
10,8.6997E+04,0.0000E+00,0.0000E+00,6.4878E+04,2.2119E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3525E+03,8.2895E+03,1.7084E+04,1.5122E+04,1.9030E+04,1.7907E+03,2.4103E+03,4.5274E+03,3.2822E+03,4.1375E+03,7.3488E+02,8.7509E+02,5.1286E+02,6.3580E+02,1.1435E+03,6.8828E+02,8.5672E+02,6.3570E+01,7.2697E+01,1.0473E+02,1.0726E+02,1.6690E+02,8.7480E+00,
15,3.1153E+04,0.0000E+00,0.0000E+00,2.3170E+04,7.9830E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8068E+03,4.1229E+03,6.9604E+03,4.1979E+03,5.0825E+03,8.6332E+02,1.1237E+03,1.8175E+03,1.0003E+03,1.2121E+03,1.4347E+02,1.6781E+02,2.4221E+02,2.9151E+02,4.5709E+02,2.1290E+02,2.5484E+02,1.2812E+01,1.4385E+01,4.9000E+01,4.8742E+01,6.7120E+01,4.1119E+00,
19.907,1.5052E+04,0.0000E+00,0.0000E+00,1.1172E+04,3.8799E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6999E+03,2.3564E+03,3.5322E+03,1.6454E+03,1.9378E+03,5.0516E+02,6.2901E+02,9.2179E+02,4.1420E+02,4.8739E+02,4.3929E+01,5.0671E+01,1.4043E+02,1.6227E+02,2.3173E+02,8.9038E+01,1.0350E+02,3.9897E+00,4.4160E+00,2.8271E+01,2.7665E+01,3.4021E+01,2.3791E+00,
20,3.4490E+04,0.0000E+00,1.9618E+04,1.1038E+04,3.8337E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.9618E+04,1.6853E+03,2.3339E+03,3.4919E+03,1.6198E+03,1.9068E+03,5.0062E+02,6.2283E+02,9.1128E+02,4.0810E+02,4.7996E+02,4.3069E+01,4.9667E+01,1.3916E+02,1.6067E+02,2.2909E+02,8.7739E+01,1.0194E+02,3.9126E+00,4.3295E+00,2.8012E+01,2.7392E+01,3.3633E+01,2.3574E+00,
20.066,3.4368E+04,0.0000E+00,1.9623E+04,1.0944E+04,3.8013E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.9623E+04,1.6750E+03,2.3180E+03,3.4636E+03,1.6019E+03,1.8850E+03,4.9743E+02,6.1848E+02,9.0388E+02,4.0381E+02,4.7475E+02,4.2469E+01,4.8966E+01,1.3826E+02,1.5954E+02,2.2723E+02,8.6827E+01,1.0085E+02,3.8587E+00,4.2691E+00,2.7830E+01,2.7199E+01,3.3361E+01,2.3422E+00,
25.223,1.8546E+04,0.0000E+00,1.0395E+04,6.0401E+03,2.1102E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.0395E+04,1.0909E+03,1.4233E+03,1.9468E+03,7.3527E+02,8.4379E+02,3.1759E+02,3.7677E+02,5.0935E+02,1.9245E+02,2.2065E+02,1.5951E+01,1.8165E+01,8.7786E+01,9.6948E+01,1.2811E+02,4.1684E+01,4.7214E+01,1.4653E+00,1.6009E+00,1.7617E+01,1.6524E+01,1.8808E+01,1.4854E+00,
25.425,2.6073E+04,0.0000E+00,1.8090E+04,5.9158E+03,2.0671E+03,0.0000E+00,0.0000E+00,7.9173E+03,1.0173E+04,1.0742E+03,1.3987E+03,1.9073E+03,7.1535E+02,8.2016E+02,3.1258E+02,3.7017E+02,4.9908E+02,1.8746E+02,2.1474E+02,1.5410E+01,1.7541E+01,8.6388E+01,9.5243E+01,1.2552E+02,4.0613E+01,4.5960E+01,1.4162E+00,1.5465E+00,1.7335E+01,1.6234E+01,1.8429E+01,1.4617E+00,
26.081,2.4428E+04,0.0000E+00,1.6957E+04,5.5353E+03,1.9354E+03,0.0000E+00,0.0000E+00,7.4667E+03,9.4901E+03,1.0227E+03,1.3226E+03,1.7860E+03,6.5509E+02,7.4893E+02,2.9707E+02,3.4978E+02,4.6754E+02,1.7235E+02,1.9686E+02,1.3801E+01,1.5687E+01,8.2060E+01,8.9978E+01,1.1760E+02,3.7369E+01,4.2165E+01,1.2697E+00,1.3846E+00,1.6462E+01,1.5336E+01,1.7266E+01,1.3884E+00,
26.29,2.7643E+04,0.0000E+00,2.0326E+04,5.4212E+03,1.8959E+03,0.0000E+00,3.6701E+03,7.3714E+03,9.2846E+03,1.0071E+03,1.2995E+03,1.7495E+03,6.3725E+02,7.2792E+02,2.9237E+02,3.4362E+02,4.5806E+02,1.6787E+02,1.9156E+02,1.3332E+01,1.5147E+01,8.0749E+01,8.8387E+01,1.1522E+02,3.6405E+01,4.1041E+01,1.2270E+00,1.3374E+00,1.6197E+01,1.5065E+01,1.6916E+01,1.3661E+00,
30,1.9759E+04,0.0000E+00,1.4575E+04,3.8378E+03,1.3466E+03,0.0000E+00,2.9075E+03,5.2870E+03,6.3804E+03,7.7840E+02,9.6542E+02,1.2383E+03,4.0260E+02,4.5304E+02,2.2399E+02,2.5501E+02,3.2513E+02,1.0809E+02,1.2149E+02,7.5030E+00,8.4584E+00,6.1711E+01,6.5548E+01,8.1830E+01,2.3532E+01,2.6128E+01,6.9437E-01,7.5086E-01,1.2525E+01,1.1172E+01,1.2015E+01,1.0435E+00,
40,9.4967E+03,0.0000E+00,7.0608E+03,1.8001E+03,6.3578E+02,0.0000E+00,1.7315E+03,2.5781E+03,2.7512E+03,4.3494E+02,4.9220E+02,5.6923E+02,1.4552E+02,1.5823E+02,1.2343E+02,1.3008E+02,1.5055E+02,4.0509E+01,4.3981E+01,2.1121E+00,2.3381E+00,3.3868E+01,3.3420E+01,3.7955E+01,8.8865E+00,9.5304E+00,1.9753E-01,2.0973E-01,6.8693E+00,5.6975E+00,5.5735E+00,5.7222E-01,
50,5.3182E+03,0.0000E+00,3.9676E+03,9.9693E+02,3.5369E+02,0.0000E+00,1.1151E+03,1.4391E+03,1.4134E+03,2.7216E+02,2.8546E+02,3.0515E+02,6.5212E+01,6.8952E+01,7.6644E+01,7.5636E+01,8.1200E+01,1.8584E+01,1.9616E+01,7.8190E-01,8.5238E-01,2.0985E+01,1.9439E+01,2.0502E+01,4.0975E+00,4.2725E+00,7.3616E-02,7.6967E-02,4.2545E+00,3.3149E+00,3.0110E+00,3.5437E-01,
60,3.2951E+03,0.0000E+00,2.4628E+03,6.1378E+02,2.1852E+02,0.0000E+00,7.6552E+02,8.8402E+02,8.1326E+02,1.8360E+02,1.8064E+02,1.8120E+02,3.3625E+01,3.4721E+01,5.1466E+01,4.8011E+01,4.8456E+01,9.7430E+00,1.0042E+01,3.4601E-01,3.7227E-01,1.4072E+01,1.2346E+01,1.2250E+01,2.1560E+00,2.1955E+00,3.2726E-02,3.3765E-02,2.8522E+00,2.1058E+00,1.7993E+00,2.3757E-01,
80,1.5382E+03,0.0000E+00,1.1517E+03,2.8461E+02,1.0183E+02,0.0000E+00,4.1270E+02,4.0340E+02,3.3561E+02,9.6946E+01,8.6119E+01,7.8157E+01,1.1731E+01,1.1657E+01,2.7033E+01,2.3019E+01,2.1062E+01,3.4753E+00,3.4476E+00,9.5494E-02,1.0054E-01,7.3812E+00,5.9266E+00,5.3359E+00,7.7234E-01,7.5324E-01,9.0844E-03,9.1712E-03,1.4954E+00,1.0112E+00,7.8380E-01,1.2455E-01,
100,8.4889E+02,0.0000E+00,6.3611E+02,1.5656E+02,5.6221E+01,0.0000E+00,2.5054E+02,2.1782E+02,1.6775E+02,5.8290E+01,4.7885E+01,4.0221E+01,5.1745E+00,4.9911E+00,1.6212E+01,1.2857E+01,1.0898E+01,1.5549E+00,1.4977E+00,3.5491E-02,3.6730E-02,4.4241E+00,3.3139E+00,2.7655E+00,3.4670E-01,3.2828E-01,3.3891E-03,3.3628E-03,8.9603E-01,5.6554E-01,4.0623E-01,7.4625E-02,
135.82,3.7508E+02,0.0000E+00,2.8123E+02,6.8974E+01,2.4876E+01,0.0000E+00,1.2375E+02,9.2985E+01,6.4494E+01,2.8569E+01,2.1160E+01,1.5992E+01,1.6876E+00,1.5650E+00,7.9300E+00,5.7158E+00,4.3627E+00,5.1526E-01,4.7740E-01,9.2023E-03,9.3095E-03,2.1632E+00,1.4754E+00,1.1068E+00,1.1533E-01,1.0505E-01,8.8249E-04,8.5581E-04,4.3791E-01,2.5185E-01,1.6295E-01,3.6470E-02,
136.91,1.4546E+03,1.0874E+03,2.7532E+02,6.7520E+01,2.4355E+01,1.0874E+03,1.2146E+02,9.0945E+01,6.2908E+01,2.8038E+01,2.0712E+01,1.5611E+01,1.6392E+00,1.5187E+00,7.7823E+00,5.5958E+00,4.2595E+00,5.0068E-01,4.6345E-01,8.8861E-03,8.9849E-03,2.1230E+00,1.4445E+00,1.0806E+00,1.1208E-01,1.0199E-01,8.5228E-04,8.2606E-04,4.2974E-01,2.4657E-01,1.5910E-01,3.5791E-02,
150,1.1641E+03,8.7621E+02,2.1590E+02,5.2911E+01,1.9112E+01,8.7621E+02,9.8050E+01,7.0540E+01,4.7311E+01,2.2606E+01,1.6210E+01,1.1842E+01,1.1757E+00,1.0774E+00,6.2722E+00,4.3866E+00,3.2369E+00,3.6055E-01,3.3016E-01,5.9608E-03,5.9909E-03,1.7110E+00,1.1370E+00,8.2158E-01,8.0788E-02,7.2730E-02,5.7239E-04,5.5139E-04,3.4629E-01,1.9338E-01,1.2097E-01,2.8841E-02,
200,5.6304E+02,4.2850E+02,1.0090E+02,2.4684E+01,8.9472E+00,4.2850E+02,4.9691E+01,3.1808E+01,1.9403E+01,1.1429E+01,7.4924E+00,4.9712E+00,4.1883E-01,3.7229E-01,3.1690E+00,2.0372E+00,1.3657E+00,1.2980E-01,1.1537E-01,1.7522E-03,1.7323E-03,8.6549E-01,5.2866E-01,3.4706E-01,2.9164E-02,2.5481E-02,1.6881E-04,1.5987E-04,1.7490E-01,8.9934E-02,5.1116E-02,1.4568E-02,
300,2.0498E+02,1.5784E+02,3.5362E+01,8.6307E+00,3.1398E+00,1.5784E+02,1.9084E+01,1.0583E+01,5.6951E+00,4.3862E+00,2.5595E+00,1.4947E+00,1.0211E-01,8.8253E-02,1.2157E+00,6.9962E-01,4.1285E-01,3.1991E-02,2.7676E-02,3.3183E-04,3.2103E-04,3.3196E-01,1.8181E-01,1.0505E-01,7.2112E-03,6.1275E-03,3.2059E-05,3.0149E-05,6.7076E-02,3.0936E-02,1.5478E-02,5.5883E-03,
400,1.0254E+02,7.9522E+01,1.7279E+01,4.2084E+00,1.5338E+00,7.9522E+01,9.8205E+00,4.9831E+00,2.4751E+00,2.2566E+00,1.2214E+00,6.5727E-01,3.9295E-02,3.3780E-02,6.2542E-01,3.3477E-01,1.8207E-01,1.2381E-02,1.0607E-02,1.0877E-04,1.0593E-04,1.7075E-01,8.7075E-02,4.6347E-02,2.7951E-03,2.3615E-03,1.0499E-05,1.0020E-05,3.4500E-02,1.4817E-02,6.8303E-03,2.8755E-03,
500,6.1176E+01,4.7690E+01,1.0127E+01,2.4616E+00,8.9801E-01,4.7690E+01,5.9521E+00,2.8405E+00,1.3341E+00,1.3672E+00,7.0167E-01,3.5656E-01,1.9392E-02,1.6758E-02,3.7889E-01,1.9264E-01,9.8765E-02,6.1340E-03,5.2814E-03,4.7516E-05,4.7799E-05,1.0342E-01,5.0133E-02,2.5192E-02,1.3850E-03,1.1764E-03,4.6101E-06,4.5125E-06,2.0897E-02,8.5310E-03,3.7129E-03,1.7429E-03,
600,4.0722E+01,3.1873E+01,6.6476E+00,1.6131E+00,5.8906E-01,3.1873E+01,3.9991E+00,1.8260E+00,8.2253E-01,9.1817E-01,4.5327E-01,2.2069E-01,1.1178E-02,9.7581E-03,2.5445E-01,1.2475E-01,6.1181E-02,3.5482E-03,3.0782E-03,2.4968E-05,2.6193E-05,6.9441E-02,3.2429E-02,1.5608E-02,8.0096E-04,6.8721E-04,2.4310E-06,2.4539E-06,1.4030E-02,5.5186E-03,2.3009E-03,1.1712E-03,
800,2.2041E+01,1.7345E+01,3.5295E+00,8.5407E-01,3.1207E-01,1.7345E+01,2.1843E+00,9.4426E-01,4.0095E-01,5.0101E-01,2.3562E-01,1.0798E-01,5.0081E-03,4.4546E-03,1.3880E-01,6.4927E-02,2.9945E-02,1.5934E-03,1.4055E-03,1.0368E-05,1.0886E-05,3.7876E-02,1.6883E-02,7.6439E-03,3.5999E-04,3.1419E-04,9.8194E-07,1.0351E-06,7.6523E-03,2.8731E-03,1.1274E-03,6.4050E-04,
1000,1.4007E+01,1.1059E+01,2.2164E+00,5.3526E-01,1.9563E-01,1.1059E+01,1.3931E+00,5.8497E-01,2.3830E-01,3.1928E-01,1.4635E-01,6.4290E-02,2.7961E-03,2.5433E-03,8.8431E-02,4.0351E-02,1.7835E-02,8.9014E-04,8.0673E-04,5.1985E-06,5.8197E-06,2.4129E-02,1.0495E-02,4.5525E-03,2.0160E-04,1.7978E-04,5.0050E-07,5.5871E-07,4.8751E-03,1.7861E-03,6.7171E-04,4.0962E-04,
1500,6.4532E+00,5.1129E+00,1.0086E+00,2.4293E-01,8.8785E-02,5.1129E+00,6.4225E-01,2.6531E-01,1.0104E-01,1.4700E-01,6.6595E-02,2.7206E-02,1.0953E-03,1.0318E-03,4.0691E-02,1.8359E-02,7.5627E-03,3.5005E-04,3.2534E-04,2.1041E-06,2.1308E-06,1.1101E-02,4.7742E-03,1.9316E-03,7.9191E-05,7.3004E-05,1.7357E-07,2.1330E-07,2.2434E-03,8.1272E-04,2.8554E-04,1.9152E-04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,4.29,5.71,2,2,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
