PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2,,,
10,5.5055E+04,0.0000E+00,0.0000E+00,4.2221E+04,1.2834E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.8509E+03,6.8376E+03,1.2219E+04,8.0310E+03,1.0282E+04,1.4282E+03,1.7539E+03,2.9967E+03,1.7079E+03,2.1800E+03,2.4487E+02,2.9495E+02,3.5085E+02,3.8789E+02,6.4370E+02,2.8216E+02,3.5612E+02,6.2561E+01,5.6391E+01,8.5201E+01,2.2077E+00,,,
15,1.9316E+04,0.0000E+00,0.0000E+00,1.4745E+04,4.5706E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3469E+03,2.9827E+03,4.7011E+03,2.1047E+03,2.6096E+03,6.5932E+02,7.4595E+02,1.1489E+03,4.8426E+02,5.9811E+02,4.4771E+01,5.3099E+01,1.6008E+02,1.6388E+02,2.4651E+02,8.1007E+01,9.8927E+01,2.8343E+01,2.3816E+01,3.2619E+01,1.0054E+00,,,
15.018,1.9254E+04,0.0000E+00,0.0000E+00,1.4698E+04,4.5562E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3415E+03,2.9747E+03,4.6869E+03,2.0960E+03,2.5985E+03,6.5774E+02,7.4394E+02,1.1455E+03,4.8235E+02,5.9569E+02,4.4536E+01,5.2818E+01,1.5969E+02,1.6343E+02,2.4577E+02,8.0690E+01,9.8530E+01,2.8274E+01,2.3751E+01,3.2521E+01,1.0030E+00,,,
15.139,4.6035E+04,0.0000E+00,2.7178E+04,1.4394E+04,4.4637E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.7178E+04,2.3070E+03,2.9236E+03,4.5961E+03,2.0401E+03,2.5274E+03,6.4757E+02,7.3099E+02,1.1233E+03,4.7013E+02,5.8020E+02,4.3041E+01,5.1028E+01,1.5719E+02,1.6057E+02,2.4100E+02,7.8664E+01,9.5991E+01,2.7828E+01,2.3336E+01,3.1890E+01,9.8724E-01,,,
17.954,2.9014E+04,0.0000E+00,1.6945E+04,9.1959E+03,2.8736E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.6945E+04,1.6691E+03,2.0019E+03,2.9988E+03,1.1374E+03,1.3888E+03,4.6219E+02,4.9876E+02,7.3434E+02,2.6957E+02,3.2777E+02,2.0602E+01,2.4248E+01,1.1179E+02,1.0942E+02,1.5759E+02,4.5316E+01,5.4483E+01,2.0059E+01,1.5902E+01,2.0852E+01,7.0175E-01,,,
18.098,3.9979E+04,0.0000E+00,2.8160E+04,9.0047E+03,2.8148E+03,0.0000E+00,0.0000E+00,1.1571E+04,1.6589E+04,1.6435E+03,1.9661E+03,2.9387E+03,1.1064E+03,1.3500E+03,4.5487E+02,4.8978E+02,7.1967E+02,2.6256E+02,3.1902E+02,1.9898E+01,2.3412E+01,1.1001E+02,1.0744E+02,1.5444E+02,4.4151E+01,5.3041E+01,1.9739E+01,1.5615E+01,2.0436E+01,6.9053E-01,,,
18.628,3.7206E+04,0.0000E+00,2.6250E+04,8.3445E+03,2.6116E+03,0.0000E+00,0.0000E+00,1.0894E+04,1.5356E+04,1.5542E+03,1.8410E+03,2.7301E+03,1.0010E+03,1.2183E+03,4.2931E+02,4.5850E+02,6.6885E+02,2.3861E+02,2.8918E+02,1.7543E+01,2.0614E+01,1.0377E+02,1.0056E+02,1.4354E+02,4.0154E+01,4.8115E+01,1.8619E+01,1.4615E+01,1.8993E+01,6.5134E-01,,,
18.778,4.2164E+04,0.0000E+00,3.1435E+04,8.1706E+03,2.5581E+03,0.0000E+00,5.7106E+03,1.0694E+04,1.5030E+04,1.5303E+03,1.8077E+03,2.6748E+03,9.7360E+02,1.1842E+03,4.2249E+02,4.5018E+02,6.5541E+02,2.3238E+02,2.8143E+02,1.6943E+01,1.9901E+01,1.0211E+02,9.8730E+01,1.4066E+02,3.9113E+01,4.6835E+01,1.8320E+01,1.4350E+01,1.8612E+01,6.4090E-01,,,
20,3.5834E+04,0.0000E+00,2.6747E+04,6.9160E+03,2.1711E+03,0.0000E+00,5.1178E+03,8.9804E+03,1.2648E+04,1.3536E+03,1.5628E+03,2.2729E+03,7.8144E+02,9.4532E+02,3.7206E+02,3.8915E+02,5.5769E+02,1.8828E+02,2.2672E+02,1.2850E+01,1.5051E+01,8.9821E+01,8.5323E+01,1.1971E+02,3.1745E+01,3.7791E+01,1.6114E+01,1.2402E+01,1.5840E+01,5.6369E-01,,,
30,1.2572E+04,0.0000E+00,9.4734E+03,2.3498E+03,7.4869E+02,0.0000E+00,2.4368E+03,3.1509E+03,3.8856E+03,5.9534E+02,5.8837E+02,7.6730E+02,1.8429E+02,2.1449E+02,1.6057E+02,1.4681E+02,1.9000E+02,4.6744E+01,5.4130E+01,2.1062E+00,2.4172E+00,3.8561E+01,3.2178E+01,4.0867E+01,7.9573E+00,9.1092E+00,6.9139E+00,4.6795E+00,5.4076E+00,2.4183E-01,,,
