PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,,,,,,,,,,,,,,
100,2.0728E+02,1.8047E+02,2.1948E+01,4.1149E+00,7.4570E-01,1.8047E+02,1.7289E+01,1.9678E+00,2.6914E+00,3.1934E+00,3.7974E-01,5.2327E-01,8.3566E-03,1.0151E-02,5.9519E-01,6.2974E-02,8.5690E-02,8.4316E-04,9.9996E-04,,,,,,,,,,,,,,
150,6.3702E+01,5.5569E+01,6.6558E+00,1.2496E+00,2.2790E-01,5.5569E+01,5.5084E+00,5.0029E-01,6.4709E-01,1.0212E+00,9.7676E-02,1.2730E-01,1.5631E-03,1.8532E-03,1.9044E-01,1.6238E-02,2.0887E-02,1.5824E-04,1.8304E-04,,,,,,,,,,,,,,
200,2.7620E+01,2.4111E+01,2.8709E+00,5.3948E-01,9.8726E-02,2.4111E+01,2.4371E+00,1.9331E-01,2.4052E-01,4.5284E-01,3.7961E-02,4.7610E-02,4.9453E-04,5.7692E-04,8.4479E-02,6.3208E-03,7.8187E-03,5.0058E-05,5.7336E-05,,,,,,,,,,,,,,
300,8.7059E+00,7.6042E+00,9.0109E-01,1.6943E-01,3.1126E-02,7.6042E+00,7.8468E-01,5.3182E-02,6.3230E-02,1.4610E-01,1.0530E-02,1.2570E-02,1.0522E-04,1.2352E-04,2.7280E-02,1.7522E-03,2.0703E-03,1.0652E-05,1.2298E-05,,,,,,,,,,,,,,
400,3.9698E+00,3.4686E+00,4.0986E-01,7.7099E-02,1.4188E-02,3.4686E+00,3.6146E-01,2.2340E-02,2.6060E-02,6.7383E-02,4.4385E-03,5.1946E-03,3.7537E-05,4.4951E-05,1.2585E-02,7.3895E-04,8.5619E-04,3.7859E-06,4.5020E-06,,,,,,,,,,,,,,
500,2.2233E+00,1.9432E+00,2.2902E-01,4.3088E-02,7.9372E-03,1.9432E+00,2.0351E-01,1.1801E-02,1.3709E-02,3.7963E-02,2.3489E-03,2.7374E-03,1.7584E-05,2.1779E-05,7.0909E-03,3.9124E-04,4.5111E-04,1.7726E-06,2.1917E-06,,,,,,,,,,,,,,
600,1.4173E+00,1.2392E+00,1.4567E-01,2.7409E-02,5.0520E-03,1.2392E+00,1.3010E-01,7.1896E-03,8.3843E-03,2.4277E-02,1.4331E-03,1.6761E-03,9.7535E-06,1.2724E-05,4.5348E-03,2.3869E-04,2.7621E-04,9.8759E-07,1.2723E-06,,,,,,,,,,,,,,
800,7.3076E-01,6.3930E-01,7.4794E-02,1.4068E-02,2.5952E-03,6.3930E-01,6.7230E-02,3.4567E-03,4.1080E-03,1.2547E-02,6.9103E-04,8.2056E-04,4.1321E-06,5.7631E-06,2.3438E-03,1.1500E-04,1.3541E-04,4.1477E-07,5.8105E-07,,,,,,,,,,,,,,
1000,4.5580E-01,3.9896E-01,4.6481E-02,8.7408E-03,1.6132E-03,3.9896E-01,4.1944E-02,2.0549E-03,2.4823E-03,7.8281E-03,4.0977E-04,4.9743E-04,2.2304E-06,3.3182E-06,1.4623E-03,6.8254E-05,8.2059E-05,2.2427E-07,3.3784E-07,,,,,,,,,,,,,,
1500,2.1095E-01,1.8482E-01,2.1375E-02,4.0169E-03,7.4193E-04,1.8482E-01,1.9393E-02,8.7812E-04,1.1043E-03,3.6180E-03,1.7526E-04,2.2141E-04,8.6281E-07,1.3675E-06,6.7594E-04,2.9149E-05,3.6614E-05,8.2844E-08,1.4374E-07,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
