PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,,,
80,8.4054E+02,7.1465E+02,1.0003E+02,2.0510E+01,5.3597E+00,7.1465E+02,6.7580E+01,1.4169E+01,1.8278E+01,1.3454E+01,2.9313E+00,3.8466E+00,1.2738E-01,1.5117E-01,3.0504E+00,6.2889E-01,8.2443E-01,2.6121E-02,3.0768E-02,5.3536E-01,9.2648E-02,1.1881E-01,5.2312E-02,,,,,,,,,,
100,4.5025E+02,3.8410E+02,5.2542E+01,1.0772E+01,2.8281E+00,3.8410E+02,3.7250E+01,6.8096E+00,8.4828E+00,7.4292E+00,1.4262E+00,1.8065E+00,5.1054E-02,5.9484E-02,1.6854E+00,3.0692E-01,3.8729E-01,1.0509E-02,1.2160E-02,2.9573E-01,4.5203E-02,5.5954E-02,2.8897E-02,,,,,,,,,,
150,1.4282E+02,1.2230E+02,1.6297E+01,3.3421E+00,8.8310E-01,1.2230E+02,1.2367E+01,1.8145E+00,2.1158E+00,2.4759E+00,3.8674E-01,4.5825E-01,9.9681E-03,1.1274E-02,5.6179E-01,8.3519E-02,9.8579E-02,2.0633E-03,2.3163E-03,9.8638E-02,1.2307E-02,1.4250E-02,9.6396E-03,,,,,,,,,,
200,6.3174E+01,5.4176E+01,7.1441E+00,1.4656E+00,3.8868E-01,5.4176E+01,5.6176E+00,7.2237E-01,8.0417E-01,1.1276E+00,1.5538E-01,1.7573E-01,3.2329E-03,3.6067E-03,2.5600E-01,3.3622E-02,3.7871E-02,6.7140E-04,7.4267E-04,4.4952E-02,4.9557E-03,5.4761E-03,4.3938E-03,,,,,,,,,,
300,2.0424E+01,1.7537E+01,2.2914E+00,4.7029E-01,1.2520E-01,1.7537E+01,1.8687E+00,2.0605E-01,2.1669E-01,3.7629E-01,4.4725E-02,4.7785E-02,7.0583E-04,7.8928E-04,8.5476E-02,9.7025E-03,1.0315E-02,1.4710E-04,1.6302E-04,1.5011E-02,1.4302E-03,1.4922E-03,1.4680E-03,,,,,,,,,,
400,9.4594E+00,8.1282E+00,1.0565E+00,2.1685E-01,5.7849E-02,8.1282E+00,8.7760E-01,8.8487E-02,9.0442E-02,1.7702E-01,1.9288E-02,2.0001E-02,2.5618E-04,2.9088E-04,4.0219E-02,4.1911E-03,4.3259E-03,5.3386E-05,6.0499E-05,7.0637E-03,6.1775E-04,6.2613E-04,6.9133E-04,,,,,,,,,,
500,5.3519E+00,4.6017E+00,5.9547E-01,1.2219E-01,3.2638E-02,4.6017E+00,5.0017E-01,4.7426E-02,4.7866E-02,1.0093E-01,1.0386E-02,1.0608E-02,1.2174E-04,1.4154E-04,2.2945E-02,2.2536E-03,2.2956E-03,2.5360E-05,2.9489E-05,4.0299E-03,3.3220E-04,3.3235E-04,3.9481E-04,,,,,,,,,,
600,3.4346E+00,2.9548E+00,3.8077E-01,7.8115E-02,2.0882E-02,2.9548E+00,3.2225E-01,2.9178E-02,2.9339E-02,6.5053E-02,6.4035E-03,6.5080E-03,6.8225E-05,8.1724E-05,1.4790E-02,1.3894E-03,1.4097E-03,1.4172E-05,1.7111E-05,2.5977E-03,2.0481E-04,2.0410E-04,2.5486E-04,,,,,,,,,,
800,1.7832E+00,1.5357E+00,1.9646E-01,4.0279E-02,1.0778E-02,1.5357E+00,1.6785E-01,1.4231E-02,1.4379E-02,3.3890E-02,3.1295E-03,3.1927E-03,2.8944E-05,3.7812E-05,7.7055E-03,6.7962E-04,6.9155E-04,6.0679E-06,7.8049E-06,1.3535E-03,1.0014E-04,1.0023E-04,1.3330E-04,,,,,,,,,,
1000,1.1145E+00,9.6065E-01,1.2216E-01,2.5033E-02,6.7017E-03,9.6065E-01,1.0498E-01,8.5010E-03,8.6820E-03,2.1194E-02,1.8716E-03,1.9303E-03,1.5857E-05,2.1631E-05,4.8185E-03,4.0652E-04,4.1794E-04,3.2781E-06,4.5259E-06,8.4652E-04,5.9910E-05,6.0591E-05,8.3830E-05,,,,,,,,,,
1500,5.1438E-01,4.4398E-01,5.5896E-02,1.1442E-02,3.0663E-03,4.4398E-01,4.8387E-02,3.6796E-03,3.8299E-03,9.7646E-03,8.0995E-04,8.5171E-04,6.1291E-06,9.2792E-06,2.2200E-03,1.7585E-04,1.8477E-04,1.2299E-06,1.8907E-06,3.9025E-04,2.5920E-05,2.6858E-05,3.9511E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,2,4,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
