PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
50,8.8121E+02,7.7116E+02,9.1537E+01,1.5879E+01,2.6299E+00,7.7116E+02,6.8471E+01,9.0281E+00,1.4038E+01,1.1762E+01,1.5700E+00,2.4489E+00,4.2417E-02,5.5156E-02,1.8978E+00,2.1616E-01,3.3539E-01,6.0247E-04,7.7363E-04,1.7911E-01,,,,,,,,,,,,,
60,5.2241E+02,4.5804E+02,5.3523E+01,9.2958E+00,1.5515E+00,4.5804E+02,4.1447E+01,4.7794E+00,7.2964E+00,7.1315E+00,8.3769E-01,1.2827E+00,1.9201E-02,2.4691E-02,1.1509E+00,1.1548E-01,1.7589E-01,2.7316E-04,3.4690E-04,1.0862E-01,,,,,,,,,,,,,
80,2.2643E+02,1.9896E+02,2.2832E+01,3.9725E+00,6.6980E-01,1.9896E+02,1.8499E+01,1.7478E+00,2.5855E+00,3.1914E+00,3.0944E-01,4.5916E-01,5.5226E-03,6.9740E-03,5.1520E-01,4.2736E-02,6.3057E-02,7.8761E-05,9.8154E-05,4.8627E-02,,,,,,,,,,,,,
100,1.1752E+02,1.0337E+02,1.1753E+01,2.0474E+00,3.4743E-01,1.0337E+02,9.7947E+00,8.0235E-01,1.1561E+00,1.6931E+00,1.4293E-01,2.0661E-01,2.1247E-03,2.6263E-03,2.7339E-01,1.9766E-02,2.8402E-02,3.0293E-05,3.7205E-05,2.5804E-02,,,,,,,,,,,,,
150,3.5419E+01,3.1191E+01,3.5105E+00,6.1271E-01,1.0491E-01,3.1191E+01,3.0411E+00,1.9807E-01,2.7139E-01,5.2741E-01,3.5576E-02,4.8866E-02,3.8795E-04,4.6756E-04,8.5194E-02,4.9303E-03,6.7362E-03,5.5301E-06,6.6478E-06,8.0419E-03,,,,,,,,,,,,,
200,1.5167E+01,1.3362E+01,1.4983E+00,2.6170E-01,4.5038E-02,1.3362E+01,1.3238E+00,7.5123E-02,9.9432E-02,2.2986E-01,1.3585E-02,1.7987E-02,1.2074E-04,1.4419E-04,3.7165E-02,1.8802E-03,2.4810E-03,1.7209E-06,2.0527E-06,3.5085E-03,,,,,,,,,,,,,
300,4.7069E+00,4.1480E+00,4.6377E-01,8.1109E-02,1.4024E-02,4.1480E+00,4.1784E-01,2.0206E-02,2.5724E-02,7.2706E-02,3.6733E-03,4.6741E-03,2.5233E-05,3.0330E-05,1.1759E-02,5.0860E-04,6.4533E-04,3.5896E-07,4.3359E-07,1.1104E-03,,,,,,,,,,,,,
400,2.1263E+00,1.8742E+00,2.0916E-01,3.6604E-02,6.3437E-03,1.8742E+00,1.9027E-01,8.3751E-03,1.0519E-02,3.3142E-02,1.5271E-03,1.9147E-03,8.8556E-06,1.1030E-05,5.3609E-03,2.1145E-04,2.6453E-04,1.2611E-07,1.5731E-07,5.0645E-04,,,,,,,,,,,,,
500,1.1838E+00,1.0436E+00,1.1627E-01,2.0353E-02,3.5321E-03,1.0436E+00,1.0637E-01,4.3867E-03,5.5145E-03,1.8537E-02,8.0114E-04,1.0048E-03,4.1194E-06,5.3986E-06,2.9988E-03,1.1094E-04,1.3883E-04,5.8769E-08,7.6502E-08,2.8348E-04,,,,,,,,,,,,,
600,7.5172E-01,6.6286E-01,7.3717E-02,1.2905E-02,2.2417E-03,6.6286E-01,6.7695E-02,2.6546E-03,3.3665E-03,1.1801E-02,4.8533E-04,6.1399E-04,2.2854E-06,3.0873E-06,1.9090E-03,6.7228E-05,8.4818E-05,3.2445E-08,4.4254E-08,1.8060E-04,,,,,,,,,,,,,
800,3.8610E-01,3.4060E-01,3.7744E-02,6.6071E-03,1.1492E-03,3.4060E-01,3.4829E-02,1.2719E-03,1.6435E-03,6.0720E-03,2.3225E-04,3.0052E-04,9.5532E-07,1.4102E-06,9.8234E-04,3.2127E-05,4.1583E-05,1.3578E-08,2.0264E-08,9.3161E-05,,,,,,,,,,,,,
1000,2.4057E-01,2.1230E-01,2.3452E-02,4.1048E-03,7.1469E-04,2.1230E-01,2.1706E-02,7.5006E-04,9.9645E-04,3.7841E-03,1.3694E-04,1.8241E-04,5.1865E-07,8.1119E-07,6.1223E-04,1.8956E-05,2.5225E-05,7.2959E-09,1.1785E-08,5.8258E-05,,,,,,,,,,,,,
1500,1.1159E-01,9.8537E-02,1.0825E-02,1.8936E-03,3.3050E-04,9.8537E-02,1.0059E-02,3.1876E-04,4.4679E-04,1.7532E-03,5.8176E-05,8.1695E-05,1.9735E-07,3.4097E-07,2.8373E-04,8.0465E-06,1.1330E-05,2.7043E-09,5.0837E-09,2.7385E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,0.8,1.2,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
