PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
150,9.0381E+02,7.0228E+02,1.5220E+02,3.6669E+01,1.2653E+01,7.0228E+02,7.6894E+01,4.3103E+01,3.2202E+01,1.7451E+01,9.9742E+00,7.9766E+00,6.5007E-01,6.1764E-01,4.7013E+00,2.6217E+00,2.1017E+00,1.8964E-01,1.7967E-01,2.4479E-03,2.5109E-03,1.1966E+00,6.2605E-01,4.9359E-01,3.7895E-02,3.5423E-02,3.4327E-05,3.3972E-05,2.4549E-01,1.1024E-01,8.0698E-02,2.9601E-04,2.5604E-04,2.7237E-02
200,4.3115E+02,3.3809E+02,7.0294E+01,1.6911E+01,5.8565E+00,3.3809E+02,3.8224E+01,1.9007E+01,1.3063E+01,8.6721E+00,4.4962E+00,3.3035E+00,2.2822E-01,2.1093E-01,2.3359E+00,1.1870E+00,8.7434E-01,6.7167E-02,6.1949E-02,7.0840E-04,7.0636E-04,5.9444E-01,2.8377E-01,2.0556E-01,1.3453E-02,1.2238E-02,9.9628E-06,9.7178E-06,1.2195E-01,4.9975E-02,3.3615E-02,1.0511E-04,8.8509E-05,1.3531E-02
300,1.5327E+02,1.2118E+02,2.4238E+01,5.8195E+00,2.0234E+00,1.2118E+02,1.4299E+01,6.1516E+00,3.7872E+00,3.2475E+00,1.4895E+00,9.7839E-01,5.4659E-02,4.9379E-02,8.7492E-01,3.9514E-01,2.6022E-01,1.6245E-02,1.4577E-02,1.3204E-04,1.3058E-04,2.2262E-01,9.4585E-02,6.1237E-02,3.2605E-03,2.8997E-03,1.8564E-06,1.8060E-06,4.5670E-02,1.6659E-02,1.0017E-02,2.5473E-05,2.1002E-05,5.0691E-03
400,7.5474E+01,5.9974E+01,1.1714E+01,2.8078E+00,9.7816E-01,5.9974E+01,7.2291E+00,2.8487E+00,1.6366E+00,1.6431E+00,6.9796E-01,4.2718E-01,2.0807E-02,1.8797E-02,4.4278E-01,1.8561E-01,1.1370E-01,6.2187E-03,5.5724E-03,4.2670E-05,4.2961E-05,1.1265E-01,4.4465E-02,2.6817E-02,1.2486E-03,1.1099E-03,6.0040E-07,5.9594E-07,2.3108E-02,7.8318E-03,4.3873E-03,9.7585E-06,8.0562E-06,2.5662E-03
500,4.4529E+01,3.5517E+01,6.8134E+00,1.6305E+00,5.6880E-01,3.5517E+01,4.3274E+00,1.6059E+00,8.8009E-01,9.8379E-01,3.9617E-01,2.3103E-01,1.0191E-02,9.3045E-03,2.6510E-01,1.0565E-01,6.1557E-02,3.0556E-03,2.7632E-03,1.8468E-05,1.9454E-05,6.7447E-02,2.5286E-02,1.4526E-02,6.1365E-04,5.5139E-04,2.6174E-07,2.6745E-07,1.3836E-02,4.4542E-03,2.3769E-03,4.7996E-06,4.0100E-06,1.5375E-03
600,2.9415E+01,2.3529E+01,4.4508E+00,1.0636E+00,3.7131E-01,2.3529E+01,2.8823E+00,1.0254E+00,5.4314E-01,6.5520E-01,2.5402E-01,1.4304E-01,5.9050E-03,5.4521E-03,1.7655E-01,6.7802E-02,3.8139E-02,1.7720E-03,1.6234E-03,1.0049E-05,1.0828E-05,4.4917E-02,1.6232E-02,9.0003E-03,3.5653E-04,3.2390E-04,1.4197E-07,1.4824E-07,9.2140E-03,2.8594E-03,1.4732E-03,2.7887E-06,2.3601E-06,1.0249E-03
800,1.5773E+01,1.2671E+01,2.3470E+00,5.5952E-01,1.9551E-01,1.2671E+01,1.5579E+00,5.2427E-01,2.6483E-01,3.5397E-01,1.3049E-01,6.9990E-02,2.5968E-03,2.4751E-03,9.5367E-02,3.4878E-02,1.8680E-02,7.8186E-04,7.3966E-04,4.0044E-06,4.3264E-06,2.4260E-02,8.3518E-03,4.4080E-03,1.5720E-04,1.4722E-04,5.4943E-08,6.1365E-08,4.9768E-03,1.4711E-03,7.2173E-04,1.2328E-06,1.0805E-06,5.5506E-04
1000,9.9846E+00,8.0427E+00,1.4699E+00,3.4983E-01,1.2227E-01,8.0427E+00,9.8883E-01,3.2304E-01,1.5799E-01,2.2456E-01,8.0583E-02,4.1822E-02,1.4622E-03,1.4080E-03,6.0485E-02,2.1556E-02,1.1155E-02,4.4015E-04,4.2277E-04,2.1102E-06,2.4699E-06,1.5386E-02,5.1610E-03,2.6335E-03,8.8356E-05,8.4658E-05,2.8797E-08,3.3634E-08,3.1565E-03,9.0920E-04,4.3148E-04,6.9464E-07,6.2694E-07,3.5341E-04
1500,4.5946E+00,3.7130E+00,6.6765E-01,1.5852E-01,5.5418E-02,3.7130E+00,4.5501E-01,1.4524E-01,6.7393E-02,1.0321E-01,3.6367E-02,1.7800E-02,5.6501E-04,5.7880E-04,2.7790E-02,9.7187E-03,4.7648E-03,1.7112E-04,1.7297E-04,7.8305E-07,9.2507E-07,7.0682E-03,2.3273E-03,1.1242E-03,3.4331E-05,3.4466E-05,9.9221E-09,1.2983E-08,1.4506E-03,4.1015E-04,1.8457E-04,2.7471E-07,2.6437E-07,1.6502E-04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,0.86,1.14,2,2,4,0.4,0.6,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
