PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
34.8,6.9471E+03,5.7891E+03,9.2616E+02,1.8726E+02,4.4535E+01,5.7891E+03,4.9784E+02,1.7363E+02,2.5470E+02,9.7743E+01,3.3275E+01,4.9626E+01,2.9095E+00,3.7081E+00,2.1424E+01,6.7671E+00,1.0066E+01,5.3629E-01,6.7771E-01,3.2163E+00,7.6419E-01,1.0834E+00,,,,,,,,,,,
40,4.8200E+03,4.0400E+03,6.2380E+02,1.2606E+02,3.0134E+01,4.0400E+03,3.5347E+02,1.1068E+02,1.5966E+02,6.9322E+01,2.1503E+01,3.1528E+01,1.6379E+00,2.0675E+00,1.5191E+01,4.3832E+00,6.4104E+00,3.0328E-01,3.7965E-01,2.2803E+00,4.9515E-01,6.9015E-01,,,,,,,,,,,
50,2.6747E+03,2.2619E+03,3.3004E+02,6.6648E+01,1.6050E+01,2.2619E+03,2.0164E+02,5.3444E+01,7.4950E+01,3.9526E+01,1.0585E+01,1.5081E+01,6.4941E-01,8.0635E-01,8.6618E+00,2.1650E+00,3.0768E+00,1.2101E-01,1.4899E-01,1.2999E+00,2.4468E-01,3.3143E-01,,,,,,,,,,,
60,1.6254E+03,1.3807E+03,1.9562E+02,3.9491E+01,9.5610E+00,1.3807E+03,1.2610E+02,2.9349E+01,4.0169E+01,2.4732E+01,5.8920E+00,8.1898E+00,3.0450E-01,3.7278E-01,5.4211E+00,1.2082E+00,1.6750E+00,5.6998E-02,6.9176E-02,8.1343E-01,1.3658E-01,1.8049E-01,,,,,,,,,,,
80,7.3308E+02,6.2631E+02,8.5341E+01,1.7224E+01,4.1996E+00,6.2631E+02,5.9096E+01,1.1344E+01,1.4901E+01,1.1611E+01,2.3186E+00,3.0916E+00,9.2362E-02,1.1048E-01,2.5468E+00,4.7739E-01,6.3306E-01,1.7383E-02,2.0622E-02,3.8200E-01,5.3952E-02,6.8395E-02,,,,,,,,,,,
100,3.9104E+02,3.3508E+02,4.4724E+01,9.0272E+00,2.2107E+00,3.3508E+02,3.2417E+01,5.4217E+00,6.8858E+00,6.3814E+00,1.1210E+00,1.4447E+00,3.6841E-02,4.3285E-02,1.3997E+00,2.3132E-01,2.9643E-01,6.9589E-03,8.1043E-03,2.1003E-01,2.6150E-02,3.2041E-02,,,,,,,,,,,
150,1.2324E+02,1.0595E+02,1.3813E+01,2.7893E+00,6.8766E-01,1.0595E+02,1.0676E+01,1.4314E+00,1.7053E+00,2.1097E+00,3.0083E-01,3.6350E-01,7.1346E-03,8.1454E-03,4.6305E-01,6.2287E-02,7.4816E-02,1.3549E-03,1.5325E-03,6.9491E-02,7.0434E-03,8.0910E-03,,,,,,,,,,,
200,5.4299E+01,4.6742E+01,6.0362E+00,1.2195E+00,3.0174E-01,4.6742E+01,4.8243E+00,5.6652E-01,6.4539E-01,9.5583E-01,1.2007E-01,1.3872E-01,2.3018E-03,2.5948E-03,2.0989E-01,2.4910E-02,2.8598E-02,4.3846E-04,4.8952E-04,3.1502E-02,2.8168E-03,3.0937E-03,,,,,,,,,,,
300,1.7466E+01,1.5052E+01,1.9279E+00,3.8973E-01,9.6791E-02,1.5052E+01,1.5944E+00,1.6043E-01,1.7307E-01,3.1686E-01,3.4289E-02,3.7518E-02,5.0065E-04,5.6110E-04,6.9619E-02,7.1302E-03,7.7450E-03,9.5546E-05,1.0677E-04,1.0450E-02,8.0630E-04,8.3831E-04,,,,,,,,,,,
400,8.0643E+00,6.9539E+00,8.8655E-01,1.7927E-01,4.4603E-02,6.9539E+00,7.4588E-01,6.8601E-02,7.2063E-02,1.4848E-01,1.4747E-02,1.5656E-02,1.8064E-04,2.0790E-04,3.2629E-02,3.0648E-03,3.2399E-03,3.4540E-05,3.9450E-05,4.8980E-03,3.4657E-04,3.5087E-04,,,,,,,,,,,
