PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
6,2.7508E+05,0.0000E+00,0.0000E+00,2.0411E+05,7.0974E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5982E+04,4.4769E+04,6.1929E+04,8.1429E+04,4.1053E+03,5.4399E+03,1.2155E+04,1.1610E+04,1.5348E+04,4.3199E+03,5.2554E+03,1.1996E+03,1.4588E+03,3.0622E+03,2.3509E+03,3.0717E+03,2.4666E+02,2.8878E+02,2.5548E+02,2.6106E+02,4.8514E+02,1.5973E+01,1.8409E+01,2.5487E+01,
6.319,2.4189E+05,0.0000E+00,0.0000E+00,1.7928E+05,6.2618E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5154E+04,4.0579E+04,5.3227E+04,7.0316E+04,3.7778E+03,5.0201E+03,1.0981E+04,1.0182E+04,1.3402E+04,3.5686E+03,4.3332E+03,1.0976E+03,1.3390E+03,2.7605E+03,2.0647E+03,2.6860E+03,2.0366E+02,2.3951E+02,2.3329E+02,2.3912E+02,4.3708E+02,1.4032E+01,1.6101E+01,2.3286E+01,
6.3695,2.4727E+05,0.0000E+00,0.0000E+00,1.8585E+05,6.1420E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0100E+04,1.5014E+04,3.9952E+04,5.2082E+04,6.8700E+04,3.7294E+03,4.9578E+03,1.0809E+04,9.9770E+03,1.3123E+04,3.4646E+03,4.2058E+03,1.0826E+03,1.3213E+03,2.7165E+03,2.0236E+03,2.6307E+03,1.9791E+02,2.3267E+02,2.3004E+02,2.3589E+02,4.3008E+02,1.3753E+01,1.5770E+01,2.2964E+01,
8,1.4105E+05,0.0000E+00,0.0000E+00,1.0585E+05,3.5198E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.4448E+03,1.1380E+04,2.5715E+04,2.6769E+04,3.4545E+04,2.5533E+03,3.4164E+03,6.8060E+03,5.4767E+03,7.0585E+03,1.4655E+03,1.7642E+03,7.2658E+02,8.9216E+02,1.6979E+03,1.1182E+03,1.4256E+03,8.5719E+01,9.9898E+01,1.5326E+02,1.5805E+02,2.6830E+02,7.6082E+00,8.5555E+00,1.5338E+01,
10,8.0703E+04,0.0000E+00,0.0000E+00,6.0454E+04,2.0249E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3306E+03,8.1564E+03,1.6203E+04,1.3588E+04,1.7175E+04,1.7348E+03,2.3053E+03,4.2287E+03,2.9469E+03,3.7228E+03,6.1384E+02,7.3256E+02,4.8634E+02,5.9372E+02,1.0503E+03,6.0629E+02,7.5789E+02,3.6629E+01,4.2304E+01,1.0198E+02,1.0455E+02,1.6577E+02,4.1302E+00,4.5536E+00,1.0230E+01,
15,2.8763E+04,0.0000E+00,0.0000E+00,2.1469E+04,7.2944E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7394E+03,3.9354E+03,6.5192E+03,3.7331E+03,4.5419E+03,8.2913E+02,1.0551E+03,1.6841E+03,8.8669E+02,1.0780E+03,1.1843E+02,1.3889E+02,2.2817E+02,2.6799E+02,4.1676E+02,1.8510E+02,2.2277E+02,7.2786E+00,8.2568E+00,4.7436E+01,4.6811E+01,6.6086E+01,1.2638E+00,1.3414E+00,4.7792E+00,
18.973,1.5702E+04,0.0000E+00,0.0000E+00,1.1699E+04,4.0031E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7994E+03,2.4511E+03,3.7042E+03,1.7105E+03,2.0341E+03,5.2975E+02,6.4718E+02,9.5636E+02,4.2464E+02,5.0424E+02,4.4153E+01,5.1203E+01,1.4475E+02,1.6371E+02,2.3659E+02,8.9360E+01,1.0505E+02,2.7492E+00,3.0831E+00,2.9982E+01,2.8501E+01,3.7513E+01,6.1080E-01,6.3328E-01,3.0272E+00,
19.125,3.6134E+04,0.0000E+00,2.0751E+04,1.1460E+04,3.9226E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.0751E+04,1.7730E+03,2.4108E+03,3.6324E+03,1.6652E+03,1.9787E+03,5.2162E+02,6.3626E+02,9.3778E+02,4.1396E+02,4.9115E+02,4.2682E+01,4.9478E+01,1.4250E+02,1.6093E+02,2.3200E+02,8.7136E+01,1.0235E+02,2.6587E+00,2.9804E+00,2.9513E+01,2.8646E+01,3.6784E+01,5.9561E-01,6.1703E-01,2.9800E+00,
20,3.2214E+04,0.0000E+00,1.8513E+04,1.0204E+04,3.4971E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.8513E+04,1.6317E+03,2.1952E+03,3.2522E+03,1.4320E+03,1.6931E+03,4.7821E+02,5.7806E+02,8.3972E+02,3.5867E+02,4.2357E+02,3.5281E+01,4.0806E+01,1.3048E+02,1.4612E+02,2.0774E+02,7.5607E+01,8.8394E+01,2.2025E+00,2.4633E+00,2.7007E+01,2.6009E+01,3.2937E+01,5.1690E-01,5.3303E-01,2.7280E+00,
23.757,2.0111E+04,0.0000E+00,1.1353E+04,6.5140E+03,2.2437E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.1353E+04,1.1793E+03,1.5118E+03,2.1044E+03,7.9505E+02,9.2338E+02,3.4058E+02,3.9631E+02,5.4469E+02,2.0482E+02,2.3751E+02,1.6839E+01,1.9301E+01,9.2573E+01,1.0002E+02,1.3480E+02,4.3406E+01,4.9829E+01,1.0595E+00,1.1742E+00,1.9120E+01,1.7801E+01,2.1373E+01,2.9697E-01,3.0071E-01,1.9338E+00,
23.947,2.8166E+04,0.0000E+00,1.9589E+04,6.3797E+03,2.1979E+03,0.0000E+00,0.0000E+00,8.4774E+03,1.1111E+04,1.1613E+03,1.4855E+03,2.0618E+03,7.7349E+02,8.9753E+02,3.3521E+02,3.8933E+02,5.3372E+02,1.9951E+02,2.3115E+02,1.6267E+01,1.8638E+01,9.1097E+01,9.8247E+01,1.3209E+02,4.2291E+01,4.8507E+01,1.0239E+00,1.1342E+00,1.8813E+01,1.7486E+01,2.0943E+01,2.8935E-01,2.9273E-01,1.9029E+00,
24.577,2.6336E+04,0.0000E+00,1.8321E+04,5.9603E+03,2.0550E+03,0.0000E+00,0.0000E+00,7.9668E+03,1.0354E+04,1.1044E+03,1.4024E+03,1.9283E+03,7.0705E+02,8.1811E+02,3.1824E+02,3.6735E+02,4.9940E+02,1.8310E+02,2.1155E+02,1.4534E+01,1.6629E+01,8.6442E+01,9.2680E+01,1.2361E+02,3.8842E+01,4.4426E+01,9.1584E-01,1.0130E+00,1.7847E+01,1.6495E+01,1.9598E+01,2.6578E-01,2.6814E-01,1.8055E+00,
24.774,2.9819E+04,0.0000E+00,2.1968E+04,5.8371E+03,2.0130E+03,0.0000E+00,3.9755E+03,7.8628E+03,1.0130E+04,1.0875E+03,1.3777E+03,1.8889E+03,6.8779E+02,7.9516E+02,3.1321E+02,3.6083E+02,4.8928E+02,1.7833E+02,2.0586E+02,1.4040E+01,1.6056E+01,8.5060E+01,9.1032E+01,1.2111E+02,3.7839E+01,4.3241E+01,8.8498E-01,9.7847E-01,1.7560E+01,1.6201E+01,1.9202E+01,2.5893E-01,2.6100E-01,1.7765E+00,
30,1.8353E+04,0.0000E+00,1.3597E+04,3.5316E+03,1.2245E+03,0.0000E+00,2.8557E+03,4.8868E+03,5.8544E+03,7.4647E+02,8.9093E+02,1.1426E+03,3.5248E+02,3.9910E+02,2.1247E+02,2.3302E+02,2.9722E+02,9.3928E+01,1.0613E+02,6.0807E+00,6.8784E+00,5.7510E+01,5.8736E+01,7.3629E+01,2.0038E+01,2.2414E+01,3.8623E-01,4.2234E-01,1.1997E+01,1.0454E+01,1.1675E+01,1.3721E-01,1.3539E-01,1.2003E+00,
40,8.7487E+03,0.0000E+00,6.5209E+03,1.6513E+03,5.7655E+02,0.0000E+00,1.6692E+03,2.3341E+03,2.5176E+03,4.1482E+02,4.4890E+02,5.2231E+02,1.2662E+02,1.3864E+02,1.1654E+02,1.1762E+02,1.3686E+02,3.4932E+01,3.8159E+01,1.6998E+00,1.8887E+00,3.1428E+01,2.9644E+01,3.3961E+01,7.5064E+00,8.1169E+00,1.0903E-01,1.1709E-01,6.5520E+00,5.2776E+00,5.3858E+00,5.1445E-02,4.9086E-02,6.5546E-01,
50,4.8841E+03,0.0000E+00,3.6520E+03,9.1206E+02,3.2002E+02,0.0000E+00,1.0698E+03,1.2929E+03,1.2893E+03,2.5846E+02,2.5814E+02,2.7881E+02,5.6482E+01,6.0167E+01,7.2112E+01,6.7859E+01,7.3499E+01,1.5936E+01,1.6935E+01,6.2626E-01,6.8547E-01,1.9408E+01,1.7111E+01,1.8267E+01,3.4414E+00,3.6198E+00,4.0415E-02,4.2753E-02,4.0448E+00,3.0473E+00,2.8972E+00,2.3597E-02,2.1906E-02,4.0461E-01,
60,3.0188E+03,0.0000E+00,2.2611E+03,5.6035E+02,1.9733E+02,0.0000E+00,7.3150E+02,7.8970E+02,7.3993E+02,1.7383E+02,1.6232E+02,1.6499E+02,2.9017E+01,3.0200E+01,4.8287E+01,4.2809E+01,4.3712E+01,8.3187E+00,8.6368E+00,2.7614E-01,2.9838E-01,1.2981E+01,1.0802E+01,1.0878E+01,1.8027E+00,1.8424E+00,1.7894E-02,1.8686E-02,2.7045E+00,1.9241E+00,1.7254E+00,1.2366E-02,1.1217E-02,2.7052E-01,
80,1.4036E+03,0.0000E+00,1.0530E+03,2.5893E+02,9.1677E+01,0.0000E+00,3.9127E+02,3.5750E+02,3.0426E+02,9.1320E+01,7.6649E+01,7.0807E+01,1.0067E+01,1.0090E+01,2.5251E+01,2.0334E+01,1.8901E+01,2.9483E+00,2.9484E+00,7.5788E-02,8.0173E-02,6.7797E+00,5.1372E+00,4.7134E+00,6.4134E-01,6.3186E-01,4.9378E-03,5.0471E-03,1.4120E+00,9.1540E-01,7.4770E-01,4.4064E-03,3.8507E-03,1.4123E-01,
