PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
50,1.6147E+03,0.0000E+00,1.2489E+03,2.8638E+02,7.9435E+01,0.0000E+00,5.4991E+02,3.1883E+02,3.8019E+02,1.2027E+02,6.5988E+01,8.1927E+01,8.4352E+00,9.7575E+00,2.9651E+01,1.5395E+01,1.8905E+01,1.9826E+00,2.2739E+00,2.5819E-02,2.9130E-02,5.3855E+00,2.3703E+00,2.7796E+00,5.6598E-02,6.1794E-02,5.1875E-01,,,,,,
60,9.7419E+02,0.0000E+00,7.5371E+02,1.7237E+02,4.8113E+01,0.0000E+00,3.5877E+02,1.8374E+02,2.1120E+02,7.8097E+01,3.8895E+01,4.6527E+01,4.1439E+00,4.7071E+00,1.9233E+01,9.1096E+00,1.0780E+01,9.8301E-01,1.1073E+00,1.0851E-02,1.2113E-02,3.4922E+00,1.4036E+00,1.5862E+00,2.8107E-02,3.0135E-02,3.3636E-01,,,,,,
69.646,6.4341E+02,0.0000E+00,4.9787E+02,1.1367E+02,3.1875E+01,0.0000E+00,2.5108E+02,1.1670E+02,1.3009E+02,5.4518E+01,2.5119E+01,2.9126E+01,2.3143E+00,2.5890E+00,1.3419E+01,5.9007E+00,6.7695E+00,5.5258E-01,6.1319E-01,5.3568E-03,5.9278E-03,2.4360E+00,9.0968E-01,9.9663E-01,1.5819E-02,1.6704E-02,2.3462E-01,,,,,,
70.203,3.2125E+03,2.5833E+03,4.8692E+02,1.1116E+02,3.1180E+01,2.5833E+03,2.4628E+02,1.1390E+02,1.2675E+02,5.3472E+01,2.4535E+01,2.8402E+01,2.2432E+00,2.5074E+00,1.3161E+01,5.7646E+00,6.6022E+00,5.3580E-01,5.9407E-01,5.1582E-03,5.7055E-03,2.3892E+00,8.8871E-01,9.7202E-01,1.5339E-02,1.6184E-02,2.3011E-01,,,,,,
80,2.2722E+03,1.8352E+03,3.3820E+02,7.7113E+01,2.1711E+01,1.8352E+03,1.7913E+02,7.6379E+01,8.2695E+01,3.8841E+01,1.6673E+01,1.8770E+01,1.3457E+00,1.4839E+00,9.5570E+00,3.9270E+00,4.3741E+00,3.2306E-01,3.5346E-01,2.7823E-03,3.0532E-03,1.7347E+00,6.0569E-01,6.4429E-01,9.2575E-03,9.6362E-03,1.6708E-01,,,,,,
100,1.2683E+03,1.0341E+03,1.8119E+02,4.1248E+01,1.1680E+01,1.0341E+03,1.0292E+02,3.8519E+01,3.9752E+01,2.2302E+01,8.5783E+00,9.1985E+00,5.6309E-01,6.0665E-01,5.4864E+00,2.0283E+00,2.1520E+00,1.3619E-01,1.4567E-01,9.7640E-04,1.0561E-03,9.9569E-01,3.1307E-01,3.1720E-01,3.9082E-03,3.9761E-03,9.5900E-02,,,,,,
150,4.2592E+02,3.5059E+02,5.8302E+01,1.3248E+01,3.7838E+00,3.5059E+02,3.6661E+01,1.1132E+01,1.0508E+01,7.9569E+00,2.5519E+00,2.4997E+00,1.1774E-01,1.2200E-01,1.9584E+00,6.0681E-01,5.8823E-01,2.8803E-02,2.9469E-02,1.5139E-04,1.6012E-04,3.5533E-01,9.3775E-02,8.6790E-02,8.2762E-04,8.1016E-04,3.4225E-02,,,,,,
200,1.9528E+02,1.6137E+02,2.6245E+01,5.9593E+00,1.7099E+00,1.6137E+02,1.7438E+01,4.6680E+00,4.1393E+00,3.7931E+00,1.0868E+00,9.9916E-01,3.9828E-02,4.0410E-02,9.3423E-01,2.5925E-01,2.3543E-01,9.8009E-03,9.8160E-03,4.2149E-05,4.4123E-05,1.6947E-01,4.0092E-02,3.4822E-02,2.8174E-04,2.7023E-04,1.6324E-02,,,,,,
300,6.6123E+01,5.4838E+01,8.7327E+00,1.9812E+00,5.7137E-01,5.4838E+01,6.1516E+00,1.4198E+00,1.1613E+00,1.3424E+00,3.3592E-01,2.8452E-01,9.1495E-03,9.1819E-03,3.3075E-01,8.0513E-02,6.7255E-02,2.2651E-03,2.2436E-03,7.5527E-06,7.9305E-06,6.0024E-02,1.2444E-02,9.9542E-03,6.5149E-05,6.1847E-05,5.7828E-03,,,,,,
400,3.1534E+01,2.6207E+01,4.1224E+00,9.3454E-01,2.7024E-01,2.6207E+01,2.9949E+00,6.3338E-01,4.9413E-01,6.5469E-01,1.5107E-01,1.2193E-01,3.4015E-03,3.4522E-03,1.6136E-01,3.6275E-02,2.8864E-02,8.4456E-04,8.4666E-04,2.3953E-06,2.5709E-06,2.9286E-02,5.6086E-03,4.2740E-03,2.4302E-05,2.3347E-05,2.8223E-03,,,,,,
500,1.8196E+01,1.5147E+01,2.3597E+00,5.3450E-01,1.5481E-01,1.5147E+01,1.7475E+00,3.4827E-01,2.6394E-01,3.8232E-01,8.3446E-02,6.5392E-02,1.6398E-03,1.7008E-03,9.4251E-02,2.0061E-02,1.5492E-02,4.0838E-04,4.1781E-04,1.0301E-06,1.1533E-06,1.7106E-02,3.1023E-03,2.2944E-03,1.1743E-05,1.1530E-05,1.6493E-03,,,,,,
600,1.1834E+01,9.8650E+00,1.5241E+00,3.4496E-01,1.0001E-01,9.8650E+00,1.1435E+00,2.1820E-01,1.6236E-01,2.5029E-01,5.2431E-02,4.0324E-02,9.2890E-04,9.8499E-04,6.1704E-02,1.2617E-02,9.5575E-03,2.3192E-04,2.4254E-04,5.3842E-07,6.2328E-07,1.1199E-02,1.9510E-03,1.4154E-03,6.6610E-06,6.7177E-06,1.0803E-03,,,,,,
800,6.2349E+00,5.2091E+00,7.9424E-01,1.7949E-01,5.2107E-02,5.2091E+00,6.0570E-01,1.0906E-01,7.9480E-02,1.3256E-01,2.6317E-02,1.9754E-02,4.0616E-04,4.4801E-04,3.2686E-02,6.3330E-03,4.6898E-03,1.0092E-04,1.1116E-04,2.1024E-07,2.6270E-07,5.9326E-03,9.7920E-04,6.9499E-04,2.9058E-06,3.0802E-06,5.7320E-04,,,,,,
