PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
10,1.1872E+04,1.0582E+04,1.1347E+03,1.5248E+02,2.8687E+00,1.0582E+04,7.7203E+02,1.2700E+02,2.3565E+02,1.0697E+02,1.5830E+01,2.9351E+01,1.3579E-01,1.9379E-01,2.8687E+00,,,,,,,,,,,,,,,,,,
15,3.8805E+03,3.4809E+03,3.5084E+02,4.7775E+01,9.8831E-01,3.4809E+03,2.6534E+02,3.0201E+01,5.5297E+01,3.6851E+01,3.8415E+00,7.0288E+00,2.1856E-02,3.0914E-02,9.8831E-01,,,,,,,,,,,,,,,,,,
20,1.7097E+03,1.5378E+03,1.5073E+02,2.0675E+01,4.5100E-01,1.5378E+03,1.2081E+02,1.0649E+01,1.9280E+01,1.6816E+01,1.3683E+00,2.4765E+00,5.8523E-03,8.2128E-03,4.5100E-01,,,,,,,,,,,,,,,,,,
30,5.2279E+02,4.7136E+02,4.5054E+01,6.2294E+00,1.4393E-01,4.7136E+02,3.8426E+01,2.3873E+00,4.2408E+00,5.3667E+00,3.1054E-01,5.5000E-01,9.0282E-04,1.2508E-03,1.4393E-01,,,,,,,,,,,,,,,,,,
40,2.2144E+02,1.9986E+02,1.8896E+01,2.6221E+00,6.2528E-02,1.9986E+02,1.6657E+01,8.1502E-01,1.4245E+00,2.3289E+00,1.0668E-01,1.8591E-01,2.3841E-04,3.2664E-04,6.2528E-02,,,,,,,,,,,,,,,,,,
50,1.1271E+02,1.0178E+02,9.5684E+00,1.3314E+00,3.2366E-02,1.0178E+02,8.6086E+00,3.5251E-01,6.0727E-01,1.2054E+00,4.6330E-02,7.9562E-02,8.4910E-05,1.1525E-04,3.2366E-02,,,,,,,,,,,,,,,,,,
60,6.4594E+01,5.8346E+01,5.4666E+00,7.6219E-01,1.8772E-02,5.8346E+01,4.9871E+00,1.7755E-01,3.0192E-01,6.9903E-01,2.3400E-02,3.9668E-02,3.6633E-05,4.9268E-05,1.8772E-02,,,,,,,,,,,,,,,,,,
80,2.6643E+01,2.4073E+01,2.2474E+00,3.1416E-01,7.8677E-03,2.4073E+01,2.0868E+00,6.0319E-02,1.0026E-01,2.9294E-01,7.9800E-03,1.3218E-02,9.8119E-06,1.3010E-05,7.8677E-03,,,,,,,,,,,,,,,,,,
100,1.3350E+01,1.2064E+01,1.1244E+00,1.5743E-01,3.9828E-03,1.2064E+01,1.0553E+00,2.6269E-02,4.2827E-02,1.4828E-01,3.4837E-03,5.6591E-03,3.5816E-06,4.7014E-06,3.9828E-03,,,,,,,,,,,,,,,,,,
150,3.7983E+00,3.4329E+00,3.1945E-01,4.4837E-02,1.1498E-03,3.4329E+00,3.0414E-01,5.9548E-03,9.3616E-03,4.2803E-02,7.9256E-04,1.2408E-03,6.0164E-07,7.7720E-07,1.1498E-03,,,,,,,,,,,,,,,,,,
200,1.5688E+00,1.4179E+00,1.3190E-01,1.8537E-02,4.7858E-04,1.4179E+00,1.2647E-01,2.1437E-03,3.2921E-03,1.7814E-02,2.8603E-04,4.3691E-04,1.7826E-07,2.3016E-07,4.7858E-04,,,,,,,,,,,,,,,,,,
300,4.6585E-01,4.2101E-01,3.9181E-02,5.5115E-03,1.4324E-04,4.2101E-01,3.7823E-02,5.4461E-04,8.1364E-04,5.3306E-03,7.2507E-05,1.0831E-04,3.5207E-08,4.6436E-08,1.4324E-04,,,,,,,,,,,,,,,,,,
400,2.0510E-01,1.8536E-01,1.7251E-02,2.4278E-03,6.3315E-05,1.8536E-01,1.6707E-02,2.1820E-04,3.2549E-04,2.3554E-03,2.9053E-05,4.3380E-05,1.1968E-08,1.6583E-08,6.3315E-05,,,,,,,,,,,,,,,,,,
500,1.1238E-01,1.0156E-01,9.4497E-03,1.3303E-03,3.4774E-05,1.0156E-01,9.1693E-03,1.1175E-04,1.6866E-04,1.2929E-03,1.4877E-05,2.2496E-05,5.4740E-09,7.9512E-09,3.4774E-05,,,,,,,,,,,,,,,,,,
600,7.0656E-02,6.3859E-02,5.9393E-03,8.3623E-04,2.1904E-05,6.3859E-02,5.7702E-03,6.6546E-05,1.0256E-04,8.1368E-04,8.8612E-06,1.3682E-05,2.9932E-09,4.6173E-09,2.1904E-05,,,,,,,,,,,,,,,,,,
800,3.5950E-02,3.2494E-02,3.0192E-03,4.2513E-04,1.1180E-05,3.2494E-02,2.9378E-03,3.1111E-05,5.0191E-05,4.1430E-04,4.1420E-06,6.6904E-06,1.2362E-09,2.1116E-09,1.1180E-05,,,,,,,,,,,,,,,,,,
1000,2.2359E-02,2.0212E-02,1.8759E-03,2.6419E-04,6.9786E-06,2.0212E-02,1.8273E-03,1.8181E-05,3.0418E-05,2.5770E-04,2.4145E-06,4.0706E-06,6.6532E-10,1.2520E-09,6.9786E-06,,,,,,,,,,,,,,,,,,
1500,1.0446E-02,9.4447E-03,8.7459E-04,1.2319E-04,3.3086E-06,9.4447E-03,8.5316E-04,7.6016E-06,1.3824E-05,1.2034E-04,1.0049E-06,1.8525E-06,2.8228E-10,6.0719E-10,3.3086E-06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,2,3,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
