PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
150,3.1740E-01,2.9414E-01,2.1452E-02,1.8059E-03,0.0000E+00,2.9414E-01,2.1151E-02,1.1247E-04,1.8911E-04,1.8003E-03,2.0812E-06,3.5126E-06,,,,,,,,,,,,,,,,,,,,,
200,1.2769E-01,1.1832E-01,8.6344E-03,7.2811E-04,0.0000E+00,1.1832E-01,8.5306E-03,3.9161E-05,6.4633E-05,7.2618E-04,7.2425E-07,1.2010E-06,,,,,,,,,,,,,,,,,,,,,
300,3.6753E-02,3.4056E-02,2.4871E-03,2.1004E-04,0.0000E+00,3.4056E-02,2.4621E-03,9.5269E-06,1.5500E-05,2.0958E-04,1.7557E-07,2.8865E-07,,,,,,,,,,,,,,,,,,,,,
400,1.5903E-02,1.4735E-02,1.0765E-03,9.0983E-05,0.0000E+00,1.4735E-02,1.0667E-03,3.7239E-06,6.1173E-06,9.0800E-05,6.8516E-08,1.1402E-07,,,,,,,,,,,,,,,,,,,,,
500,8.6235E-03,7.9902E-03,5.8390E-04,4.9370E-05,0.0000E+00,7.9902E-03,5.7886E-04,1.8749E-06,3.1564E-06,4.9277E-05,3.4453E-08,5.8862E-08,,,,,,,,,,,,,,,,,,,,,
600,5.3935E-03,4.9978E-03,3.6486E-04,3.0866E-05,0.0000E+00,4.9978E-03,3.6185E-04,1.1080E-06,1.9047E-06,3.0810E-05,2.0294E-08,3.5692E-08,,,,,,,,,,,,,,,,,,,,,
800,2.7302E-03,2.5299E-03,1.8464E-04,1.5633E-05,0.0000E+00,2.5299E-03,1.8319E-04,5.0989E-07,9.3449E-07,1.5607E-05,9.3113E-09,1.7569E-08,,,,,,,,,,,,,,,,,,,,,
1000,1.6973E-03,1.5728E-03,1.1475E-04,9.7260E-06,0.0000E+00,1.5728E-03,1.1388E-04,2.9648E-07,5.6566E-07,9.7098E-06,5.3743E-09,1.0799E-08,,,,,,,,,,,,,,,,,,,,,
1500,7.9692E-04,7.3848E-04,5.3859E-05,4.5867E-06,0.0000E+00,7.3848E-04,5.3478E-05,1.2202E-07,2.5896E-07,4.5793E-06,2.2189E-09,5.0973E-09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,0.67,1.33,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
