PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
6,9.5912E+04,0.0000E+00,7.7697E+04,1.5499E+04,2.7157E+03,0.0000E+00,1.6790E+04,2.1979E+04,3.8928E+04,3.5858E+03,3.1285E+03,5.5904E+03,1.3333E+03,1.8616E+03,7.2978E+02,5.4361E+02,9.6271E+02,1.6559E+02,2.2934E+02,7.2716E+01,4.5692E+00,7.4146E+00,,,,,,,,,,,
8,4.4955E+04,0.0000E+00,3.6496E+04,7.1659E+03,1.2932E+03,0.0000E+00,9.8116E+03,9.7909E+03,1.6894E+04,1.9959E+03,1.4802E+03,2.5872E+03,4.6248E+02,6.4003E+02,4.0219E+02,2.5813E+02,4.4761E+02,5.8873E+01,8.0793E+01,4.0019E+01,2.1709E+00,3.4492E+00,,,,,,,,,,,
10,2.4683E+04,0.0000E+00,2.0054E+04,3.9082E+03,7.2039E+02,0.0000E+00,6.2946E+03,5.1043E+03,8.6556E+03,1.2466E+03,8.0620E+02,1.3847E+03,1.9833E+02,2.7237E+02,2.4991E+02,1.4121E+02,2.4075E+02,2.5669E+01,3.4956E+01,2.4848E+01,1.1883E+00,1.8561E+00,,,,,,,,,,,
15,8.1313E+03,0.0000E+00,6.6089E+03,1.2787E+03,2.4372E+02,0.0000E+00,2.6581E+03,1.4960E+03,2.4547E+03,5.1045E+02,2.5286E+02,4.2012E+02,4.0526E+01,5.4778E+01,1.0179E+02,4.4670E+01,7.3707E+01,5.3557E+00,7.1438E+00,1.0112E+01,3.7631E-01,5.6880E-01,,,,,,,,,,,
20,3.6493E+03,0.0000E+00,2.9651E+03,5.7273E+02,1.1141E+02,0.0000E+00,1.3853E+03,6.0756E+02,9.7224E+02,2.6311E+02,1.0686E+02,1.7311E+02,1.2702E+01,1.6944E+01,5.2355E+01,1.8982E+01,3.0544E+01,1.6990E+00,2.2365E+00,5.1989E+00,1.6000E-01,2.3585E-01,,,,,,,,,,,
27.894,1.4289E+03,0.0000E+00,1.1605E+03,2.2398E+02,4.4479E+01,0.0000E+00,6.2821E+02,2.0862E+02,3.2362E+02,1.1860E+02,3.8112E+01,5.9819E+01,3.2254E+00,4.2274E+00,2.3572E+01,6.8096E+00,1.0617E+01,4.3648E-01,5.6449E-01,2.3398E+00,5.7430E-02,8.2030E-02,,,,,,,,,,,
28.118,8.7173E+03,7.3204E+03,1.1345E+03,2.1897E+02,4.3504E+01,7.3204E+03,6.1614E+02,2.0328E+02,3.1509E+02,1.1630E+02,3.7167E+01,5.8288E+01,3.1201E+00,4.0876E+00,2.3117E+01,6.6415E+00,1.0347E+01,4.2234E-01,5.4595E-01,2.2946E+00,5.6010E-02,7.9940E-02,,,,,,,,,,,
30,7.3792E+03,6.2169E+03,9.4385E+02,1.8214E+02,3.6320E+01,6.2169E+03,5.2582E+02,1.6458E+02,2.5345E+02,9.9191E+01,3.0282E+01,4.7182E+01,2.3818E+00,3.1085E+00,1.9714E+01,5.4166E+00,8.3842E+00,3.2302E-01,4.1596E-01,1.9566E+00,4.5690E-02,6.4780E-02,,,,,,,,,,,
40,3.4648E+03,2.9535E+03,4.1501E+02,8.0081E+01,1.6209E+01,2.9535E+03,2.5586E+02,6.3807E+01,9.5343E+01,4.8225E+01,1.2038E+01,1.8191E+01,7.1282E-01,9.1372E-01,9.5848E+00,2.1628E+00,3.2465E+00,9.7390E-02,1.2319E-01,9.5097E-01,1.8240E-02,2.5090E-02,,,,,,,,,,,
50,1.8829E+03,1.6138E+03,2.1837E+02,4.2139E+01,8.6134E+00,1.6138E+03,1.4386E+02,3.0325E+01,4.4180E+01,2.7132E+01,5.8144E+00,8.5631E+00,2.7820E-01,3.5122E-01,5.3948E+00,1.0486E+00,1.5285E+00,3.8190E-02,4.7560E-02,5.3506E-01,8.8400E-03,1.1850E-02,,,,,,,,,,,
60,1.1358E+03,9.7700E+02,1.2885E+02,2.4870E+01,5.1217E+00,9.7700E+02,8.8967E+01,1.6445E+01,2.3436E+01,1.6798E+01,3.1893E+00,4.5931E+00,1.2891E-01,1.6064E-01,3.3418E+00,5.7632E-01,8.2144E-01,1.7750E-02,2.1820E-02,3.3131E-01,4.8600E-03,6.3700E-03,,,,,,,,,,,
80,5.0504E+02,4.3623E+02,5.5794E+01,1.0775E+01,2.2403E+00,4.3623E+02,4.0998E+01,6.2358E+00,8.5610E+00,7.7588E+00,1.2277E+00,1.7027E+00,3.8430E-02,4.6870E-02,1.5434E+00,2.2246E-01,3.0533E-01,5.3100E-03,6.3900E-03,1.5309E-01,1.8800E-03,2.3700E-03,,,,,,,,,,,
100,2.6682E+02,2.3096E+02,2.9067E+01,5.6160E+00,1.1752E+00,2.3096E+02,2.2216E+01,2.9391E+00,3.9122E+00,4.2130E+00,5.8425E-01,7.8544E-01,1.5140E-02,1.8160E-02,8.3837E-01,1.0605E-01,1.4108E-01,2.1000E-03,2.4800E-03,8.3160E-02,8.9416E-04,1.0900E-03,,,,,,,,,,,
150,8.2781E+01,7.1825E+01,8.8769E+00,1.7169E+00,3.6265E-01,7.1825E+01,7.1676E+00,7.5796E-01,9.5128E-01,1.3645E+00,1.5270E-01,1.9353E-01,2.8700E-03,3.3500E-03,2.7169E-01,2.7800E-02,3.4850E-02,3.9925E-04,4.5984E-04,2.6950E-02,2.3435E-04,2.7048E-04,,,,,,,,,,,
200,3.6112E+01,3.1361E+01,3.8483E+00,7.4488E-01,1.5812E-01,3.1361E+01,3.1967E+00,2.9556E-01,3.5605E-01,6.1002E-01,5.9950E-02,7.2940E-02,9.1487E-04,1.0500E-03,1.2151E-01,1.0930E-02,1.3150E-02,1.2746E-04,1.4510E-04,1.2060E-02,9.2168E-05,1.0211E-04,,,,,,,,,,,
300,1.1470E+01,9.9685E+00,1.2160E+00,2.3558E-01,5.0260E-02,9.9685E+00,1.0394E+00,8.2220E-02,9.4330E-02,1.9891E-01,1.6820E-02,1.9430E-02,1.9623E-04,2.2660E-04,3.9640E-02,3.0700E-03,3.5100E-03,2.7384E-05,3.1332E-05,3.9300E-03,2.5852E-05,2.7300E-05,,,,,,,,,,,
400,5.2548E+00,4.5688E+00,5.5536E-01,1.0759E-01,2.3030E-02,4.5688E+00,4.8157E-01,3.4770E-02,3.9020E-02,9.2230E-02,7.1400E-03,8.0700E-03,7.0071E-05,8.3341E-05,1.8390E-02,1.3000E-03,1.4600E-03,9.7975E-06,1.1519E-05,1.8300E-03,1.0979E-05,1.1353E-05,,,,,,,,,,,
500,2.9519E+00,2.5675E+00,3.1113E-01,6.0280E-02,1.2920E-02,2.5675E+00,2.7212E-01,1.8450E-02,2.0570E-02,5.2150E-02,3.8000E-03,4.2600E-03,3.2986E-05,4.0461E-05,1.0400E-02,6.9302E-04,7.7036E-04,4.6052E-06,5.6040E-06,1.0300E-03,5.8431E-06,6.0060E-06,,,,,,,,,,,
600,1.8855E+00,1.6406E+00,1.9822E-01,3.8400E-02,8.2400E-03,1.6406E+00,1.7436E-01,1.1270E-02,1.2590E-02,3.3430E-02,2.3200E-03,2.6100E-03,1.8556E-05,2.3260E-05,6.6700E-03,4.2427E-04,4.7196E-04,2.5710E-06,3.2567E-06,6.6213E-04,3.5775E-06,3.6882E-06,,,,,,,,,,,
800,9.7409E-01,8.4820E-01,1.0192E-01,1.9740E-02,4.2400E-03,8.4820E-01,9.0300E-02,5.4400E-03,6.1700E-03,1.7320E-02,1.1200E-03,1.2800E-03,7.7702E-06,1.0738E-05,3.4500E-03,2.0528E-04,2.3151E-04,1.0834E-06,1.4832E-06,3.4331E-04,1.7342E-06,1.8189E-06,,,,,,,,,,,
1000,6.0792E-01,5.2968E-01,6.3340E-02,1.2270E-02,2.6400E-03,5.2968E-01,5.6390E-02,3.2300E-03,3.7200E-03,1.0810E-02,6.6939E-04,7.7372E-04,4.2369E-06,6.1664E-06,2.1600E-03,1.2213E-04,1.4012E-04,5.8729E-07,8.5744E-07,2.1461E-04,1.0350E-06,1.1095E-06,,,,,,,,,,,
1500,2.8110E-01,2.4517E-01,2.9090E-02,5.6300E-03,1.2100E-03,2.4517E-01,2.6040E-02,1.3900E-03,1.6600E-03,4.9900E-03,2.8678E-04,3.4452E-04,1.6176E-06,2.6575E-06,9.9572E-04,5.2358E-05,6.2357E-05,2.1772E-07,3.5956E-07,9.9634E-05,4.5024E-07,5.0782E-07,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,0.33,0.67,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
