PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,,,,,,,
11.292,6.2509E+04,0.0000E+00,3.8267E+04,1.9165E+04,5.0766E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.8267E+04,3.1432E+03,3.7399E+03,6.1810E+03,2.6610E+03,3.4400E+03,8.3076E+02,8.7302E+02,1.4079E+03,5.5177E+02,7.0855E+02,3.9791E+01,4.8146E+01,1.6271E+02,1.4478E+02,2.2290E+02,3.9217E+01,4.7020E+01,,,,,,,
12.847,4.4137E+04,0.0000E+00,2.6857E+04,1.3638E+04,3.6419E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.6857E+04,2.4567E+03,2.7925E+03,4.4885E+03,1.7093E+03,2.1908E+03,6.4353E+02,6.5030E+02,1.0236E+03,3.6181E+02,4.6057E+02,2.2705E+01,2.7357E+01,1.2573E+02,1.0774E+02,1.6209E+02,2.5786E+01,3.0647E+01,,,,,,,
12.95,6.0042E+04,0.0000E+00,4.3121E+04,1.3353E+04,3.5676E+03,0.0000E+00,0.0000E+00,1.6821E+04,2.6300E+04,2.4191E+03,2.7415E+03,4.3996E+03,1.6627E+03,2.1299E+03,6.3338E+02,6.3842E+02,1.0034E+03,3.5239E+02,4.4833E+02,2.1925E+01,2.6410E+01,1.2372E+02,1.0577E+02,1.5889E+02,2.5119E+01,2.9838E+01,,,,,,,
13.388,5.5265E+04,0.0000E+00,3.9768E+04,1.2224E+04,3.2728E+03,0.0000E+00,0.0000E+00,1.5670E+04,2.4098E+04,2.2683E+03,2.5374E+03,4.0449E+03,1.4810E+03,1.8930E+03,5.9254E+02,5.9086E+02,9.2287E+02,3.1549E+02,4.0046E+02,1.8941E+01,2.2789E+01,1.1568E+02,9.7868E+01,1.4615E+02,2.2504E+01,2.6670E+01,,,,,,,
13.496,6.2553E+04,0.0000E+00,4.7378E+04,1.1969E+04,3.2059E+03,0.0000E+00,8.4840E+03,1.5298E+04,2.3596E+04,2.2335E+03,2.4906E+03,3.9639E+03,1.4404E+03,1.8402E+03,5.8313E+02,5.7997E+02,9.0451E+02,3.0723E+02,3.8975E+02,1.8288E+01,2.1997E+01,1.1383E+02,9.6060E+01,1.4324E+02,2.1918E+01,2.5961E+01,,,,,,,
15,4.7848E+04,0.0000E+00,3.6374E+04,9.0382E+03,2.4359E+03,0.0000E+00,7.0408E+03,1.1642E+04,1.7691E+04,1.8158E+03,1.9423E+03,3.0233E+03,9.9503E+02,1.2617E+03,4.7111E+02,4.5207E+02,6.9117E+02,2.1546E+02,2.7129E+02,1.1457E+01,1.3730E+01,9.1809E+01,7.4843E+01,1.0949E+02,1.5404E+01,1.8109E+01,,,,,,,
20,2.2647E+04,0.0000E+00,1.7318E+04,4.1834E+03,1.1449E+03,0.0000E+00,4.2033E+03,5.4542E+03,7.6608E+03,1.0159E+03,9.6007E+02,1.4100E+03,3.5579E+02,4.4168E+02,2.6010E+02,2.2400E+02,3.2429E+02,7.9877E+01,9.8420E+01,3.1417E+00,3.7240E+00,5.0508E+01,3.7069E+01,5.1449E+01,5.7403E+00,6.6037E+00,,,,,,,
30,7.6934E+03,0.0000E+00,5.9105E+03,1.3944E+03,3.8851E+02,0.0000E+00,1.8771E+03,1.7583E+03,2.2750E+03,4.3027E+02,3.3519E+02,4.5355E+02,7.9703E+01,9.5698E+01,1.0883E+02,7.8755E+01,1.0536E+02,1.8627E+01,2.2187E+01,4.8835E-01,5.6904E-01,2.1069E+01,1.3044E+01,1.6732E+01,1.3466E+00,1.4978E+00,,,,,,,
40,3.5278E+03,0.0000E+00,2.7149E+03,6.3424E+02,1.7868E+02,0.0000E+00,1.0147E+03,7.6632E+02,9.3385E+02,2.2747E+02,1.5320E+02,1.9535E+02,2.6836E+01,3.1381E+01,5.7233E+01,3.6223E+01,4.5720E+01,6.4159E+00,7.4426E+00,1.2728E-01,1.4483E-01,1.1068E+01,6.0633E+00,7.2704E+00,4.6548E-01,5.0419E-01,,,,,,,
50,1.9148E+03,0.0000E+00,1.4747E+03,3.4277E+02,9.7312E+01,0.0000E+00,6.1614E+02,3.9697E+02,4.6164E+02,1.3657E+02,8.2011E+01,9.9742E+01,1.1403E+01,1.3045E+01,3.4271E+01,1.9491E+01,2.3476E+01,2.7669E+00,3.1400E+00,4.4597E-02,5.0112E-02,6.6549E+00,3.2656E+00,3.7371E+00,2.0121E-01,2.1321E-01,,,,,,,
60,1.1584E+03,0.0000E+00,8.9258E+02,2.0683E+02,5.9037E+01,0.0000E+00,4.0450E+02,2.3043E+02,2.5766E+02,8.9118E+01,4.8752E+01,5.6990E+01,5.6386E+00,6.3298E+00,2.2334E+01,1.1633E+01,1.3472E+01,1.3822E+00,1.5395E+00,1.8876E-02,2.0988E-02,4.3352E+00,1.9507E+00,2.1462E+00,1.0069E-01,1.0471E-01,,,,,,,
76.274,5.9586E+02,0.0000E+00,4.5928E+02,1.0610E+02,3.0477E+01,0.0000E+00,2.2877E+02,1.1186E+02,1.1864E+02,5.0159E+01,2.4329E+01,2.6958E+01,2.2245E+00,2.4342E+00,1.2556E+01,5.8342E+00,6.4054E+00,5.5146E-01,5.9893E-01,6.1099E-03,6.6918E-03,2.4365E+00,9.7924E-01,1.0215E+00,4.0253E-02,4.0812E-02,,,,,,,
76.885,2.8994E+03,2.3166E+03,4.4922E+02,1.0377E+02,2.9813E+01,2.3166E+03,2.2441E+02,1.0920E+02,1.1561E+02,4.9198E+01,2.3769E+01,2.6290E+01,2.1568E+00,2.3580E+00,1.2316E+01,5.7009E+00,6.2478E+00,5.3484E-01,5.8039E-01,5.8856E-03,6.4427E-03,2.3897E+00,9.5690E-01,9.9635E-01,3.9043E-02,3.9551E-02,,,,,,,
80,2.6182E+03,2.0963E+03,4.0228E+02,9.2899E+01,2.6715E+01,2.0963E+03,2.0383E+02,9.6841E+01,1.0162E+02,4.4671E+01,2.1166E+01,2.3200E+01,1.8488E+00,2.0127E+00,1.1181E+01,5.0804E+00,5.5178E+00,4.5924E-01,4.9624E-01,4.8860E-03,5.3345E-03,2.1695E+00,8.5286E-01,8.8007E-01,3.3533E-02,3.3826E-02,,,,,,,
100,1.4558E+03,1.1753E+03,2.1626E+02,4.9847E+01,1.4405E+01,1.1753E+03,1.1793E+02,4.9228E+01,4.9106E+01,2.5804E+01,1.0992E+01,1.1445E+01,7.7899E-01,8.2793E-01,6.4563E+00,2.6491E+00,2.7332E+00,1.9509E-01,2.0592E-01,1.7269E-03,1.8578E-03,1.2525E+00,4.4505E-01,4.3629E-01,1.4269E-02,1.4055E-02,,,,,,,
150,4.9437E+02,4.0357E+02,7.0011E+01,1.6104E+01,4.6879E+00,4.0357E+02,4.2494E+01,1.4421E+01,1.3096E+01,9.3060E+00,3.3209E+00,3.1438E+00,1.6472E-01,1.6813E-01,2.3289E+00,8.0527E-01,7.5546E-01,4.1754E-02,4.2127E-02,2.7102E-04,2.8499E-04,4.5169E-01,1.3546E-01,1.2073E-01,3.0594E-03,2.8958E-03,,,,,,,
200,2.2825E+02,1.8720E+02,3.1651E+01,7.2734E+00,2.1263E+00,1.8720E+02,2.0368E+01,6.0981E+00,5.1856E+00,4.4691E+00,1.4279E+00,1.2645E+00,5.5964E-02,5.5873E-02,1.1191E+00,3.4744E-01,3.0496E-01,1.4278E-02,1.4094E-02,7.5286E-05,7.8374E-05,2.1701E-01,5.8492E-02,4.8758E-02,1.0471E-03,9.6990E-04,,,,,,,
300,7.7897E+01,6.4153E+01,1.0597E+01,2.4326E+00,7.1412E-01,6.4153E+01,7.2574E+00,1.8752E+00,1.4643E+00,1.5973E+00,4.4677E-01,3.6280E-01,1.2988E-02,1.2795E-02,4.0014E-01,1.0922E-01,8.7624E-02,3.3365E-03,3.2486E-03,1.3721E-05,1.4298E-05,7.7616E-02,1.8383E-02,1.4048E-02,2.4475E-04,2.2393E-04,,,,,,,
400,3.7345E+01,3.0832E+01,5.0225E+00,1.1519E+00,3.3892E-01,3.0832E+01,3.5556E+00,8.4199E-01,6.2493E-01,7.8384E-01,2.0235E-01,1.5603E-01,4.8508E-03,4.8229E-03,1.9643E-01,4.9571E-02,3.7750E-02,1.2513E-03,1.2271E-03,4.3825E-06,4.6448E-06,3.8105E-02,8.3458E-03,6.0541E-03,9.1758E-05,8.4783E-05,,,,,,,
500,2.1627E+01,1.7889E+01,2.8826E+00,6.6049E-01,1.9460E-01,1.7889E+01,2.0833E+00,4.6499E-01,3.3427E-01,4.5965E-01,1.1231E-01,8.3813E-02,2.3461E-03,2.3787E-03,1.1521E-01,2.7550E-02,2.0297E-02,6.0621E-04,6.0590E-04,1.8839E-06,2.0736E-06,2.2349E-02,4.6388E-03,3.2554E-03,4.4482E-05,4.1942E-05,,,,,,,
600,1.4100E+01,1.1682E+01,1.8651E+00,4.2698E-01,1.2591E-01,1.1682E+01,1.3672E+00,2.9224E-01,2.0571E-01,3.0175E-01,7.0803E-02,5.1713E-02,1.3322E-03,1.3835E-03,7.5636E-02,1.7385E-02,1.2526E-02,3.4450E-04,3.5335E-04,9.8529E-07,1.1322E-06,1.4673E-02,2.9273E-03,2.0099E-03,2.5303E-05,2.4446E-05,,,,,,,
800,7.4494E+00,6.1873E+00,9.7382E-01,2.2256E-01,6.5695E-02,6.1873E+00,7.2650E-01,1.4666E-01,1.0066E-01,1.6037E-01,3.5653E-02,2.5332E-02,5.8462E-04,6.2491E-04,4.0192E-02,8.7617E-03,6.1467E-03,1.5118E-04,1.6114E-04,3.8537E-07,4.7098E-07,7.7968E-03,1.4757E-03,9.8659E-04,1.1075E-05,1.1216E-05,,,,,,,
1000,4.6857E+00,3.8990E+00,6.0723E-01,1.3861E-01,4.0936E-02,3.8990E+00,4.5772E-01,8.9185E-02,6.0330E-02,1.0099E-01,2.1755E-02,1.5189E-02,3.2072E-04,3.6002E-04,2.5313E-02,5.3423E-03,3.6897E-03,8.3016E-05,9.2654E-05,1.9839E-07,2.5254E-07,4.9105E-03,8.9950E-04,5.9215E-04,6.1040E-06,6.4719E-06,,,,,,,
1500,2.1557E+00,1.7983E+00,2.7596E-01,6.2867E-02,1.8575E-02,1.7983E+00,2.1037E-01,3.9464E-02,2.6118E-02,4.6371E-02,9.6413E-03,6.5819E-03,1.2531E-04,1.4738E-04,1.1622E-02,2.3694E-03,1.5979E-03,3.1956E-05,3.8041E-05,6.7638E-08,9.6214E-08,2.2546E-03,3.9902E-04,2.5666E-04,2.3608E-06,2.7087E-06,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,3.6,5.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
