PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
4,5.3791E+04,0.0000E+00,4.6812E+04,6.7075E+03,2.7231E+02,0.0000E+00,1.5029E+04,1.1097E+04,2.0686E+04,2.3765E+03,1.3347E+03,2.4854E+03,2.0955E+02,3.0140E+02,2.1111E+02,2.1688E+01,3.9519E+01,,,,,,,,,,,,,,,,
5,2.9422E+04,0.0000E+00,2.5571E+04,3.6881E+03,1.6256E+02,0.0000E+00,9.4734E+03,5.6486E+03,1.0449E+04,1.4708E+03,7.0415E+02,1.3013E+03,8.7057E+01,1.2479E+02,1.3035E+02,1.1471E+01,2.0743E+01,,,,,,,,,,,,,,,,
6,1.7862E+04,0.0000E+00,1.5506E+04,2.2498E+03,1.0577E+02,0.0000E+00,6.3970E+03,3.2096E+03,5.8994E+03,9.8311E+02,4.1084E+02,7.5439E+02,4.1791E+01,5.9719E+01,8.7014E+01,6.7060E+00,1.2049E+01,,,,,,,,,,,,,,,,
8,8.0484E+03,0.0000E+00,6.9740E+03,1.0214E+03,5.3017E+01,0.0000E+00,3.3516E+03,1.2852E+03,2.3372E+03,5.1004E+02,1.7060E+02,3.0988E+02,1.2757E+01,1.8126E+01,4.5259E+01,2.7930E+00,4.9646E+00,,,,,,,,,,,,,,,,
10,4.3064E+03,0.0000E+00,3.7266E+03,5.4927E+02,3.0527E+01,0.0000E+00,1.9874E+03,6.2061E+02,1.1186E+03,3.0115E+02,8.4323E+01,1.5179E+02,4.9755E+00,7.0331E+00,2.6706E+01,1.3834E+00,2.4370E+00,,,,,,,,,,,,,,,,
11.056,3.2445E+03,0.0000E+00,2.8061E+03,4.1469E+02,2.3721E+01,0.0000E+00,1.5620E+03,4.4516E+02,7.9897E+02,2.3640E+02,6.1051E+01,1.0943E+02,3.2418E+00,4.5714E+00,2.0961E+01,1.0025E+00,1.7583E+00,,,,,,,,,,,,,,,,
11.144,2.3489E+04,2.0317E+04,2.7434E+03,4.0551E+02,2.3248E+01,2.0317E+04,1.5321E+03,4.3350E+02,7.7780E+02,2.3187E+02,5.9495E+01,1.0660E+02,3.1329E+00,4.4170E+00,2.0558E+01,9.7700E-01,1.7130E+00,,,,,,,,,,,,,,,,
15,1.0905E+04,9.5419E+03,1.1769E+03,1.7516E+02,1.0854E+01,9.5419E+03,7.3539E+02,1.5938E+02,2.8213E+02,1.1110E+02,2.2395E+01,3.9579E+01,8.6834E-01,1.2150E+00,9.8475E+00,3.6857E-01,6.3748E-01,,,,,,,,,,,,,,,,
20,4.9961E+03,4.3998E+03,5.1419E+02,7.6973E+01,5.0884E+00,4.3998E+03,3.5169E+02,5.9209E+01,1.0329E+02,5.3148E+01,8.4778E+00,1.4761E+01,2.4670E-01,3.4007E-01,4.7104E+00,1.3977E-01,2.3820E-01,,,,,,,,,,,,,,,,
30,1.6101E+03,1.4269E+03,1.5767E+02,2.3776E+01,1.6929E+00,1.4269E+03,1.1923E+02,1.4222E+01,2.4221E+01,1.8066E+01,2.0796E+00,3.5341E+00,4.0820E-02,5.5386E-02,1.6014E+00,3.4360E-02,5.7153E-02,,,,,,,,,,,,,,,,
40,7.0453E+02,6.2612E+02,6.7436E+01,1.0213E+01,7.5809E-01,6.2612E+02,5.3865E+01,5.0839E+00,8.4867E+00,8.1822E+00,7.5171E-01,1.2523E+00,1.1252E-02,1.5058E-02,7.2537E-01,1.2438E-02,2.0277E-02,,,,,,,,,,,,,,,,
50,3.6701E+02,3.2664E+02,3.4692E+01,5.2688E+00,4.0169E-01,3.2664E+02,2.8686E+01,2.2747E+00,3.7318E+00,4.3660E+00,3.3859E-01,5.5456E-01,4.1373E-03,5.4760E-03,3.8709E-01,5.6088E-03,8.9858E-03,,,,,,,,,,,,,,,,
60,2.1408E+02,1.9070E+02,2.0083E+01,3.0560E+00,2.3738E-01,1.9070E+02,1.7006E+01,1.1764E+00,1.9002E+00,2.5925E+00,1.7592E-01,2.8335E-01,1.8313E-03,2.3985E-03,2.2987E-01,2.9166E-03,4.6007E-03,,,,,,,,,,,,,,,,
80,9.0614E+01,8.0796E+01,8.4294E+00,1.2866E+00,1.0236E-01,8.0796E+01,7.3606E+00,4.1549E-01,6.5331E-01,1.1247E+00,6.2633E-02,9.8052E-02,5.1048E-04,6.5790E-04,9.9730E-02,1.0374E-03,1.5930E-03,,,,,,,,,,,,,,,,
100,4.6247E+01,4.1255E+01,4.2839E+00,6.5450E-01,5.2904E-02,4.1255E+01,3.8120E+00,1.8597E-01,2.8586E-01,5.8284E-01,2.8152E-02,4.3074E-02,1.9170E-04,2.4395E-04,5.1737E-02,4.6634E-04,7.0016E-04,,,,,,,,,,,,,,,,
150,1.3559E+01,1.2101E+01,1.2504E+00,1.9155E-01,1.5805E-02,1.2101E+01,1.1416E+00,4.4035E-02,6.4814E-02,1.7495E-01,6.7066E-03,9.8217E-03,3.3682E-05,4.1968E-05,1.5534E-02,1.1110E-04,1.5977E-04,,,,,,,,,,,,,,,,
200,5.7060E+00,5.0932E+00,5.2542E-01,8.0610E-02,6.7202E-03,5.0932E+00,4.8588E-01,1.6278E-02,2.3267E-02,7.4564E-02,2.4873E-03,3.5361E-03,1.0240E-05,1.2690E-05,6.6215E-03,4.1193E-05,5.7544E-05,,,,,,,,,,,,,,,,
300,1.7332E+00,1.5472E+00,1.5942E-01,2.4497E-02,2.0632E-03,1.5472E+00,1.4929E-01,4.2446E-03,5.8873E-03,2.2945E-02,6.5106E-04,8.9702E-04,2.0772E-06,2.6067E-06,2.0378E-03,1.0774E-05,1.4614E-05,,,,,,,,,,,,,,,,
400,7.7313E-01,6.9021E-01,7.1065E-02,1.0928E-02,9.2498E-04,6.9021E-01,6.6953E-02,1.7281E-03,2.3835E-03,1.0297E-02,2.6566E-04,3.6345E-04,7.1843E-07,9.3780E-07,9.1466E-04,4.3947E-06,5.9275E-06,,,,,,,,,,,,,,,,
500,4.2703E-01,3.8125E-01,3.9226E-02,6.0334E-03,5.1221E-04,3.8125E-01,3.7088E-02,8.9757E-04,1.2405E-03,5.7052E-03,1.3766E-04,1.8970E-04,3.3116E-07,4.5321E-07,5.0683E-04,2.2768E-06,3.0969E-06,,,,,,,,,,,,,,,,
600,2.6982E-01,2.4092E-01,2.4763E-02,3.8094E-03,3.2407E-04,2.4092E-01,2.3469E-02,5.3937E-04,7.5509E-04,3.6107E-03,8.2765E-05,1.1552E-04,1.8205E-07,2.5902E-07,3.2081E-04,1.3682E-06,1.8894E-06,,,,,,,,,,,,,,,,
800,1.3792E-01,1.2317E-01,1.2634E-02,1.9437E-03,1.6584E-04,1.2317E-01,1.2009E-02,2.5520E-04,3.6900E-04,1.8478E-03,3.9112E-05,5.6587E-05,7.6033E-08,1.1802E-07,1.6426E-04,6.4673E-07,9.2930E-07,,,,,,,,,,,,,,,,
1000,8.5845E-02,7.6684E-02,7.8500E-03,1.2077E-03,1.0328E-04,7.6684E-02,7.4759E-03,1.4947E-04,2.2459E-04,1.1503E-03,2.2963E-05,3.4358E-05,4.0352E-08,6.9339E-08,1.0234E-04,3.7943E-07,5.6777E-07,,,,,,,,,,,,,,,,
1500,3.9947E-02,3.5698E-02,3.6406E-03,5.6007E-04,4.8168E-05,3.5698E-02,3.4766E-03,6.3153E-05,1.0088E-04,5.3487E-04,9.6597E-06,1.5497E-05,1.4832E-08,2.8775E-08,4.7746E-05,1.6060E-07,2.6142E-07,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,0.67,1.33,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
