PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
15.968,5.1286E+04,0.0000E+00,3.8539E+04,9.8851E+03,2.8623E+03,0.0000E+00,6.9631E+03,1.2768E+04,1.8808E+04,1.8493E+03,2.1177E+03,3.2550E+03,1.1848E+03,1.4784E+03,4.9681E+02,5.1046E+02,7.7016E+02,2.6791E+02,3.3237E+02,1.8039E+01,2.1461E+01,1.0877E+02,9.8596E+01,1.4367E+02,3.3727E+01,4.0562E+01,1.3989E+01,2.6836E+00,3.1191E+00,,,,
20,2.8886E+04,0.0000E+00,2.1863E+04,5.4331E+03,1.5900E+03,0.0000E+00,4.7226E+03,7.1785E+03,9.9615E+03,1.1846E+03,1.2432E+03,1.8116E+03,5.3642E+02,6.5731E+02,3.1422E+02,2.9970E+02,4.3055E+02,1.2517E+02,1.5244E+02,6.6520E+00,7.8401E+00,6.8562E+01,5.7848E+01,8.0387E+01,1.5836E+01,1.8695E+01,8.8165E+00,1.5752E+00,1.7450E+00,,,,
30,9.9289E+03,0.0000E+00,7.5571E+03,1.8279E+03,5.4381E+02,0.0000E+00,2.1591E+03,2.3903E+03,3.0077E+03,5.1108E+02,4.5041E+02,5.9723E+02,1.2338E+02,1.4584E+02,1.3352E+02,1.0913E+02,1.4334E+02,3.0129E+01,3.5382E+01,1.0614E+00,1.2275E+00,2.9016E+01,2.1072E+01,2.6826E+01,3.8408E+00,4.3722E+00,3.7305E+00,5.7415E-01,5.8218E-01,,,,
40,4.5932E+03,0.0000E+00,3.5047E+03,8.3702E+02,2.5152E+02,0.0000E+00,1.1908E+03,1.0631E+03,1.2508E+03,2.7362E+02,2.1094E+02,2.6153E+02,4.2302E+01,4.8616E+01,7.1000E+01,5.1408E+01,6.3247E+01,1.0598E+01,1.2098E+01,2.8284E-01,3.2225E-01,1.5402E+01,9.9367E+00,1.1862E+01,1.3569E+00,1.5015E+00,1.9799E+00,2.7081E-01,2.5732E-01,,,,
50,2.5088E+03,0.0000E+00,1.9164E+03,4.5479E+02,1.3761E+02,0.0000E+00,7.3258E+02,5.5962E+02,6.2416E+02,1.6590E+02,1.1499E+02,1.3522E+02,1.8221E+01,2.0457E+01,4.2895E+01,2.8164E+01,3.2890E+01,4.6419E+00,5.1764E+00,1.0061E-01,1.1320E-01,9.2983E+00,5.4495E+00,6.1639E+00,5.9611E-01,6.4440E-01,1.1949E+00,1.4853E-01,1.3399E-01,,,,
60,1.5253E+03,0.0000E+00,1.1658E+03,2.7563E+02,8.3860E+01,0.0000E+00,4.8586E+02,3.2891E+02,3.5107E+02,1.0914E+02,6.9340E+01,7.8022E+01,9.1054E+00,1.0021E+01,2.8162E+01,1.7053E+01,1.9065E+01,2.3472E+00,2.5661E+00,4.3098E-02,4.7965E-02,6.1030E+00,3.3233E+00,3.5762E+00,3.0208E-01,3.2011E-01,7.8404E-01,9.0012E-02,7.7751E-02,,,,
80,6.9236E+02,0.0000E+00,5.2949E+02,1.2466E+02,3.8218E+01,0.0000E+00,2.4857E+02,1.4083E+02,1.4009E+02,5.5406E+01,3.0755E+01,3.2233E+01,3.0326E+00,3.2311E+00,1.4269E+01,7.6104E+00,7.9282E+00,7.9392E-01,8.4050E-01,1.1310E-02,1.2226E-02,3.1005E+00,1.4851E+00,1.4891E+00,1.0248E-01,1.0515E-01,3.9699E-01,4.0227E-02,3.2384E-02,,,,
88.263,5.2813E+02,0.0000E+00,4.0395E+02,9.4993E+01,2.9190E+01,0.0000E+00,1.9665E+02,1.0518E+02,1.0211E+02,4.3753E+01,2.3221E+01,2.3743E+01,2.0822E+00,2.1938E+00,1.1264E+01,5.7575E+00,5.8521E+00,5.4755E-01,5.7331E-01,7.1789E-03,7.7115E-03,2.4471E+00,1.1240E+00,1.0996E+00,7.0745E-02,7.1782E-02,3.1333E-01,3.0448E-02,2.3917E-02,,,,
88.97,2.4477E+03,1.9311E+03,3.9517E+02,9.2920E+01,2.8558E+01,1.9311E+03,1.9292E+02,1.0272E+02,9.9526E+01,4.2919E+01,2.2696E+01,2.3160E+01,2.0197E+00,2.1259E+00,1.1049E+01,5.6283E+00,5.7093E+00,5.3128E-01,5.5578E-01,6.9194E-03,7.4290E-03,2.4004E+00,1.0988E+00,1.0729E+00,6.8649E-02,6.9593E-02,3.0735E-01,2.9765E-02,2.3334E-02,,,,
100,1.8022E+03,1.4279E+03,2.8630E+02,6.7249E+01,2.0721E+01,1.4279E+03,1.4546E+02,7.2559E+01,6.8278E+01,3.2320E+01,1.6223E+01,1.6071E+01,1.2923E+00,1.3424E+00,8.3175E+00,4.0320E+00,3.9709E+00,3.4159E-01,3.5271E-01,4.0396E-03,4.3055E-03,1.8068E+00,7.8750E-01,7.4655E-01,4.4181E-02,4.4202E-02,2.3134E-01,2.1333E-02,1.6238E-02,,,,
