PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
500,5.1181E+01,4.0443E+01,8.0926E+00,1.9507E+00,6.9430E-01,4.0443E+01,4.9782E+00,2.0572E+00,1.0572E+00,1.1372E+00,5.0820E-01,2.7976E-01,1.3520E-02,1.2057E-02,3.1040E-01,1.3741E-01,7.5850E-02,4.1507E-03,3.6804E-03,2.8211E-05,2.8933E-05,8.1642E-02,3.4207E-02,1.8578E-02,8.8246E-04,7.7392E-04,1.3599E-06,1.3612E-06,1.6474E-02,5.8395E-03,2.8456E-03,1.5071E-03,
600,3.3918E+01,2.6890E+01,5.2981E+00,1.2752E+00,4.5417E-01,2.6890E+01,3.3277E+00,1.3179E+00,6.5254E-01,7.5997E-01,3.2699E-01,1.7327E-01,7.8514E-03,7.0664E-03,2.0740E-01,8.8509E-02,4.7023E-02,2.4144E-03,2.1640E-03,1.5539E-05,1.5786E-05,5.4553E-02,2.2039E-02,1.1518E-02,5.1362E-04,4.5417E-04,7.3963E-07,7.5383E-07,1.1008E-02,3.7620E-03,1.7645E-03,1.0080E-03,
800,1.8256E+01,1.4543E+01,2.8011E+00,6.7243E-01,2.3969E-01,1.4543E+01,1.8063E+00,6.7676E-01,3.1796E-01,4.1226E-01,1.6876E-01,8.4742E-02,3.4646E-03,3.2061E-03,1.1249E-01,4.5748E-02,2.3012E-02,1.0716E-03,9.8034E-04,5.9364E-06,6.7206E-06,2.9585E-02,1.1391E-02,5.6381E-03,2.2747E-04,2.0676E-04,2.8711E-07,3.1278E-07,5.9698E-03,1.9446E-03,8.6410E-04,5.4824E-04,
1000,1.1574E+01,9.2475E+00,1.7557E+00,4.2071E-01,1.4999E-01,9.2475E+00,1.1488E+00,4.1770E-01,1.8927E-01,2.6201E-01,1.0442E-01,5.0531E-02,1.9347E-03,1.8140E-03,7.1470E-02,2.8322E-02,1.3715E-02,5.9619E-04,5.6097E-04,3.1223E-06,3.5374E-06,1.8797E-02,7.0543E-03,3.3622E-03,1.2681E-04,1.1816E-04,1.4608E-07,1.6934E-07,3.7931E-03,1.2042E-03,5.1559E-04,3.4978E-04,
1500,5.3288E+00,4.2717E+00,7.9824E-01,1.9080E-01,6.8040E-02,4.2717E+00,5.2897E-01,1.8868E-01,8.0588E-02,1.2050E-01,4.7329E-02,2.1464E-02,7.5692E-04,7.4950E-04,3.2857E-02,1.2832E-02,5.8459E-03,2.3620E-04,2.2793E-04,1.1450E-06,1.4232E-06,8.6397E-03,3.1953E-03,1.4324E-03,4.9932E-05,4.8283E-05,5.2072E-08,6.5950E-08,1.7439E-03,5.4571E-04,2.2013E-04,1.6359E-04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,2.57,3.43,2,2,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
