PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
3.5142,5.5116E+05,0.0000E+00,0.0000E+00,3.9721E+05,1.5395E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6680E+05,2.3042E+05,8.3957E+03,1.0657E+04,2.4444E+04,2.6370E+04,3.6357E+04,1.2029E+04,1.4968E+04,2.1785E+03,2.4653E+03,5.2745E+03,4.0499E+03,5.4956E+03,3.7218E+02,3.1391E+02,5.7966E+02,,,,
3.5423,6.2498E+05,0.0000E+00,0.0000E+00,4.7385E+05,1.5113E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.5143E+04,1.6333E+05,2.2537E+05,8.2917E+03,1.0535E+04,2.4096E+04,2.5889E+04,3.5672E+04,1.1695E+04,1.4550E+04,2.1495E+03,2.4342E+03,5.1967E+03,3.9762E+03,5.3927E+03,3.6709E+02,3.0982E+02,5.7103E+02,,,,
4,4.6339E+05,0.0000E+00,0.0000E+00,3.4963E+05,1.1376E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.2861E+04,1.1708E+05,1.5969E+05,6.8463E+03,8.7784E+03,1.9281E+04,1.9432E+04,2.6542E+04,7.5820E+03,9.4019E+03,1.7501E+03,1.9989E+03,4.1309E+03,2.9883E+03,4.0203E+03,2.9724E+02,2.5285E+02,4.5303E+02,,,,
4.1443,4.2376E+05,0.0000E+00,0.0000E+00,3.1911E+05,1.0465E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.8910E+04,1.0598E+05,1.4422E+05,6.4692E+03,8.3096E+03,1.8044E+04,1.7834E+04,2.4298E+04,6.6697E+03,8.2631E+03,1.6471E+03,1.8848E+03,3.8590E+03,2.7439E+03,3.6828E+03,2.7936E+02,2.3803E+02,4.2302E+02,,,,
4.1775,4.4061E+05,0.0000E+00,0.0000E+00,3.3792E+05,1.0269E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5353E+04,6.7998E+04,1.0362E+05,1.4095E+05,6.3867E+03,8.2070E+03,1.7776E+04,1.7491E+04,2.3816E+04,6.4795E+03,8.0256E+03,1.6248E+03,1.8599E+03,3.8001E+03,2.6914E+03,3.6104E+03,2.7548E+02,2.3480E+02,4.1651E+02,,,,
4.4474,3.7864E+05,0.0000E+00,0.0000E+00,2.9009E+05,8.8546E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4135E+04,6.0809E+04,8.6769E+04,1.1838E+05,5.7678E+03,7.4345E+03,1.5787E+04,1.4990E+04,2.0316E+04,5.1556E+03,6.3745E+03,1.4588E+03,1.6739E+03,3.3646E+03,2.3089E+03,3.0844E+03,2.4670E+02,2.1072E+02,3.7306E+02,,,,
4.483,3.8772E+05,0.0000E+00,0.0000E+00,3.0084E+05,8.6883E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6258E+04,2.3960E+04,5.9914E+04,8.4908E+04,1.1580E+05,5.6927E+03,7.3399E+03,1.5547E+04,1.4694E+04,1.9905E+04,5.0067E+03,6.1891E+03,1.4388E+03,1.6513E+03,3.3125E+03,2.2639E+03,3.0226E+03,2.4325E+02,2.0781E+02,3.6726E+02,,,,
5,2.9787E+05,0.0000E+00,0.0000E+00,2.3094E+05,6.6930E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3921E+04,2.1171E+04,4.8732E+04,6.2758E+04,8.4358E+04,4.7527E+03,6.1342E+03,1.2573E+04,1.1143E+04,1.4978E+04,3.3401E+03,4.1162E+03,1.1896E+03,1.3676E+03,2.6679E+03,1.7207E+03,2.2805E+03,2.0030E+02,1.7133E+02,2.9559E+02,,,,
6,1.9040E+05,0.0000E+00,0.0000E+00,1.4735E+05,4.3050E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0735E+04,1.6064E+04,3.4776E+04,3.6795E+04,4.8982E+04,3.4856E+03,4.4791E+03,8.7118E+03,6.8879E+03,9.1404E+03,1.6721E+03,2.0497E+03,8.6085E+02,9.8626E+02,1.8382E+03,1.0687E+03,1.3989E+03,1.4405E+02,1.2273E+02,2.0350E+02,,,,
8,9.2705E+04,0.0000E+00,0.0000E+00,7.1516E+04,2.1189E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.9305E+03,1.0063E+04,1.9270E+04,1.5309E+04,1.9943E+04,2.0955E+03,2.6293E+03,4.7321E+03,3.0839E+03,4.0083E+03,5.4021E+02,6.5623E+02,5.0941E+02,5.7140E+02,9.9308E+02,4.8273E+02,6.1912E+02,8.4533E+01,7.3107E+01,1.0985E+02,,,,
10,5.2529E+04,0.0000E+00,0.0000E+00,4.0417E+04,1.2112E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7748E+03,6.6489E+03,1.1798E+04,7.5355E+03,9.6603E+03,1.3909E+03,1.6902E+03,2.8723E+03,1.5967E+03,2.0408E+03,2.1832E+02,2.6321E+02,3.3510E+02,3.6500E+02,6.0156E+02,2.5172E+02,3.1752E+02,5.5306E+01,4.6679E+01,6.6520E+01,,,,
14.604,1.9730E+04,0.0000E+00,0.0000E+00,1.5115E+04,4.6147E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4145E+03,3.0464E+03,4.8241E+03,2.1512E+03,2.6788E+03,6.7437E+02,7.5687E+02,1.1711E+03,4.9025E+02,6.0797E+02,4.4498E+01,5.2893E+01,1.6076E+02,1.6249E+02,2.4499E+02,7.8168E+01,9.5678E+01,2.6833E+01,2.0778E+01,2.7085E+01,,,,
14.721,4.7371E+04,0.0000E+00,2.8047E+04,1.4803E+04,4.5210E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.8047E+04,2.3788E+03,2.9938E+03,4.7306E+03,2.0938E+03,2.6055E+03,6.6393E+02,7.4365E+02,1.1484E+03,4.7783E+02,5.9217E+02,4.3002E+01,5.1100E+01,1.5824E+02,1.5964E+02,2.4025E+02,7.6203E+01,9.3212E+01,2.6412E+01,2.0414E+01,2.6560E+01,,,,
15,4.5113E+04,0.0000E+00,2.6715E+04,1.4091E+04,4.3074E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.6715E+04,2.2969E+03,2.8729E+03,4.5165E+03,1.9641E+03,2.4404E+03,6.3990E+02,7.1332E+02,1.0965E+03,4.4972E+02,5.5646E+02,3.9670E+01,4.7104E+01,1.5245E+02,1.5311E+02,2.2940E+02,7.1756E+01,8.7636E+01,2.5445E+01,1.9578E+01,2.5361E+01,,,,
17.38,3.0247E+04,0.0000E+00,1.7736E+04,9.5669E+03,2.9441E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.7736E+04,1.7354E+03,2.0687E+03,3.1227E+03,1.1853E+03,1.4548E+03,4.7803E+02,5.1215E+02,7.5947E+02,2.7798E+02,3.3967E+02,2.0978E+01,2.4756E+01,1.1355E+02,1.0980E+02,1.5892E+02,4.4532E+01,5.3707E+01,1.8946E+01,1.4042E+01,1.7568E+01,,,,
17.519,4.1585E+04,0.0000E+00,2.9333E+04,9.3679E+03,2.8838E+03,0.0000E+00,0.0000E+00,1.1971E+04,1.7363E+04,1.7088E+03,2.0316E+03,3.0601E+03,1.1530E+03,1.4142E+03,4.7047E+02,5.0291E+02,7.4432E+02,2.7075E+02,3.3061E+02,2.0261E+01,2.3903E+01,1.1173E+02,1.0781E+02,1.5575E+02,4.3387E+01,5.2285E+01,1.8643E+01,1.3788E+01,1.7218E+01,,,,
18.039,3.8709E+04,0.0000E+00,2.7364E+04,8.6716E+03,2.6729E+03,0.0000E+00,0.0000E+00,1.1307E+04,1.6057E+04,1.6147E+03,1.9004E+03,2.8403E+03,1.0417E+03,1.2745E+03,4.4369E+02,4.7029E+02,6.9111E+02,2.4573E+02,2.9929E+02,1.7831E+01,2.1009E+01,1.0532E+02,1.0080E+02,1.4462E+02,3.9408E+01,4.7371E+01,1.7572E+01,1.2892E+01,1.5988E+01,,,,
18.184,4.3858E+04,0.0000E+00,3.2749E+04,8.4908E+03,2.6181E+03,0.0000E+00,5.9501E+03,1.1083E+04,1.5717E+04,1.5900E+03,1.8659E+03,2.7829E+03,1.0132E+03,1.2388E+03,4.3665E+02,4.6174E+02,6.7723E+02,2.3931E+02,2.9127E+02,1.7220E+01,2.0282E+01,1.0363E+02,9.8967E+01,1.4172E+02,3.8386E+01,4.6110E+01,1.7290E+01,1.2658E+01,1.5668E+01,,,,
20,3.4326E+04,0.0000E+00,2.5682E+04,6.6004E+03,2.0435E+03,0.0000E+00,4.9925E+03,8.5929E+03,1.2097E+04,1.3201E+03,1.4965E+03,2.1758E+03,7.2669E+02,8.8125E+02,3.6028E+02,3.7021E+02,5.3055E+02,1.7405E+02,2.1005E+02,1.1335E+01,1.3294E+01,8.5369E+01,7.9317E+01,1.1106E+02,2.7988E+01,3.3334E+01,1.4241E+01,1.0145E+01,1.2278E+01,,,,
30,1.2004E+04,0.0000E+00,9.0627E+03,2.2379E+03,7.0338E+02,0.0000E+00,2.3813E+03,2.9862E+03,3.6953E+03,5.7826E+02,5.5896E+02,7.3108E+02,1.7053E+02,1.9909E+02,1.5500E+02,1.3867E+02,1.7994E+02,4.2949E+01,4.9875E+01,1.8485E+00,2.1248E+00,3.6545E+01,2.9704E+01,3.7747E+01,6.9668E+00,7.9359E+00,6.0935E+00,3.8016E+00,4.1727E+00,,,,
40,5.5980E+03,0.0000E+00,4.2406E+03,1.0306E+03,3.2685E+02,0.0000E+00,1.3313E+03,1.3572E+03,1.5521E+03,3.1276E+02,2.6706E+02,3.2426E+02,5.9290E+01,6.7195E+01,8.3143E+01,6.6594E+01,8.0420E+01,1.5355E+01,1.7306E+01,4.9927E-01,5.6486E-01,1.9560E+01,1.4275E+01,1.6902E+01,2.5036E+00,2.7679E+00,3.2606E+00,1.8278E+00,1.8683E+00,,,,
50,3.0751E+03,0.0000E+00,2.3331E+03,5.6247E+02,1.7950E+02,0.0000E+00,8.2851E+02,7.2393E+02,7.8070E+02,1.9112E+02,1.4775E+02,1.6926E+02,2.5806E+01,2.8541E+01,5.0578E+01,3.7016E+01,4.2226E+01,6.8066E+00,7.4857E+00,1.7954E-01,2.0046E-01,1.1886E+01,7.9419E+00,8.8888E+00,1.1137E+00,1.2014E+00,1.9809E+00,1.0171E+00,9.8241E-01,,,,
60,1.8777E+03,0.0000E+00,1.4259E+03,3.4213E+02,1.0970E+02,0.0000E+00,5.5443E+02,4.2973E+02,4.4174E+02,1.2651E+02,9.0125E+01,9.8405E+01,1.3002E+01,1.4083E+01,3.3397E+01,2.2671E+01,2.4666E+01,3.4743E+00,3.7423E+00,7.7631E-02,8.5686E-02,7.8438E+00,4.8684E+00,5.1995E+00,5.6987E-01,6.0212E-01,1.3069E+00,6.2358E-01,5.7453E-01,,,,
80,8.5775E+02,0.0000E+00,6.5188E+02,1.5563E+02,5.0241E+01,0.0000E+00,2.8724E+02,1.8678E+02,1.7786E+02,6.4865E+01,4.0675E+01,4.1117E+01,4.3837E+00,4.5901E+00,1.7079E+01,1.0296E+01,1.0378E+01,1.1917E+00,1.2412E+00,2.0713E-02,2.2429E-02,4.0097E+00,2.2255E+00,2.1860E+00,1.9615E-01,2.0037E-01,6.6778E-01,2.8365E-01,2.4216E-01,,,,
98.757,4.8212E+02,0.0000E+00,3.6653E+02,8.7286E+01,2.8302E+01,0.0000E+00,1.7476E+02,1.0095E+02,9.0831E+01,3.9294E+01,2.2511E+01,2.1487E+01,1.9757E+00,2.0178E+00,1.0335E+01,5.7230E+00,5.4482E+00,5.4263E-01,5.5139E-01,7.9026E-03,8.4368E-03,2.4313E+00,1.2381E+00,1.1487E+00,8.9514E-02,8.9206E-02,4.0393E-01,1.5782E-01,1.2728E-01,,,,
99.547,2.1429E+03,1.6712E+03,3.5862E+02,8.5395E+01,2.7693E+01,1.6712E+03,1.7146E+02,9.8619E+01,8.8544E+01,3.8549E+01,2.2010E+01,2.0963E+01,1.9171E+00,1.9560E+00,1.0139E+01,5.5965E+00,5.3162E+00,5.2670E-01,5.3472E-01,7.6208E-03,8.1314E-03,2.3851E+00,1.2108E+00,1.1209E+00,8.6893E-02,8.6514E-02,3.9625E-01,1.5434E-01,1.2420E-01,,,,
100,2.1250E+03,1.6591E+03,3.5420E+02,8.4337E+01,2.7353E+01,1.6591E+03,1.6961E+02,9.7319E+01,8.7269E+01,3.8130E+01,2.1730E+01,2.0671E+01,1.8845E+00,1.9217E+00,1.0029E+01,5.5257E+00,5.2425E+00,5.1786E-01,5.2546E-01,7.4654E-03,7.9627E-03,2.3591E+00,1.1955E+00,1.1054E+00,8.5437E-02,8.5020E-02,3.9194E-01,1.5239E-01,1.2248E-01,,,,
150,7.4118E+02,5.8751E+02,1.1686E+02,2.7745E+01,9.0597E+00,5.8751E+02,6.3282E+01,2.9710E+01,2.3871E+01,1.4192E+01,6.8826E+00,5.8570E+00,4.1167E-01,4.0138E-01,3.7300E+00,1.7627E+00,1.4964E+00,1.1483E-01,1.1150E-01,1.2083E-03,1.2415E-03,8.7715E-01,3.8198E-01,3.1604E-01,1.9009E-02,1.8092E-02,1.4572E-01,4.8699E-02,3.5029E-02,,,,
200,3.4912E+02,2.7872E+02,5.3547E+01,1.2696E+01,4.1617E+00,2.7872E+02,3.1044E+01,1.2901E+01,9.6015E+00,6.9669E+00,3.0495E+00,2.4009E+00,1.4269E-01,1.3559E-01,1.8314E+00,7.8421E-01,6.1594E-01,4.0114E-02,3.7994E-02,3.4326E-04,3.4848E-04,4.3061E-01,1.7011E-01,1.3020E-01,6.6539E-03,6.1737E-03,7.1534E-02,2.1688E-02,1.4435E-02,,,,
300,1.2224E+02,9.8232E+01,1.8262E+01,4.3227E+00,1.4227E+00,9.8232E+01,1.1407E+01,4.0973E+00,2.7578E+00,2.5652E+00,9.8924E-01,7.0310E-01,3.3735E-02,3.1449E-02,6.7467E-01,2.5550E-01,1.8086E-01,9.5709E-03,8.8378E-03,6.3056E-05,6.3869E-05,1.5861E-01,5.5489E-02,3.8330E-02,1.5892E-03,1.4471E-03,2.6349E-02,7.0752E-03,4.2512E-03,,,,
400,5.9589E+01,4.8069E+01,8.7652E+00,2.0719E+00,6.8350E-01,4.8069E+01,5.7001E+00,1.8774E+00,1.1878E+00,1.2833E+00,4.5808E-01,3.0562E-01,1.2835E-02,1.1990E-02,3.3758E-01,1.1872E-01,7.8785E-02,3.6554E-03,3.3845E-03,2.0820E-05,2.1103E-05,7.9372E-02,2.5770E-02,1.6704E-02,6.0787E-04,5.5467E-04,1.3186E-02,3.2858E-03,1.8534E-03,,,,
500,3.4909E+01,2.8243E+01,5.0731E+00,1.1975E+00,3.9558E-01,2.8243E+01,3.3848E+00,1.0506E+00,6.3771E-01,7.6246E-01,2.5794E-01,1.6493E-01,6.2670E-03,5.9310E-03,2.0059E-01,6.6951E-02,4.2570E-02,1.7892E-03,1.6806E-03,8.9985E-06,9.4950E-06,4.7162E-02,1.4537E-02,9.0278E-03,2.9772E-04,2.7506E-04,7.8350E-03,1.8536E-03,1.0021E-03,,,,
600,2.2943E+01,1.8606E+01,3.3013E+00,7.7829E-01,2.5730E-01,1.8606E+01,2.2418E+00,6.6660E-01,3.9289E-01,5.0504E-01,1.6429E-01,1.0193E-01,3.5839E-03,3.4521E-03,1.3286E-01,4.2689E-02,2.6321E-02,1.0263E-03,9.7891E-04,4.7127E-06,5.2196E-06,3.1239E-02,9.2690E-03,5.5832E-03,1.7059E-04,1.6039E-04,5.1900E-03,1.1820E-03,6.2014E-04,,,,
800,1.2232E+01,9.9551E+00,1.7339E+00,4.0792E-01,1.3497E-01,9.9551E+00,1.2037E+00,3.3837E-01,1.9178E-01,2.7113E-01,8.3752E-02,4.9916E-02,1.5672E-03,1.5626E-03,7.1317E-02,2.1785E-02,1.2891E-02,4.5018E-04,4.4390E-04,1.8667E-06,2.1003E-06,1.6768E-02,4.7321E-03,2.7359E-03,7.4818E-05,7.2972E-05,2.7861E-03,6.0355E-04,3.0434E-04,,,,
1000,7.7239E+00,6.3009E+00,1.0840E+00,2.5461E-01,8.4296E-02,6.3009E+00,7.6182E-01,2.0759E-01,1.1464E-01,1.7153E-01,5.1487E-02,2.9814E-02,8.7662E-04,8.9801E-04,4.5110E-02,1.3402E-02,7.7205E-03,2.5126E-04,2.5684E-04,9.6826E-07,1.1965E-06,1.0605E-02,2.9109E-03,1.6377E-03,4.1867E-05,4.2042E-05,1.7626E-03,3.7150E-04,1.8257E-04,,,,
1500,3.5529E+00,2.9072E+00,4.9219E-01,1.1537E-01,3.8194E-02,2.9072E+00,3.5028E-01,9.2772E-02,4.9143E-02,7.8776E-02,2.3095E-02,1.2793E-02,3.3908E-04,3.6447E-04,2.0711E-02,6.0053E-03,3.3092E-03,9.7123E-05,1.0450E-04,3.8072E-07,4.5795E-07,4.8692E-03,1.3046E-03,7.0260E-04,1.6161E-05,1.7178E-05,8.1028E-04,1.6694E-04,7.8956E-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,2,2,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
