PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
10,4.1343E+03,3.7701E+03,3.2880E+02,3.5358E+01,0.0000E+00,3.7701E+03,2.6367E+02,2.2509E+01,4.2620E+01,2.9568E+01,2.0061E+00,3.7843E+00,,,,,,,,,,,,,,,,,,,,,
15,1.2781E+03,1.1681E+03,9.9235E+01,1.0824E+01,0.0000E+00,1.1681E+03,8.4876E+01,4.9961E+00,9.3624E+00,9.5345E+00,4.4970E-01,8.3950E-01,,,,,,,,,,,,,,,,,,,,,
20,5.4439E+02,4.9795E+02,4.1837E+01,4.6010E+00,0.0000E+00,4.9795E+02,3.7034E+01,1.6812E+00,3.1218E+00,4.1675E+00,1.5214E-01,2.8143E-01,,,,,,,,,,,,,,,,,,,,,
30,1.5947E+02,1.4597E+02,1.2148E+01,1.3481E+00,0.0000E+00,1.4597E+02,1.1147E+01,3.5392E-01,6.4691E-01,1.2572E+00,3.2219E-02,5.8668E-02,,,,,,,,,,,,,,,,,,,,,
40,6.5726E+01,6.0181E+01,4.9888E+00,5.5627E-01,0.0000E+00,6.0181E+01,4.6636E+00,1.1602E-01,2.0918E-01,5.2665E-01,1.0597E-02,1.9029E-02,,,,,,,,,,,,,,,,,,,,,
50,3.2812E+01,3.0048E+01,2.4860E+00,2.7804E-01,0.0000E+00,3.0048E+01,2.3504E+00,4.8780E-02,8.6868E-02,2.6566E-01,4.4649E-03,7.9169E-03,,,,,,,,,,,,,,,,,,,,,
60,1.8528E+01,1.6968E+01,1.4024E+00,1.5718E-01,0.0000E+00,1.6968E+01,1.3360E+00,2.4060E-02,4.2369E-02,1.5111E-01,2.2054E-03,3.8670E-03,,,,,,,,,,,,,,,,,,,,,
80,7.4794E+00,6.8502E+00,5.6565E-01,6.3569E-02,0.0000E+00,6.8502E+00,5.4401E-01,7.9344E-03,1.3704E-02,6.1587E-02,7.2906E-04,1.2527E-03,,,,,,,,,,,,,,,,,,,,,
100,3.6907E+00,3.3803E+00,2.7904E-01,3.1414E-02,0.0000E+00,3.3803E+00,2.6991E-01,3.3841E-03,5.7507E-03,3.0577E-02,3.1145E-04,5.2629E-04,,,,,,,,,,,,,,,,,,,,,
150,1.0243E+00,9.3805E-01,7.7479E-02,8.7392E-03,0.0000E+00,9.3805E-01,7.5512E-02,7.4562E-04,1.2215E-03,8.5587E-03,6.8468E-05,1.1203E-04,,,,,,,,,,,,,,,,,,,,,
200,4.1660E-01,3.8152E-01,3.1526E-02,3.5596E-03,0.0000E+00,3.8152E-01,3.0840E-02,2.6335E-04,4.2254E-04,3.4966E-03,2.4190E-05,3.8782E-05,,,,,,,,,,,,,,,,,,,,,
300,1.2147E-01,1.1123E-01,9.1970E-03,1.0394E-03,0.0000E+00,1.1123E-01,9.0292E-03,6.5096E-05,1.0271E-04,1.0240E-03,5.9765E-06,9.4317E-06,,,,,,,,,,,,,,,,,,,,,
400,5.2932E-02,4.8470E-02,4.0088E-03,4.5326E-04,0.0000E+00,4.8470E-02,3.9424E-03,2.5728E-05,4.0718E-05,4.4715E-04,2.3562E-06,3.7466E-06,,,,,,,,,,,,,,,,,,,,,
500,2.8824E-02,2.6394E-02,2.1831E-03,2.4688E-04,0.0000E+00,2.6394E-02,2.1490E-03,1.3069E-05,2.0988E-05,2.4375E-04,1.1955E-06,1.9352E-06,,,,,,,,,,,,,,,,,,,,,
600,1.8055E-02,1.6533E-02,1.3674E-03,1.5466E-04,0.0000E+00,1.6533E-02,1.3469E-03,7.7246E-06,1.2741E-05,1.5278E-04,7.0667E-07,1.1747E-06,,,,,,,,,,,,,,,,,,,,,
800,9.1574E-03,8.3858E-03,6.9319E-04,7.8432E-05,0.0000E+00,8.3858E-03,6.8338E-04,3.5906E-06,6.2235E-06,7.7530E-05,3.2713E-07,5.7537E-07,,,,,,,,,,,,,,,,,,,,,
1000,5.6959E-03,5.2165E-03,4.3073E-04,4.8755E-05,0.0000E+00,5.2165E-03,4.2487E-04,2.0789E-06,3.7859E-06,4.8214E-05,1.8918E-07,3.5137E-07,,,,,,,,,,,,,,,,,,,,,
1500,2.6686E-03,2.4441E-03,2.0160E-04,2.2856E-05,0.0000E+00,2.4441E-03,1.9902E-04,8.6316E-07,1.7211E-06,2.2616E-05,7.8184E-08,1.6166E-07,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
