PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
4,6.8373E+04,0.0000E+00,5.8948E+04,8.8745E+03,5.5026E+02,0.0000E+00,1.7246E+04,1.4602E+04,2.7101E+04,2.8644E+03,1.7950E+03,3.3333E+03,3.6204E+02,5.1982E+02,3.1133E+02,8.4003E+01,1.5493E+02,,,,,,,,,,,,,,,,
5,3.7551E+04,0.0000E+00,3.2346E+04,4.8842E+03,3.2100E+02,0.0000E+00,1.1004E+04,7.5137E+03,1.3828E+04,1.7857E+03,9.6002E+02,1.7678E+03,1.5248E+02,2.1814E+02,1.9348E+02,4.5385E+01,8.2138E+01,,,,,,,,,,,,,,,,
6,2.2865E+04,0.0000E+00,1.9678E+04,2.9822E+03,2.0493E+02,0.0000E+00,7.5008E+03,4.3067E+03,7.8708E+03,1.2009E+03,5.6629E+02,1.0354E+03,7.4053E+01,1.0559E+02,1.2988E+02,2.6834E+01,4.8220E+01,,,,,,,,,,,,,,,,
8,1.0344E+04,0.0000E+00,8.8879E+03,1.3564E+03,9.9520E+01,0.0000E+00,3.9836E+03,1.7475E+03,3.1568E+03,6.2940E+02,2.3918E+02,4.3217E+02,2.3026E+01,3.2634E+01,6.7948E+01,1.1373E+01,2.0199E+01,,,,,,,,,,,,,,,,
10,5.5496E+03,0.0000E+00,4.7627E+03,7.3063E+02,5.6284E+01,0.0000E+00,2.3859E+03,8.5218E+02,1.5246E+03,3.7473E+02,1.1974E+02,2.1424E+02,9.0968E+00,1.2822E+01,4.0537E+01,5.7083E+00,1.0039E+01,,,,,,,,,,,,,,,,
12.606,2.8898E+03,0.0000E+00,2.4771E+03,3.8191E+02,3.0759E+01,0.0000E+00,1.3747E+03,3.9801E+02,7.0445E+02,2.1519E+02,5.7236E+01,1.0129E+02,3.4086E+00,4.7743E+00,2.3266E+01,2.7349E+00,4.7577E+00,,,,,,,,,,,,,,,,
12.707,2.0448E+04,1.7623E+04,2.4217E+03,3.7343E+02,3.0120E+01,1.7623E+04,1.3483E+03,3.8761E+02,6.8578E+02,2.1106E+02,5.5780E+01,9.8679E+01,3.2944E+00,4.6134E+00,2.2819E+01,2.6656E+00,4.6352E+00,,,,,,,,,,,,,,,,
15,1.3391E+04,1.1627E+04,1.5108E+03,2.3369E+02,1.9407E+01,1.1627E+04,8.9774E+02,2.2256E+02,3.9054E+02,1.4036E+02,3.2484E+01,5.6985E+01,1.6161E+00,2.2522E+00,1.5171E+01,1.5546E+00,2.6807E+00,,,,,,,,,,,,,,,,
20,6.2098E+03,5.4356E+03,6.6225E+02,1.0293E+02,8.9445E+00,5.4356E+03,4.3410E+02,8.3649E+01,1.4451E+02,6.7838E+01,1.2466E+01,2.1524E+01,4.6391E-01,6.4051E-01,7.3317E+00,5.9794E-01,1.0148E+00,,,,,,,,,,,,,,,,
30,2.0241E+03,1.7852E+03,2.0413E+02,3.1924E+01,2.9251E+00,1.7852E+03,1.4934E+02,2.0414E+01,3.4380E+01,2.3385E+01,3.1143E+00,5.2403E+00,7.8008E-02,1.0606E-01,2.5276E+00,1.4977E-01,2.4775E-01,,,,,,,,,,,,,,,,
40,8.9236E+02,7.8964E+02,8.7657E+01,1.3760E+01,1.2997E+00,7.8964E+02,6.8120E+01,7.3746E+00,1.2162E+01,1.0692E+01,1.1395E+00,1.8775E+00,2.1770E-02,2.8994E-02,1.1559E+00,5.4890E-02,8.8898E-02,,,,,,,,,,,,,,,,
50,4.6730E+02,4.1425E+02,4.5240E+01,7.1200E+00,6.8587E-01,4.1425E+02,3.6530E+01,3.3252E+00,5.3847E+00,5.7454E+00,5.1790E-01,8.3796E-01,8.0648E-03,1.0618E-02,6.2118E-01,2.4976E-02,3.9715E-02,,,,,,,,,,,,,,,,
60,2.7372E+02,2.4291E+02,2.6261E+01,4.1407E+00,4.0443E-01,2.4291E+02,2.1774E+01,1.7302E+00,2.7567E+00,3.4301E+00,2.7089E-01,4.3137E-01,3.5887E-03,4.6747E-03,3.7089E-01,1.3077E-02,2.0459E-02,,,,,,,,,,,,,,,,
80,1.1657E+02,1.0357E+02,1.1071E+01,1.7501E+00,1.7407E-01,1.0357E+02,9.4991E+00,6.1661E-01,9.5532E-01,1.5001E+00,9.7365E-02,1.5036E-01,1.0088E-03,1.2911E-03,1.6223E-01,4.6988E-03,7.1479E-03,,,,,,,,,,,,,,,,
100,5.9753E+01,5.3123E+01,5.6458E+00,8.9416E-01,8.9941E-02,5.3123E+01,4.9476E+00,2.7780E-01,4.2038E-01,7.8275E-01,4.4076E-02,6.6467E-02,3.8112E-04,4.8192E-04,8.4652E-02,2.1277E-03,3.1614E-03,,,,,,,,,,,,,,,,
150,1.7643E+01,1.5695E+01,1.6580E+00,2.6304E-01,2.6901E-02,1.5695E+01,1.4954E+00,6.6485E-02,9.6178E-02,2.3696E-01,1.0620E-02,1.5306E-02,6.7636E-05,8.3653E-05,2.5659E-02,5.1285E-04,7.2856E-04,,,,,,,,,,,,,,,,
200,7.4579E+00,6.6357E+00,6.9955E-01,1.1114E-01,1.1457E-02,6.6357E+00,6.4011E-01,2.4738E-02,3.4706E-02,1.0158E-01,3.9656E-03,5.5417E-03,2.0705E-05,2.5399E-05,1.1002E-02,1.9152E-04,2.6389E-04,,,,,,,,,,,,,,,,
300,2.2777E+00,2.0269E+00,2.1335E-01,3.3946E-02,3.5274E-03,2.0269E+00,1.9802E-01,6.5011E-03,8.8304E-03,3.1476E-02,1.0464E-03,1.4143E-03,4.2247E-06,5.2569E-06,3.4095E-03,5.0512E-05,6.7407E-05,,,,,,,,,,,,,,,,
400,1.0193E+00,9.0711E-01,9.5389E-02,1.5188E-02,1.5844E-03,9.0711E-01,8.9146E-02,2.6587E-03,3.5838E-03,1.4181E-02,4.2908E-04,5.7450E-04,1.4675E-06,1.9040E-06,1.5363E-03,2.0701E-05,2.7408E-05,,,,,,,,,,,,,,,,
500,5.6409E-01,5.0207E-01,5.2736E-02,8.4004E-03,8.7834E-04,5.0207E-01,4.9489E-02,1.3798E-03,1.8668E-03,7.8756E-03,2.2299E-04,3.0021E-04,6.8120E-07,9.1305E-07,8.5325E-04,1.0761E-05,1.4331E-05,,,,,,,,,,,,,,,,
600,3.5687E-01,3.1767E-01,3.3333E-02,5.3096E-03,5.5604E-04,3.1767E-01,3.1362E-02,8.3379E-04,1.1366E-03,4.9914E-03,1.3428E-04,1.8305E-04,3.7331E-07,5.2510E-07,5.4082E-04,6.4747E-06,8.7426E-06,,,,,,,,,,,,,,,,
800,1.8263E-01,1.6261E-01,1.7021E-02,2.7115E-03,2.8458E-04,1.6261E-01,1.6069E-02,3.9486E-04,5.5685E-04,2.5578E-03,6.3691E-05,8.9575E-05,1.5691E-07,2.3841E-07,2.7722E-04,3.0680E-06,4.2927E-06,,,,,,,,,,,,,,,,
1000,1.1370E-01,1.0126E-01,1.0576E-02,1.6847E-03,1.7710E-04,1.0126E-01,1.0006E-02,2.3188E-04,3.3853E-04,1.5926E-03,3.7410E-05,5.4463E-05,8.3617E-08,1.4086E-07,1.7268E-04,1.8026E-06,2.6158E-06,,,,,,,,,,,,,,,,
1500,5.2864E-02,4.7103E-02,4.8986E-03,7.8023E-04,8.2316E-05,4.7103E-02,4.6487E-03,9.7925E-05,1.5197E-04,7.3982E-04,1.5776E-05,2.4535E-05,3.1958E-08,5.8239E-08,8.0364E-05,7.6124E-07,1.1915E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,1.33,2.67,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
