PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,4s1/2,,,,,,,,,,,,,,,,,,,,
400,6.8437E-02,6.2480E-02,5.2907E-03,6.5036E-04,1.5555E-05,6.2480E-02,5.1915E-03,3.8605E-05,6.0564E-05,6.3965E-04,4.1634E-06,6.5505E-06,1.5555E-05,,,,,,,,,,,,,,,,,,,,
500,3.7305E-02,3.4058E-02,2.8841E-03,3.5459E-04,8.4978E-06,3.4058E-02,2.8331E-03,1.9604E-05,3.1331E-05,3.4909E-04,2.1142E-06,3.3890E-06,8.4978E-06,,,,,,,,,,,,,,,,,,,,
600,2.3383E-02,2.1348E-02,1.8074E-03,2.2226E-04,5.3385E-06,2.1348E-02,1.7768E-03,1.1635E-05,1.8963E-05,2.1895E-04,1.2535E-06,2.0540E-06,5.3385E-06,,,,,,,,,,,,,,,,,,,,
800,1.1865E-02,1.0833E-02,9.1670E-04,1.1275E-04,2.7214E-06,1.0833E-02,9.0203E-04,5.4054E-06,9.2634E-06,1.1116E-04,5.8140E-07,1.0051E-06,2.7214E-06,,,,,,,,,,,,,,,,,,,,
1000,7.3804E-03,6.7390E-03,5.6963E-04,7.0074E-05,1.7036E-06,6.7390E-03,5.6084E-04,3.1319E-06,5.6519E-06,6.9124E-05,3.3672E-07,6.1329E-07,1.7036E-06,,,,,,,,,,,,,,,,,,,,
1500,3.4557E-03,3.1556E-03,2.6646E-04,3.2806E-05,8.1969E-07,3.1556E-03,2.6257E-04,1.3020E-06,2.5853E-06,3.2386E-05,1.3928E-07,2.8097E-07,8.1969E-07,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
