PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
15,7.9586E+02,7.3207E+02,5.8208E+01,5.5812E+00,0.0000E+00,7.3207E+02,5.1568E+01,2.2998E+00,4.3407E+00,5.2435E+00,1.1717E-01,2.2048E-01,,,,,,,,,,,,,,,,,,,,,
20,3.3484E+02,3.0815E+02,2.4325E+01,2.3663E+00,0.0000E+00,3.0815E+02,2.2144E+01,7.5952E-01,1.4215E+00,2.2550E+00,3.8853E-02,7.2494E-02,,,,,,,,,,,,,,,,,,,,,
30,9.6570E+01,8.8906E+01,6.9755E+00,6.8908E-01,0.0000E+00,8.8906E+01,6.5312E+00,1.5621E-01,2.8812E-01,6.6630E-01,8.0275E-03,1.4759E-02,,,,,,,,,,,,,,,,,,,,,
40,3.9417E+01,3.6293E+01,2.8408E+00,2.8289E-01,0.0000E+00,3.6293E+01,2.6983E+00,5.0526E-02,9.1997E-02,2.7557E-01,2.6032E-03,4.7232E-03,,,,,,,,,,,,,,,,,,,,,
50,1.9541E+01,1.7993E+01,1.4070E+00,1.4081E-01,0.0000E+00,1.7993E+01,1.3480E+00,2.1053E-02,3.7891E-02,1.3777E-01,1.0866E-03,1.9479E-03,,,,,,,,,,,,,,,,,,,,,
60,1.0976E+01,1.0106E+01,7.8989E-01,7.9319E-02,0.0000E+00,1.0106E+01,7.6120E-01,1.0314E-02,1.8372E-02,7.7841E-02,5.3289E-04,9.4541E-04,,,,,,,,,,,,,,,,,,,,,
80,4.3960E+00,4.0479E+00,3.1626E-01,3.1900E-02,0.0000E+00,4.0479E+00,3.0701E-01,3.3659E-03,5.8901E-03,3.1422E-02,1.7435E-04,3.0347E-04,,,,,,,,,,,,,,,,,,,,,
100,2.1572E+00,1.9863E+00,1.5520E-01,1.5696E-02,0.0000E+00,1.9863E+00,1.5132E-01,1.4324E-03,2.4534E-03,1.5495E-02,7.3929E-05,1.2662E-04,,,,,,,,,,,,,,,,,,,,,
150,5.9336E-01,5.4630E-01,4.2732E-02,4.3341E-03,0.0000E+00,5.4630E-01,4.1905E-02,3.1084E-04,5.1641E-04,4.2913E-03,1.6048E-05,2.6674E-05,,,,,,,,,,,,,,,,,,,,,
200,2.4003E-01,2.2098E-01,1.7294E-02,1.7569E-03,0.0000E+00,2.2098E-01,1.7008E-02,1.0901E-04,1.7755E-04,1.7421E-03,5.6257E-06,9.1769E-06,,,,,,,,,,,,,,,,,,,,,
300,6.9543E-02,6.4020E-02,5.0137E-03,5.1008E-04,0.0000E+00,6.4020E-02,4.9441E-03,2.6717E-05,4.2898E-05,5.0648E-04,1.3774E-06,2.2184E-06,,,,,,,,,,,,,,,,,,,,,
400,3.0199E-02,2.7799E-02,2.1778E-03,2.2172E-04,0.0000E+00,2.7799E-02,2.1504E-03,1.0508E-05,1.6963E-05,2.2030E-04,5.4044E-07,8.7813E-07,,,,,,,,,,,,,,,,,,,,,
500,1.6410E-02,1.5106E-02,1.1836E-03,1.2054E-04,0.0000E+00,1.5106E-02,1.1695E-03,5.3258E-06,8.7247E-06,1.1981E-04,2.7293E-07,4.5354E-07,,,,,,,,,,,,,,,,,,,,,
600,1.0267E-02,9.4510E-03,7.4047E-04,7.5440E-05,0.0000E+00,9.4510E-03,7.3204E-04,3.1401E-06,5.2920E-06,7.5004E-05,1.6106E-07,2.7501E-07,,,,,,,,,,,,,,,,,,,,,
800,5.2053E-03,4.7921E-03,3.7505E-04,3.8231E-05,0.0000E+00,4.7921E-03,3.7101E-04,1.4559E-06,2.5841E-06,3.8022E-05,7.4297E-08,1.3492E-07,,,,,,,,,,,,,,,,,,,,,
1000,3.2359E-03,2.9790E-03,2.3307E-04,2.3774E-05,0.0000E+00,2.9790E-03,2.3065E-04,8.4065E-07,1.5769E-06,2.3649E-05,4.2867E-08,8.2574E-08,,,,,,,,,,,,,,,,,,,,,
1500,1.5180E-03,1.3975E-03,1.0924E-04,1.1172E-05,0.0000E+00,1.3975E-03,1.0817E-04,3.4852E-07,7.2107E-07,1.1116E-05,1.7690E-08,3.8320E-08,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,1.33,2.67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
