PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
800,1.1901E-01,1.0645E-01,1.0804E-02,1.6340E-03,1.1941E-04,1.0645E-01,1.0304E-02,2.0285E-04,2.9734E-04,1.5591E-03,3.0328E-05,4.4413E-05,5.0796E-08,8.0936E-08,1.1898E-04,1.7498E-07,2.5433E-07,,,,,,,,,,,,,,,,
1000,7.4068E-02,6.6266E-02,6.7130E-03,1.0153E-03,7.4396E-05,6.6266E-02,6.4134E-03,1.1880E-04,1.8075E-04,9.7043E-04,1.7758E-05,2.7018E-05,2.7296E-08,4.6650E-08,7.4137E-05,1.0270E-07,1.5577E-07,,,,,,,,,,,,,,,,
1500,3.4482E-02,3.0861E-02,3.1154E-03,4.7115E-04,3.4776E-05,3.0861E-02,2.9839E-03,5.0098E-05,8.1442E-05,4.5145E-04,7.4618E-06,1.2207E-05,9.9922E-09,1.9915E-08,3.4660E-05,4.3625E-08,7.2439E-08,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,0.33,0.67,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
