PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,,,
39.22,6.1186E+03,5.0757E+03,8.2670E+02,1.7123E+02,4.4969E+01,5.0757E+03,4.4138E+02,1.5953E+02,2.2579E+02,8.8433E+01,3.1317E+01,4.5208E+01,2.7828E+00,3.4848E+00,2.0356E+01,6.7763E+00,9.7811E+00,5.8078E-01,7.2621E-01,3.7631E+00,1.0681E+00,1.5095E+00,4.6796E-03,5.7153E-03,3.9700E-01,,,,,,,,
40,5.8023E+03,4.8159E+03,7.8191E+02,1.6193E+02,4.2557E+01,4.8159E+03,4.2068E+02,1.4977E+02,2.1146E+02,8.4268E+01,2.9463E+01,4.2421E+01,2.5675E+00,3.2105E+00,1.9397E+01,6.3773E+00,9.1813E+00,5.3620E-01,6.6954E-01,3.5856E+00,1.0052E+00,1.4170E+00,4.3213E-03,5.2699E-03,3.7827E-01,,,,,,,,
50,3.2273E+03,2.7037E+03,4.1503E+02,8.5855E+01,2.2729E+01,2.7037E+03,2.4202E+02,7.3005E+01,1.0001E+02,4.8414E+01,1.4667E+01,2.0482E+01,1.0279E+00,1.2634E+00,1.1141E+01,3.1868E+00,4.4497E+00,2.1617E-01,2.6549E-01,2.0591E+00,5.0263E-01,6.8720E-01,1.7445E-03,2.0916E-03,2.1723E-01,,,,,,,,
60,1.9773E+03,1.6661E+03,2.4665E+02,5.0992E+01,1.3571E+01,1.6661E+03,1.5235E+02,4.0387E+01,5.3913E+01,3.0480E+01,8.2362E+00,1.1203E+01,4.8542E-01,5.8792E-01,7.0146E+00,1.7945E+00,2.4405E+00,1.0265E-01,1.2351E-01,1.2962E+00,2.8316E-01,3.7710E-01,8.2862E-04,9.7917E-04,1.3675E-01,,,,,,,,
80,8.9809E+02,7.6172E+02,1.0806E+02,2.2326E+01,5.9847E+00,7.6172E+02,7.2102E+01,1.5785E+01,2.0176E+01,1.4444E+01,3.2835E+00,4.2740E+00,1.4875E-01,1.7585E-01,3.3256E+00,7.1807E-01,9.3456E-01,3.1660E-02,3.7185E-02,6.1440E-01,1.1338E-01,1.4450E-01,2.5583E-04,2.9512E-04,6.4818E-02,,,,,,,,
100,4.8201E+02,4.1028E+02,5.6827E+01,1.1738E+01,3.1607E+00,4.1028E+02,3.9837E+01,7.6069E+00,9.3837E+00,7.9942E+00,1.6026E+00,2.0123E+00,5.9767E-02,6.9341E-02,1.8417E+00,3.5130E-01,4.4019E-01,1.2777E-02,1.4716E-02,3.4017E-01,5.5498E-02,6.8229E-02,1.0325E-04,1.1691E-04,3.5889E-02,,,,,,,,
150,1.5338E+02,1.3108E+02,1.7664E+01,3.6490E+00,9.8902E-01,1.3108E+02,1.3279E+01,2.0363E+00,2.3486E+00,2.6748E+00,4.3681E-01,5.1251E-01,1.1715E-02,1.3187E-02,6.1638E-01,9.6181E-02,1.1250E-01,2.5197E-03,2.8161E-03,1.1391E-01,1.5191E-02,1.7449E-02,2.0362E-05,2.2383E-05,1.2019E-02,,,,,,,,
200,6.7981E+01,5.8188E+01,7.7550E+00,1.6026E+00,4.3593E-01,5.8188E+01,6.0474E+00,8.1303E-01,8.9457E-01,1.2214E+00,1.7606E-01,1.9702E-01,3.8092E-03,4.2279E-03,2.8161E-01,3.8850E-02,4.3327E-02,8.2185E-04,9.0583E-04,5.2050E-02,6.1376E-03,6.7223E-03,6.6422E-06,7.2011E-06,5.4928E-03,,,,,,,,
300,2.2034E+01,1.8885E+01,2.4926E+00,5.1528E-01,1.4071E-01,1.8885E+01,2.0182E+00,2.3275E-01,2.4163E-01,4.0892E-01,5.0882E-02,5.3715E-02,8.3428E-04,9.2725E-04,9.4340E-02,1.1256E-02,1.1833E-02,1.8081E-04,1.9904E-04,1.7439E-02,1.7786E-03,1.8368E-03,1.4605E-06,1.5857E-06,1.8411E-03,,,,,,,,
400,1.0221E+01,8.7673E+00,1.1508E+00,2.3794E-01,6.5095E-02,8.7673E+00,9.4967E-01,1.0017E-01,1.0097E-01,1.9274E-01,2.1997E-02,2.2552E-02,3.0374E-04,3.4109E-04,4.4478E-02,4.8725E-03,4.9702E-03,6.5759E-05,7.3717E-05,8.2224E-03,7.7006E-04,7.7181E-04,5.3080E-07,5.8925E-07,8.6861E-04,,,,,,,,
