PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
400,1.4734E+01,1.2533E+01,1.7305E+00,3.6981E-01,1.0151E-01,1.2533E+01,1.3800E+00,1.8078E-01,1.6972E-01,2.8803E-01,4.1032E-02,3.9342E-02,6.7075E-04,7.3321E-04,6.7905E-02,9.3277E-03,8.8651E-03,1.5143E-04,1.6481E-04,7.3548E-08,8.3943E-08,1.1577E-02,1.3148E-03,1.2099E-03,9.9395E-04,,,,,,,,
500,8.3895E+00,7.1421E+00,9.8045E-01,2.0943E-01,5.7569E-02,7.1421E+00,7.9251E-01,9.7779E-02,9.0168E-02,1.6557E-01,2.2260E-02,2.0921E-02,3.2063E-04,3.6143E-04,3.9038E-02,5.0657E-03,4.7243E-03,7.2632E-05,8.0867E-05,3.1947E-08,3.7876E-08,6.6555E-03,7.1404E-04,6.4506E-04,5.7194E-04,,,,,,,,
600,5.4067E+00,4.6064E+00,6.2900E-01,1.3429E-01,3.6949E-02,4.6064E+00,5.1313E-01,6.0527E-02,5.5345E-02,1.0721E-01,1.3829E-02,1.2866E-02,1.8044E-04,2.0953E-04,2.5290E-02,3.1435E-03,2.9056E-03,4.0779E-05,4.7005E-05,1.6482E-08,2.0401E-08,4.3116E-03,4.4317E-04,3.9682E-04,3.7095E-04,,,,,,,,
800,2.8199E+00,2.4058E+00,3.2554E-01,6.9452E-02,1.9127E-02,2.4058E+00,2.6866E-01,2.9760E-02,2.7117E-02,5.6147E-02,6.8194E-03,6.3128E-03,7.8159E-05,9.4564E-05,1.3244E-02,1.5509E-03,1.4266E-03,1.7584E-05,2.1453E-05,6.3749E-09,8.5663E-09,2.2582E-03,2.1856E-04,1.9489E-04,1.9493E-04,,,,,,,,
1000,1.7652E+00,1.5076E+00,2.0253E-01,4.3173E-02,1.1897E-02,1.5076E+00,1.6832E-01,1.7869E-02,1.6342E-02,3.5171E-02,4.1029E-03,3.8022E-03,4.2284E-05,5.5079E-05,8.2962E-03,9.3264E-04,8.5996E-04,9.5476E-06,1.2392E-05,3.2038E-09,4.6792E-09,1.4146E-03,1.3145E-04,1.1759E-04,1.2268E-04,,,,,,,,
1500,8.1356E-01,6.9602E-01,9.2434E-02,1.9679E-02,5.4265E-03,6.9602E-01,7.7497E-02,7.7820E-03,7.1551E-03,1.6181E-02,1.7848E-03,1.6735E-03,1.6643E-05,2.2355E-05,3.8163E-03,4.0605E-04,3.7782E-04,3.5852E-06,5.1557E-06,1.1222E-09,1.8838E-09,6.5101E-04,5.7235E-05,5.1782E-05,5.7555E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2.57,3.43,2,2,4,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
