PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
60,1.0619E+02,9.5385E+01,9.3714E+00,1.3595E+00,7.7585E-02,9.5385E+01,8.3308E+00,3.8987E-01,6.5073E-01,1.2137E+00,5.4571E-02,9.0738E-02,2.0865E-04,2.7791E-04,7.7585E-02,,,,,,,,,,,,,,,,,,
80,4.4244E+01,3.9761E+01,3.8852E+00,5.6518E-01,3.2955E-02,3.9761E+01,3.5317E+00,1.3445E-01,2.1902E-01,5.1546E-01,1.8907E-02,3.0684E-02,5.6797E-05,7.4568E-05,3.2955E-02,,,,,,,,,,,,,,,,,,
100,2.2328E+01,2.0071E+01,1.9559E+00,2.8503E-01,1.6840E-02,2.0071E+01,1.8024E+00,5.9164E-02,9.4415E-02,2.6337E-01,8.3451E-03,1.3265E-02,2.0979E-05,2.7200E-05,1.6840E-02,,,,,,,,,,,,,,,,,,
150,6.4270E+00,5.7783E+00,5.6165E-01,8.2055E-02,4.9347E-03,5.7783E+00,5.2709E-01,1.3633E-02,2.0922E-02,7.7165E-02,1.9317E-03,2.9506E-03,3.5810E-06,4.5688E-06,4.9347E-03,,,,,,,,,,,,,,,,,,
200,2.6737E+00,2.4040E+00,2.3349E-01,3.4160E-02,2.0725E-03,2.4040E+00,2.2112E-01,4.9577E-03,7.4137E-03,3.2406E-02,7.0427E-04,1.0476E-03,1.0714E-06,1.3600E-06,2.0725E-03,,,,,,,,,,,,,,,,,,
300,8.0084E-01,7.2006E-01,6.9914E-02,1.0243E-02,6.2687E-04,7.2006E-01,6.6795E-02,1.2676E-03,1.8509E-03,9.7998E-03,1.8071E-04,2.6188E-04,2.1315E-07,2.7660E-07,6.2687E-04,,,,,,,,,,,,,,,,,,
400,3.5436E-01,3.1862E-01,3.0936E-02,4.5341E-03,2.7866E-04,3.1862E-01,2.9680E-02,5.1273E-04,7.4300E-04,4.3556E-03,7.2889E-05,1.0539E-04,7.3358E-08,9.8736E-08,2.7866E-04,,,,,,,,,,,,,,,,,,
500,1.9475E-01,1.7511E-01,1.6995E-02,2.4916E-03,1.5355E-04,1.7511E-01,1.6345E-02,2.6382E-04,3.8590E-04,2.3992E-03,3.7490E-05,5.4814E-05,3.3480E-08,4.7565E-08,1.5355E-04,,,,,,,,,,,,,,,,,,
600,1.2268E-01,1.1031E-01,1.0700E-02,1.5688E-03,9.6891E-05,1.1031E-01,1.0307E-02,1.5787E-04,2.3438E-04,1.5130E-03,2.2430E-05,3.3318E-05,1.8424E-08,2.7347E-08,9.6891E-05,,,,,,,,,,,,,,,,,,
800,6.2523E-02,5.6228E-02,5.4464E-03,7.9870E-04,4.9504E-05,5.6228E-02,5.2576E-03,7.4028E-05,1.1477E-04,7.7184E-04,1.0521E-05,1.6321E-05,7.6037E-09,1.2442E-08,4.9504E-05,,,,,,,,,,,,,,,,,,
1000,3.8896E-02,3.4985E-02,3.3842E-03,4.9628E-04,3.0873E-05,3.4985E-02,3.2711E-03,4.3223E-05,6.9890E-05,4.8020E-04,6.1462E-06,9.9213E-06,4.0736E-09,7.2481E-09,3.0873E-05,,,,,,,,,,,,,,,,,,
1500,1.8144E-02,1.6324E-02,1.5745E-03,2.3093E-04,1.4531E-05,1.6324E-02,1.5248E-03,1.8110E-05,3.1631E-05,2.2386E-04,2.5686E-06,4.5021E-06,1.5049E-09,3.1301E-09,1.4531E-05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,2.8,4.2,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
