PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,4s1/2,,,,,,,,,,,,,,,,,,,,
10,6.1500E+03,5.5596E+03,5.2041E+02,6.6064E+01,3.9212E+00,5.5596E+03,3.9633E+02,4.3068E+01,8.1011E+01,5.1664E+01,4.9949E+00,9.4050E+00,3.9212E+00,,,,,,,,,,,,,,,,,,,,
15,1.9371E+03,1.7569E+03,1.5853E+02,2.0355E+01,1.2950E+00,1.7569E+03,1.3051E+02,9.7962E+00,1.8220E+01,1.7063E+01,1.1499E+00,2.1421E+00,1.2950E+00,,,,,,,,,,,,,,,,,,,,
20,8.3488E+02,7.5827E+02,6.7334E+01,8.7010E+00,5.7482E-01,7.5827E+02,5.7806E+01,3.3526E+00,6.1753E+00,7.5744E+00,3.9669E-01,7.2993E-01,5.7482E-01,,,,,,,,,,,,,,,,,,,,
30,2.4825E+02,2.2574E+02,1.9769E+01,2.5699E+00,1.7691E-01,2.2574E+02,1.7740E+01,7.2185E-01,1.3073E+00,2.3281E+00,8.6070E-02,1.5572E-01,1.7691E-01,,,,,,,,,,,,,,,,,,,,
40,1.0329E+02,9.3964E+01,8.1816E+00,1.0675E+00,7.5057E-02,9.3964E+01,7.5134E+00,2.3996E-01,4.2828E-01,9.8758E-01,2.8734E-02,5.1221E-02,7.5057E-02,,,,,,,,,,,,,,,,,,,,
50,5.1909E+01,4.7234E+01,4.1005E+00,5.3630E-01,3.8199E-02,4.7234E+01,3.8193E+00,1.0183E-01,1.7941E-01,5.0256E-01,1.2228E-02,2.1512E-02,3.8199E-02,,,,,,,,,,,,,,,,,,,,
60,2.9462E+01,2.6812E+01,2.3237E+00,3.0441E-01,2.1873E-02,2.6812E+01,2.1850E+00,5.0573E-02,8.8049E-02,2.8775E-01,6.0847E-03,1.0576E-02,2.1873E-02,,,,,,,,,,,,,,,,,,,,
80,1.1982E+01,1.0906E+01,9.4356E-01,1.2388E-01,8.9999E-03,1.0906E+01,8.9799E-01,1.6842E-02,2.8723E-02,1.1839E-01,2.0316E-03,3.4584E-03,8.9999E-03,,,,,,,,,,,,,,,,,,,,
100,5.9442E+00,5.4104E+00,4.6779E-01,6.1501E-02,4.4979E-03,5.4104E+00,4.4843E-01,7.2342E-03,1.2125E-02,5.9165E-02,8.7445E-04,1.4616E-03,4.4979E-03,,,,,,,,,,,,,,,,,,,,
150,1.6639E+00,1.5145E+00,1.3090E-01,1.7244E-02,1.2723E-03,1.5145E+00,1.2669E-01,1.6041E-03,2.6031E-03,1.6735E-02,1.9448E-04,3.1443E-04,1.2723E-03,,,,,,,,,,,,,,,,,,,,
200,6.8034E-01,6.1921E-01,5.3552E-02,7.0588E-03,5.2310E-04,6.1921E-01,5.2075E-02,5.7264E-04,9.0454E-04,6.8801E-03,6.9219E-05,1.0949E-04,5.2310E-04,,,,,,,,,,,,,,,,,,,,
300,1.9961E-01,1.8166E-01,1.5719E-02,2.0737E-03,1.5433E-04,1.8166E-01,1.5355E-02,1.4271E-04,2.2129E-04,2.0296E-03,1.7259E-05,2.6806E-05,1.5433E-04,,,,,,,,,,,,,,,,,,,,
400,8.7286E-02,7.9436E-02,6.8750E-03,9.0729E-04,6.7688E-05,7.9436E-02,6.7304E-03,5.6646E-05,8.8028E-05,8.8977E-04,6.8491E-06,1.0666E-05,6.7688E-05,,,,,,,,,,,,,,,,,,,,
500,4.7629E-02,4.3346E-02,3.7514E-03,4.9516E-04,3.7009E-05,4.3346E-02,3.6771E-03,2.8880E-05,4.5435E-05,4.8616E-04,3.4833E-06,5.5211E-06,3.7009E-05,,,,,,,,,,,,,,,,,,,,
600,2.9872E-02,2.7186E-02,2.3524E-03,3.1054E-04,2.3247E-05,2.7186E-02,2.3077E-03,1.7122E-05,2.7557E-05,3.0512E-04,2.0666E-06,3.3487E-06,2.3247E-05,,,,,,,,,,,,,,,,,,,,
800,1.5166E-02,1.3803E-02,1.1937E-03,1.5759E-04,1.1845E-05,1.3803E-02,1.1722E-03,7.9514E-06,1.3511E-05,1.5499E-04,9.5979E-07,1.6394E-06,1.1845E-05,,,,,,,,,,,,,,,,,,,,
1000,9.4308E-03,8.5838E-03,7.4166E-04,9.7940E-05,7.3982E-06,8.5838E-03,7.2885E-04,4.6377E-06,8.1786E-06,9.6384E-05,5.5671E-07,9.9895E-07,7.3982E-06,,,,,,,,,,,,,,,,,,,,
1500,4.4147E-03,4.0187E-03,3.4669E-04,4.5806E-05,3.5242E-06,4.0187E-03,3.4103E-04,1.9381E-06,3.7203E-06,4.5119E-05,2.3105E-07,4.5543E-07,3.5242E-06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
