PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
150,3.8535E-02,3.6424E-02,2.1109E-03,0.0000E+00,0.0000E+00,3.6424E-02,2.1032E-03,2.8169E-06,4.9046E-06,,,,,,,,,,,,,,,,,,,,,,,,
200,1.5274E-02,1.4437E-02,8.3743E-04,0.0000E+00,0.0000E+00,1.4437E-02,8.3482E-04,9.6255E-07,1.6509E-06,,,,,,,,,,,,,,,,,,,,,,,,
300,4.3304E-03,4.0932E-03,2.3721E-04,0.0000E+00,0.0000E+00,4.0932E-03,2.3660E-04,2.2869E-07,3.9055E-07,,,,,,,,,,,,,,,,,,,,,,,,
400,1.8575E-03,1.7557E-03,1.0176E-04,0.0000E+00,0.0000E+00,1.7557E-03,1.0152E-04,8.8238E-08,1.5291E-07,,,,,,,,,,,,,,,,,,,,,,,,
500,1.0022E-03,9.4730E-04,5.4899E-05,0.0000E+00,0.0000E+00,9.4730E-04,5.4776E-05,4.4039E-08,7.8580E-08,,,,,,,,,,,,,,,,,,,,,,,,
600,6.2446E-04,5.9025E-04,3.4208E-05,0.0000E+00,0.0000E+00,5.9025E-04,3.4134E-05,2.5790E-08,4.7513E-08,,,,,,,,,,,,,,,,,,,,,,,,
800,3.1534E-04,2.9807E-04,1.7274E-05,0.0000E+00,0.0000E+00,2.9807E-04,1.7239E-05,1.1770E-08,2.3278E-08,,,,,,,,,,,,,,,,,,,,,,,,
1000,1.9601E-04,1.8527E-04,1.0740E-05,0.0000E+00,0.0000E+00,1.8527E-04,1.0719E-05,6.7369E-09,1.4294E-08,,,,,,,,,,,,,,,,,,,,,,,,
1500,9.2338E-05,8.7273E-05,5.0652E-06,0.0000E+00,0.0000E+00,8.7273E-05,5.0557E-06,2.7539E-09,6.6919E-09,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,1.67,3.33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
