PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
16.428,4.2323E+04,0.0000E+00,2.4757E+04,1.3270E+04,4.2963E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.4757E+04,2.1071E+03,2.7292E+03,4.2266E+03,1.8932E+03,2.3135E+03,6.0150E+02,6.9557E+02,1.0536E+03,4.4869E+02,5.4667E+02,4.3014E+01,5.0634E+01,1.5356E+02,1.6261E+02,2.4212E+02,8.4864E+01,1.0271E+02,3.2151E+01,2.9742E+01,4.1559E+01,1.5677E+00,1.7851E+00,3.9997E+00,
19.762,2.5618E+04,0.0000E+00,1.4775E+04,8.1764E+03,2.6669E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.4775E+04,1.4852E+03,1.8172E+03,2.6588E+03,1.0062E+03,1.2090E+03,4.1764E+02,4.6121E+02,6.6418E+02,2.4584E+02,2.9442E+02,1.9399E+01,2.2644E+01,1.0620E+02,1.0764E+02,1.5268E+02,4.6746E+01,5.5609E+01,2.2187E+01,1.9688E+01,2.6206E+01,8.6410E-01,9.6721E-01,2.7640E+00,
19.92,3.5507E+04,0.0000E+00,2.4888E+04,8.0068E+03,2.6123E+03,0.0000E+00,0.0000E+00,1.0426E+04,1.4462E+04,1.4625E+03,1.7850E+03,2.6053E+03,9.7882E+02,1.1752E+03,4.1104E+02,4.5294E+02,6.5088E+02,2.3946E+02,2.8655E+02,1.8738E+01,2.1864E+01,1.0450E+02,1.0571E+02,1.4962E+02,4.5542E+01,5.4135E+01,2.1831E+01,1.9335E+01,2.5682E+01,8.4186E-01,9.4160E-01,2.7198E+00,
20,3.5062E+04,0.0000E+00,2.4554E+04,7.9231E+03,2.5854E+03,0.0000E+00,0.0000E+00,1.0246E+04,1.4308E+04,1.4513E+03,1.7690E+03,2.5789E+03,9.6538E+02,1.1586E+03,4.0777E+02,4.4886E+02,6.4430E+02,2.3632E+02,2.8268E+02,1.8415E+01,2.1483E+01,1.0366E+02,1.0476E+02,1.4811E+02,4.4949E+01,5.3410E+01,2.1655E+01,1.9160E+01,2.5423E+01,8.3095E-01,9.2901E-01,2.6979E+00,
20.482,3.3062E+04,0.0000E+00,2.3189E+04,7.4424E+03,2.4307E+03,0.0000E+00,0.0000E+00,9.7686E+03,1.3420E+04,1.3861E+03,1.6764E+03,2.4264E+03,8.8897E+02,1.0645E+03,3.8879E+02,4.2521E+02,6.0643E+02,2.1842E+02,2.6068E+02,1.6603E+01,1.9347E+01,9.8794E+01,9.9226E+01,1.3942E+02,4.1574E+01,4.9285E+01,2.0634E+01,1.8148E+01,2.3930E+01,7.6858E-01,8.5733E-01,2.5710E+00,
20.646,3.7466E+04,0.0000E+00,2.7798E+04,7.2877E+03,2.3809E+03,0.0000E+00,5.0498E+03,9.6145E+03,1.3133E+04,1.3648E+03,1.6463E+03,2.3772E+03,8.6468E+02,1.0347E+03,3.8261E+02,4.1755E+02,5.9421E+02,2.1271E+02,2.5368E+02,1.6035E+01,1.8678E+01,9.7211E+01,9.7434E+01,1.3661E+02,4.0497E+01,4.7972E+01,2.0301E+01,1.7821E+01,2.3448E+01,7.4870E-01,8.3451E-01,2.5297E+00,
30,1.4372E+04,0.0000E+00,1.0768E+04,2.7080E+03,8.9632E+02,0.0000E+00,2.5860E+03,3.6946E+03,4.4869E+03,6.4637E+02,6.8191E+02,8.8233E+02,2.3098E+02,2.6636E+02,1.7765E+02,1.7303E+02,2.2243E+02,5.9746E+01,6.8617E+01,3.0697E+00,3.5067E+00,4.4887E+01,4.0344E+01,5.1223E+01,1.1483E+01,1.3098E+01,9.4602E+00,7.3813E+00,8.7930E+00,2.1253E-01,2.2816E-01,1.1670E+00,
40,6.7539E+03,0.0000E+00,5.0809E+03,1.2544E+03,4.1869E+02,0.0000E+00,1.4727E+03,1.7058E+03,1.9024E+03,3.5324E+02,3.3259E+02,3.9621E+02,8.1397E+01,9.0975E+01,9.6128E+01,8.4734E+01,1.0064E+02,2.1706E+01,2.4158E+01,8.4067E-01,9.4437E-01,2.4224E+01,1.9768E+01,2.3218E+01,4.1976E+00,4.6396E+00,5.1034E+00,3.6180E+00,3.9860E+00,7.7740E-02,8.0887E-02,6.2945E-01,
50,3.7311E+03,0.0000E+00,2.8124E+03,6.8783E+02,2.3089E+02,0.0000E+00,9.2636E+02,9.2260E+02,9.6341E+02,2.1754E+02,1.8679E+02,2.0873E+02,3.5787E+01,3.8987E+01,5.8876E+01,4.7794E+01,5.3334E+01,9.7347E+00,1.0559E+01,3.0534E-01,3.3824E-01,1.4815E+01,1.1159E+01,1.2323E+01,1.8901E+00,2.0243E+00,3.1204E+00,2.0429E+00,2.1157E+00,3.5023E-02,3.5519E-02,3.8484E-01,
60,2.2883E+03,0.0000E+00,1.7267E+03,4.1999E+02,1.4160E+02,0.0000E+00,6.2481E+02,5.5370E+02,5.4822E+02,1.4490E+02,1.1529E+02,1.2224E+02,1.8175E+01,1.9374E+01,3.9095E+01,2.9615E+01,3.1385E+01,5.0145E+00,5.3222E+00,1.3314E-01,1.4571E-01,9.8299E+00,6.9200E+00,7.2613E+00,9.7560E-01,1.0234E+00,2.0699E+00,1.2672E+00,1.2467E+00,1.8100E-02,1.7962E-02,2.5527E-01,
80,1.0523E+03,0.0000E+00,7.9493E+02,1.9220E+02,6.5202E+01,0.0000E+00,3.2794E+02,2.4440E+02,2.2259E+02,7.5025E+01,5.2965E+01,5.1638E+01,6.1974E+00,6.3766E+00,2.0174E+01,1.3690E+01,1.3354E+01,1.7425E+00,1.7854E+00,3.5889E-02,3.8506E-02,5.0687E+00,3.2033E+00,3.0959E+00,3.4034E-01,3.4463E-01,1.0669E+00,5.8672E-01,5.3147E-01,6.3176E-03,6.0536E-03,1.3157E-01,
100,5.7440E+02,0.0000E+00,4.3410E+02,1.0465E+02,3.5650E+01,0.0000E+00,1.9537E+02,1.2881E+02,1.0992E+02,4.4438E+01,2.8665E+01,2.6170E+01,2.6888E+00,2.6916E+00,1.1931E+01,7.4433E+00,6.8024E+00,7.6509E-01,7.6294E-01,1.3101E-02,1.3834E-02,2.9971E+00,1.7437E+00,1.5754E+00,1.4984E-01,1.4763E-01,6.3060E-01,3.1941E-01,2.7110E-01,2.7819E-03,2.5946E-03,7.7768E-02,
110.14,4.4188E+02,0.0000E+00,3.3399E+02,8.0434E+01,2.7451E+01,0.0000E+00,1.5555E+02,9.7525E+01,8.0914E+01,3.5315E+01,2.1932E+01,1.9459E+01,1.8740E+00,1.8541E+00,9.4775E+00,5.7057E+00,5.0683E+00,5.3567E-01,5.2801E-01,8.4777E-03,8.8926E-03,2.3809E+00,1.3423E+00,1.1744E+00,1.0502E-01,1.0228E-01,5.0083E-01,2.4498E-01,2.0211E-01,1.9500E-03,1.7978E-03,6.1764E-02,
111.02,1.8786E+03,1.4462E+03,3.2683E+02,7.8705E+01,2.6864E+01,1.4462E+03,1.5263E+02,9.5311E+01,7.8892E+01,3.4649E+01,2.1451E+01,1.8988E+01,1.8190E+00,1.7979E+00,9.2983E+00,5.5817E+00,4.9464E+00,5.2013E-01,5.1222E-01,8.1796E-03,8.5746E-03,2.3359E+00,1.3132E+00,1.1462E+00,1.0199E-01,9.9227E-02,4.9136E-01,2.3966E-01,1.9726E-01,1.8936E-03,1.7441E-03,6.0596E-02,
150,8.7018E+02,6.7905E+02,1.4451E+02,3.4719E+01,1.1908E+01,6.7905E+02,7.4056E+01,4.0069E+01,3.0380E+01,1.6769E+01,9.2761E+00,7.5123E+00,5.9447E-01,5.6774E-01,4.4968E+00,2.4268E+00,1.9680E+00,1.7203E-01,1.6378E-01,2.1351E-03,2.1966E-03,1.1311E+00,5.7166E-01,4.5661E-01,3.3826E-02,3.1816E-02,2.3754E-01,1.0435E-01,7.8607E-02,6.2824E-04,5.5942E-04,2.9295E-02,
200,4.1383E+02,3.2571E+02,6.6636E+01,1.5987E+01,5.5033E+00,3.2571E+02,3.6718E+01,1.7614E+01,1.2304E+01,8.3126E+00,4.1671E+00,3.1051E+00,2.0826E-01,1.9356E-01,2.2290E+00,1.0949E+00,8.1705E-01,6.0786E-02,5.6360E-02,6.1608E-04,6.1822E-04,5.6057E-01,2.5820E-01,1.8976E-01,1.1979E-02,1.0970E-02,1.1772E-01,4.7139E-02,3.2675E-02,2.2250E-04,1.9298E-04,1.4519E-02,
300,1.4668E+02,1.1636E+02,2.2925E+01,5.4894E+00,1.8974E+00,1.1636E+02,1.3685E+01,5.6791E+00,3.5607E+00,3.1023E+00,1.3746E+00,9.1757E-01,4.9750E-02,4.5229E-02,8.3209E-01,3.6290E-01,2.4261E-01,1.4657E-02,1.3238E-02,1.1449E-04,1.1418E-04,2.0924E-01,8.5687E-02,5.6398E-02,2.8950E-03,2.5935E-03,4.3939E-02,1.5646E-02,9.7144E-03,5.3765E-05,4.5678E-05,5.4206E-03,
400,7.2078E+01,5.7454E+01,1.1064E+01,2.6448E+00,9.1592E-01,5.7454E+01,6.9023E+00,2.6238E+00,1.5374E+00,1.5660E+00,6.4249E-01,4.0021E-01,1.8909E-02,1.7203E-02,4.2016E-01,1.7002E-01,1.0589E-01,5.6016E-03,5.0568E-03,3.7087E-05,3.7260E-05,1.0563E-01,4.0178E-02,2.4670E-02,1.1069E-03,9.9172E-04,2.2183E-02,7.3364E-03,4.2498E-03,2.0558E-05,1.7500E-05,2.7380E-03,
500,4.2468E+01,3.3970E+01,6.4308E+00,1.5350E+00,5.3233E-01,3.3970E+01,4.1251E+00,1.4783E+00,8.2747E-01,9.3617E-01,3.6438E-01,2.1657E-01,9.3372E-03,8.5673E-03,2.5116E-01,9.6695E-02,5.7361E-02,2.7758E-03,2.5210E-03,1.6552E-05,1.7125E-05,6.3151E-02,2.2830E-02,1.3371E-02,5.4813E-04,4.9557E-04,1.3261E-02,4.1686E-03,2.3037E-03,1.0189E-05,8.7570E-06,1.6378E-03,
600,2.8021E+01,2.2478E+01,4.1963E+00,1.0002E+00,3.4712E-01,2.2478E+01,2.7442E+00,9.4202E-01,5.1000E-01,6.2278E-01,2.3317E-01,1.3392E-01,5.3568E-03,4.9879E-03,1.6707E-01,6.1934E-02,3.5493E-02,1.5947E-03,1.4700E-03,8.6659E-06,9.4155E-06,4.2009E-02,1.4626E-02,8.2748E-03,3.1539E-04,2.8926E-04,8.8215E-03,2.6708E-03,1.4260E-03,5.8606E-06,5.1183E-06,1.0904E-03,
800,1.5008E+01,1.2089E+01,2.2109E+00,5.2577E-01,1.8263E-01,1.2089E+01,1.4813E+00,4.8093E-01,2.4873E-01,3.3602E-01,1.1959E-01,6.5543E-02,2.3529E-03,2.2648E-03,9.0131E-02,3.1807E-02,1.7387E-02,7.0169E-04,6.7081E-04,3.4653E-06,3.7673E-06,2.2660E-02,7.5133E-03,4.0530E-03,1.3891E-04,1.3149E-04,4.7587E-03,1.3719E-03,6.9870E-04,2.5860E-06,2.3403E-06,5.8962E-04,
1000,9.4953E+00,7.6684E+00,1.3841E+00,3.2856E-01,1.1418E-01,7.6684E+00,9.3962E-01,2.9608E-01,1.4844E-01,2.1304E-01,7.3788E-02,3.9111E-02,1.3237E-03,1.2896E-03,5.7132E-02,1.9642E-02,1.0388E-02,3.9517E-04,3.8368E-04,1.7788E-06,2.1347E-06,1.4363E-02,4.6387E-03,2.4224E-03,7.8016E-05,7.5624E-05,3.0164E-03,8.4710E-04,4.1786E-04,1.4548E-06,1.3550E-06,3.7508E-04,
