PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
300,1.6114E+01,1.3911E+01,1.7643E+00,3.5384E-01,8.5484E-02,1.3911E+01,1.4691E+00,1.4111E-01,1.5415E-01,2.8993E-01,2.9912E-02,3.3115E-02,4.2012E-04,4.7208E-04,6.2585E-02,6.0795E-03,6.6762E-03,7.6204E-05,8.5618E-05,8.9012E-03,5.2700E-04,5.5332E-04,,,,,,,,,,,
400,7.4284E+00,6.4163E+00,8.1019E-01,1.6247E-01,3.9348E-02,6.4163E+00,6.8591E-01,6.0192E-02,6.4089E-02,1.3552E-01,1.2833E-02,1.3793E-02,1.5108E-04,1.7407E-04,2.9273E-02,2.6068E-03,2.7877E-03,2.7455E-05,3.1632E-05,4.1637E-03,2.2590E-04,2.3121E-04,,,,,,,,,,,
500,4.1899E+00,3.6209E+00,4.5546E-01,9.1336E-02,2.2147E-02,3.6209E+00,3.8948E-01,3.2122E-02,3.3859E-02,7.7010E-02,6.8653E-03,7.3037E-03,7.1169E-05,8.5393E-05,1.6637E-02,1.3952E-03,1.4763E-03,1.2987E-05,1.5408E-05,2.3666E-03,1.2092E-04,1.2252E-04,,,,,,,,,,,
600,2.6833E+00,2.3201E+00,2.9077E-01,5.8304E-02,1.4149E-02,2.3201E+00,2.5033E-01,1.9701E-02,2.0738E-02,4.9517E-02,4.2179E-03,4.4799E-03,3.9732E-05,4.9537E-05,1.0698E-02,8.5737E-04,9.0570E-04,7.2367E-06,8.9350E-06,1.5219E-03,7.4305E-05,7.5202E-05,,,,,,,,,,,
800,1.3902E+00,1.2031E+00,1.4980E-01,3.0024E-02,7.2933E-03,1.2031E+00,1.3007E-01,9.5693E-03,1.0164E-02,2.5734E-02,2.0549E-03,2.1956E-03,1.7113E-05,2.2237E-05,5.5600E-03,4.1751E-04,4.4426E-04,3.0863E-06,4.0699E-06,7.9118E-04,3.6184E-05,3.6972E-05,,,,,,,,,,,
1000,8.6834E-01,7.5201E-01,9.3141E-02,1.8656E-02,4.5350E-03,7.5201E-01,8.1289E-02,5.7057E-03,6.1457E-03,1.6080E-02,1.2262E-03,1.3278E-03,9.2637E-06,1.3106E-05,3.4743E-03,2.4930E-04,2.6879E-04,1.6775E-06,2.3650E-06,4.9460E-04,2.1617E-05,2.2413E-05,,,,,,,,,,,
1500,4.0104E-01,3.4775E-01,4.2674E-02,8.5410E-03,2.0779E-03,3.4775E-01,3.7495E-02,2.4590E-03,2.7192E-03,7.4156E-03,5.2888E-04,5.8768E-04,3.5317E-06,5.3191E-06,1.6020E-03,1.0740E-04,1.1911E-04,6.2495E-07,9.8057E-07,2.2847E-04,9.3378E-06,1.0022E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,1.67,3.33,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
