PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
6,2.0247E+04,0.0000E+00,1.7502E+04,2.5957E+03,1.4901E+02,0.0000E+00,6.9395E+03,3.7287E+03,6.8337E+03,1.0886E+03,4.8402E+02,8.8682E+02,5.6138E+01,8.0138E+01,1.0775E+02,1.4746E+01,2.6520E+01,,,,,,,,,,,,,,,,
8,9.1433E+03,0.0000E+00,7.8905E+03,1.1795E+03,7.3331E+01,0.0000E+00,3.6621E+03,1.5035E+03,2.7248E+03,5.6772E+02,2.0272E+02,3.6725E+02,1.7298E+01,2.4548E+01,5.6116E+01,6.1963E+00,1.1019E+01,,,,,,,,,,,,,,,,
10,4.8982E+03,0.0000E+00,4.2215E+03,6.3484E+02,4.1888E+01,0.0000E+00,2.1821E+03,7.2948E+02,1.3099E+03,3.3663E+02,1.0085E+02,1.8098E+02,6.7895E+00,9.5838E+00,3.3356E+01,3.0896E+00,5.4429E+00,,,,,,,,,,,,,,,,
11.817,3.0591E+03,0.0000E+00,2.6341E+03,3.9768E+02,2.7304E+01,0.0000E+00,1.4640E+03,4.2052E+02,7.4958E+02,2.2535E+02,5.9076E+01,1.0523E+02,3.3369E+00,4.6901E+00,2.2321E+01,1.8127E+00,3.1695E+00,,,,,,,,,,,,,,,,
11.912,2.1906E+04,1.8915E+04,2.5752E+03,3.8886E+02,2.6747E+01,1.8915E+04,1.4360E+03,4.0952E+02,7.2971E+02,2.2103E+02,5.7572E+01,1.0251E+02,3.2249E+00,4.5318E+00,2.1893E+01,1.7667E+00,3.0879E+00,,,,,,,,,,,,,,,,
15,1.2122E+04,1.0569E+04,1.3363E+03,2.0275E+02,1.4663E+01,1.0569E+04,8.1432E+02,1.8894E+02,3.3299E+02,1.2515E+02,2.7070E+01,4.7663E+01,1.1953E+00,1.6691E+00,1.2392E+01,8.3225E-01,1.4386E+00,,,,,,,,,,,,,,,,
20,5.5780E+03,4.8972E+03,5.8476E+02,8.9201E+01,6.8174E+00,4.8972E+03,3.9159E+02,7.0605E+01,1.2257E+02,6.0180E+01,1.0318E+01,1.7890E+01,3.4131E-01,4.7232E-01,5.9585E+00,3.1786E-01,5.4106E-01,,,,,,,,,,,,,,,,
30,1.8097E+03,1.6000E+03,1.7979E+02,2.7610E+01,2.2499E+00,1.6000E+03,1.3374E+02,1.7096E+01,2.8954E+01,2.0602E+01,2.5545E+00,4.3197E+00,5.6979E-02,7.7142E-02,2.0401E+00,7.8880E-02,1.3097E-01,,,,,,,,,,,,,,,,
40,7.9447E+02,7.0453E+02,7.7053E+01,1.1881E+01,1.0040E+00,7.0453E+02,6.0715E+01,6.1436E+00,1.0194E+01,9.3756E+00,9.2903E-01,1.5391E+00,1.5796E-02,2.1092E-02,9.2854E-01,2.8731E-02,4.6730E-02,,,,,,,,,,,,,,,,
50,4.1499E+02,3.6861E+02,3.9704E+01,6.1386E+00,5.3108E-01,3.6861E+02,3.2447E+01,2.7596E+00,4.4980E+00,5.0204E+00,4.2038E-01,6.8428E-01,5.8301E-03,7.6951E-03,4.9727E-01,1.3015E-02,2.0793E-02,,,,,,,,,,,,,,,,
60,2.4258E+02,2.1569E+02,2.3017E+01,3.5656E+00,3.1357E-01,2.1569E+02,1.9288E+01,1.4316E+00,2.2966E+00,2.9893E+00,2.1916E-01,3.5123E-01,2.5872E-03,3.3805E-03,2.9610E-01,6.7910E-03,1.0678E-02,,,,,,,,,,,,,,,,
80,1.0300E+02,9.1675E+01,9.6823E+00,1.5041E+00,1.3514E-01,9.1675E+01,8.3816E+00,5.0791E-01,7.9277E-01,1.3021E+00,7.8398E-02,1.2189E-01,7.2435E-04,9.2994E-04,1.2899E-01,2.4278E-03,3.7142E-03,,,,,,,,,,,,,,,,
100,5.2685E+01,4.6919E+01,4.9292E+00,7.6648E-01,6.9848E-02,4.6919E+01,4.3533E+00,2.2808E-01,3.4787E-01,6.7678E-01,3.5361E-02,5.3721E-02,2.7282E-04,3.4618E-04,6.7115E-02,1.0955E-03,1.6377E-03,,,,,,,,,,,,,,,,
150,1.5501E+01,1.3812E+01,1.4432E+00,2.2500E-01,2.0885E-02,1.3812E+01,1.3097E+00,5.4297E-02,7.9233E-02,2.0411E-01,8.4710E-03,1.2310E-02,4.8177E-05,5.9824E-05,2.0247E-02,2.6249E-04,3.7553E-04,,,,,,,,,,,,,,,,
200,6.5380E+00,5.8265E+00,6.0769E-01,9.4877E-02,8.8894E-03,5.8265E+00,5.5903E-01,2.0136E-02,2.8517E-02,8.7248E-02,3.1524E-03,4.4440E-03,1.4702E-05,1.8112E-05,8.6561E-03,9.7672E-05,1.3564E-04,,,,,,,,,,,,,,,,
300,1.9913E+00,1.7748E+00,1.8486E-01,2.8907E-02,2.7335E-03,1.7748E+00,1.7235E-01,5.2712E-03,7.2357E-03,2.6941E-02,8.2835E-04,1.1310E-03,2.9893E-06,3.7389E-06,2.6733E-03,2.5656E-05,3.4544E-05,,,,,,,,,,,,,,,,
400,8.8971E-01,7.9304E-01,8.2527E-02,1.2915E-02,1.2267E-03,7.9304E-01,7.7443E-02,2.1509E-03,2.9328E-03,1.2114E-02,3.3888E-04,4.5897E-04,1.0361E-06,1.3517E-06,1.2022E-03,1.0489E-05,1.4029E-05,,,,,,,,,,,,,,,,
500,4.9190E-01,4.3849E-01,4.5590E-02,7.1364E-03,6.7969E-04,4.3849E-01,4.2944E-02,1.1187E-03,1.5272E-03,6.7198E-03,1.7599E-04,2.3946E-04,4.7998E-07,6.4698E-07,6.6692E-04,5.4422E-06,7.3313E-06,,,,,,,,,,,,,,,,
600,3.1100E-01,2.7727E-01,2.8798E-02,4.5083E-03,4.3017E-04,2.7727E-01,2.7195E-02,6.7303E-04,9.2954E-04,4.2559E-03,1.0582E-04,1.4592E-04,2.6276E-07,3.7380E-07,4.2243E-04,3.2725E-06,4.4728E-06,,,,,,,,,,,,,,,,
800,1.5906E-01,1.4184E-01,1.4699E-02,2.3013E-03,2.2016E-04,1.4184E-01,1.3925E-02,3.1856E-04,4.5484E-04,2.1794E-03,5.0128E-05,7.1479E-05,1.1029E-07,1.6866E-07,2.1641E-04,1.5491E-06,2.1974E-06,,,,,,,,,,,,,,,,
1000,9.9019E-02,8.8319E-02,9.1334E-03,1.4299E-03,1.3705E-04,8.8319E-02,8.6697E-03,1.8676E-04,2.7688E-04,1.3569E-03,2.9406E-05,4.3431E-05,5.8514E-08,9.9266E-08,1.3480E-04,9.0912E-07,1.3405E-06,,,,,,,,,,,,,,,,
1500,4.6056E-02,4.1097E-02,4.2329E-03,6.6266E-04,6.3803E-05,4.1097E-02,4.0298E-03,7.8917E-05,1.2417E-04,6.3063E-04,1.2382E-05,1.9592E-05,2.1900E-08,4.1085E-08,6.2806E-05,3.8410E-07,6.1314E-07,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,1,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
