PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
6,2.5718E+04,0.0000E+00,2.2031E+04,3.4116E+03,2.7591E+02,0.0000E+00,8.0755E+03,4.9437E+03,9.0117E+03,1.3198E+03,6.5810E+02,1.2007E+03,9.6138E+01,1.3690E+02,1.5349E+02,4.3817E+01,7.8602E+01,,,,,,,,,,,,,,,,
8,1.1659E+04,0.0000E+00,9.9737E+03,1.5531E+03,1.3257E+02,0.0000E+00,4.3175E+03,2.0199E+03,3.6364E+03,6.9499E+02,2.8024E+02,5.0505E+02,3.0154E+01,4.2678E+01,8.0653E+01,1.8729E+01,3.3186E+01,,,,,,,,,,,,,,,,
10,6.2630E+03,0.0000E+00,5.3515E+03,8.3727E+02,7.4220E+01,0.0000E+00,2.5980E+03,9.8961E+02,1.7639E+03,4.1540E+02,1.4117E+02,2.5183E+02,1.1990E+01,1.6876E+01,4.8167E+01,9.4602E+00,1.6593E+01,,,,,,,,,,,,,,,,
13.422,2.7348E+03,0.0000E+00,2.3336E+03,3.6713E+02,3.4082E+01,0.0000E+00,1.2931E+03,3.7741E+02,6.6312E+02,2.0577E+02,5.5501E+01,9.7575E+01,3.4602E+00,4.8292E+00,2.3901E+01,3.7312E+00,6.4499E+00,,,,,,,,,,,,,,,,
13.53,1.9129E+04,1.6456E+04,2.2814E+03,3.5897E+02,3.3362E+01,1.6456E+04,1.2683E+03,3.6755E+02,6.4554E+02,2.0181E+02,5.4092E+01,9.5057E+01,3.3444E+00,4.6665E+00,2.3442E+01,3.6367E+00,6.2840E+00,,,,,,,,,,,,,,,,
15,1.4688E+04,1.2692E+04,1.7017E+03,2.6822E+02,2.5283E+01,1.2692E+04,9.8581E+02,2.6062E+02,4.5527E+02,1.5673E+02,3.8704E+01,6.7644E+01,2.1506E+00,2.9913E+00,1.8202E+01,2.6048E+00,4.4764E+00,,,,,,,,,,,,,,,,
20,6.8721E+03,5.9952E+03,7.4705E+02,1.1827E+02,1.1554E+01,5.9952E+03,4.7923E+02,9.8500E+01,1.6932E+02,7.6130E+01,1.4954E+01,2.5710E+01,6.2052E-01,8.5490E-01,8.8397E+00,1.0089E+00,1.7056E+00,,,,,,,,,,,,,,,,
30,2.2540E+03,1.9827E+03,2.3084E+02,3.6749E+01,3.7430E+00,1.9827E+03,1.6605E+02,2.4224E+01,4.0567E+01,2.6421E+01,3.7692E+00,6.3106E+00,1.0521E-01,1.4260E-01,3.0681E+00,2.5502E-01,4.1988E-01,,,,,,,,,,,,,,,,
40,9.9570E+02,8.8123E+02,9.6955E+01,1.5866E+01,1.6551E+00,8.8123E+02,7.6099E+01,8.7965E+00,1.2059E+01,1.2136E+01,1.3875E+00,2.2732E+00,2.9511E-02,3.9216E-02,1.4095E+00,9.4035E-02,1.5150E-01,,,,,,,,,,,,,,,,
50,5.2411E+02,4.6369E+02,5.1335E+01,8.2207E+00,8.7103E-01,4.6369E+02,4.0948E+01,3.9814E+00,6.4048E+00,6.5435E+00,6.3334E-01,1.0185E+00,1.0974E-02,1.4406E-02,7.6010E-01,4.2976E-02,6.7952E-02,,,,,,,,,,,,,,,,
60,3.0761E+02,2.7247E+02,2.9837E+01,4.7865E+00,5.1276E-01,2.7247E+02,2.4472E+01,2.0777E+00,3.2875E+00,3.9170E+00,3.3241E-01,5.2586E-01,4.8988E-03,6.3587E-03,4.5507E-01,2.2579E-02,3.5112E-02,,,,,,,,,,,,,,,,
80,1.3138E+02,1.1652E+02,1.2605E+01,2.0271E+00,2.2031E-01,1.1652E+02,1.0718E+01,7.4376E-01,1.1437E+00,1.7198E+00,1.1985E-01,1.8437E-01,1.3817E-03,1.7642E-03,1.9984E-01,8.1535E-03,1.2321E-02,,,,,,,,,,,,,,,,
100,6.7489E+01,5.9899E+01,6.4389E+00,1.0372E+00,1.1375E-01,5.9899E+01,5.5981E+00,3.3617E-01,5.0467E-01,8.9990E-01,5.4520E-02,8.1633E-02,5.2371E-04,6.5945E-04,1.0458E-01,3.7053E-03,5.4665E-03,,,,,,,,,,,,,,,,
150,1.9997E+01,1.7760E+01,1.8966E+00,3.0605E-01,3.4012E-02,1.7760E+01,1.6997E+00,8.0880E-02,1.1598E-01,2.7375E-01,1.3212E-02,1.8885E-02,9.3458E-05,1.1505E-04,3.1848E-02,8.9831E-04,1.2659E-03,,,,,,,,,,,,,,,,
200,8.4715E+00,7.5257E+00,8.0179E-01,1.2957E-01,1.4492E-02,7.5257E+00,7.2963E-01,3.0192E-02,4.1959E-02,1.1769E-01,4.9509E-03,6.8561E-03,2.8687E-05,3.5068E-05,1.3695E-02,3.3663E-04,4.5985E-04,,,,,,,,,,,,,,,,
300,2.5943E+00,2.3050E+00,2.4515E-01,3.9674E-02,4.4660E-03,2.3050E+00,2.2648E-01,7.9653E-03,1.0705E-02,3.6594E-02,1.3115E-03,1.7551E-03,5.8840E-06,7.2644E-06,4.2590E-03,8.9166E-05,1.1781E-04,,,,,,,,,,,,,,,,
400,1.1628E+00,1.0332E+00,1.0977E-01,1.7777E-02,2.0074E-03,1.0332E+00,1.0215E-01,3.2651E-03,4.3503E-03,1.6519E-02,5.3883E-04,7.1443E-04,2.0479E-06,2.6235E-06,1.9228E-03,3.6629E-05,4.7964E-05,,,,,,,,,,,,,,,,
500,6.4415E-01,5.7245E-01,6.0745E-02,9.8411E-03,1.1133E-03,5.7245E-01,5.6774E-02,1.6970E-03,2.2733E-03,9.1848E-03,2.8062E-04,3.7348E-04,9.4546E-07,1.2752E-06,1.0692E-03,1.9065E-05,2.5094E-05,,,,,,,,,,,,,,,,
600,4.0777E-01,3.6243E-01,3.8412E-02,6.2234E-03,7.0495E-04,3.6243E-01,3.6004E-02,1.0259E-03,1.3812E-03,5.8254E-03,1.6923E-04,2.2755E-04,5.2470E-07,7.2681E-07,6.7816E-04,1.1486E-05,1.5312E-05,,,,,,,,,,,,,,,,
800,2.0880E-01,1.8564E-01,1.9624E-02,3.1796E-03,3.6078E-04,1.8564E-01,1.8460E-02,4.8643E-04,6.7705E-04,2.9871E-03,8.0286E-05,1.1157E-04,2.1643E-07,3.3573E-07,3.4782E-04,5.4514E-06,7.5153E-06,,,,,,,,,,,,,,,,
1000,1.3001E-01,1.1562E-01,1.2193E-02,1.9753E-03,2.2444E-04,1.1562E-01,1.1496E-02,2.8603E-04,4.1085E-04,1.8602E-03,4.7235E-05,6.7643E-05,1.1605E-07,1.9122E-07,2.1667E-04,3.2025E-06,4.5740E-06,,,,,,,,,,,,,,,,
1500,6.0422E-02,5.3759E-02,5.6443E-03,9.1425E-04,1.0418E-04,5.3759E-02,5.3387E-03,1.2082E-04,1.8480E-04,8.6373E-04,1.9954E-05,3.0441E-05,4.4579E-08,8.3049E-08,1.0075E-04,1.3531E-06,2.0778E-06,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,1.67,3.33,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
