PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,,,,,,,,,,,,,,,,,,,,,,,
200,4.0179E-02,3.7775E-02,2.3673E-03,3.5935E-05,0.0000E+00,3.7775E-02,2.3521E-03,5.6499E-06,9.5421E-06,3.5935E-05,,,,,,,,,,,,,,,,,,,,,,,
300,1.1449E-02,1.0763E-02,6.7515E-04,1.0259E-05,0.0000E+00,1.0763E-02,6.7152E-04,1.3549E-06,2.2703E-06,1.0259E-05,,,,,,,,,,,,,,,,,,,,,,,
400,4.9334E-03,4.6383E-03,2.9066E-04,4.4201E-06,0.0000E+00,4.6383E-03,2.8924E-04,5.2628E-07,8.9081E-07,4.4201E-06,,,,,,,,,,,,,,,,,,,,,,,
500,2.6674E-03,2.5079E-03,1.5715E-04,2.3922E-06,0.0000E+00,2.5079E-03,1.5643E-04,2.6404E-07,4.5759E-07,2.3922E-06,,,,,,,,,,,,,,,,,,,,,,,
600,1.6640E-03,1.5644E-03,9.8031E-05,1.4936E-06,0.0000E+00,1.5644E-03,9.7599E-05,1.5479E-07,2.7737E-07,1.4936E-06,,,,,,,,,,,,,,,,,,,,,,,
800,8.4109E-04,7.9079E-04,4.9543E-05,7.5751E-07,0.0000E+00,7.9079E-04,4.9336E-05,7.1005E-08,1.3571E-07,7.5751E-07,,,,,,,,,,,,,,,,,,,,,,,
1000,5.2282E-04,4.9155E-04,3.0794E-05,4.7326E-07,0.0000E+00,4.9155E-04,3.0671E-05,4.0932E-08,8.2591E-08,4.7326E-07,,,,,,,,,,,,,,,,,,,,,,,
1500,2.4597E-04,2.3125E-04,1.4491E-05,2.2731E-07,0.0000E+00,2.3125E-04,1.4436E-05,1.6734E-08,3.8166E-08,2.2731E-07,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
