PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
10,9.8246E+03,0.0000E+00,8.2435E+03,1.3886E+03,1.9253E+02,0.0000E+00,3.5301E+03,1.7100E+03,3.0035E+03,6.0420E+02,2.5622E+02,4.5178E+02,3.1846E+01,4.4531E+01,9.3365E+01,3.2599E+01,5.7466E+01,1.8401E-01,2.5397E-01,8.6577E+00,,,,,,,,,,,,,
15,3.1583E+03,0.0000E+00,2.6457E+03,4.4757E+02,6.5062E+01,0.0000E+00,1.3826E+03,4.6506E+02,7.9798E+02,2.3418E+02,7.3189E+01,1.2605E+02,5.9470E+00,8.2086E+00,3.6126E+01,9.3704E+00,1.6135E+01,3.4713E-02,4.7291E-02,3.3483E+00,,,,,,,,,,,,,
16.984,2.2227E+03,0.0000E+00,1.8611E+03,3.1523E+02,4.6368E+01,0.0000E+00,1.0254E+03,3.0919E+02,5.2649E+02,1.7341E+02,4.9270E+01,8.4191E+01,3.5200E+00,4.8364E+00,2.6747E+01,6.3306E+00,1.0762E+01,2.0600E-02,2.7937E-02,2.4786E+00,,,,,,,,,,,,,
17.12,1.4839E+04,1.2666E+04,1.8195E+03,3.0819E+02,4.5367E+01,1.2666E+04,1.0058E+03,3.0115E+02,5.1254E+02,1.7007E+02,4.8025E+01,8.2022E+01,3.4029E+00,4.6742E+00,2.6232E+01,6.1713E+00,1.0486E+01,1.9918E-02,2.7004E-02,2.4308E+00,,,,,,,,,,,,,
20,9.9746E+03,8.5782E+03,1.1686E+03,1.9823E+02,2.9593E+01,8.5782E+03,6.8640E+02,1.7960E+02,3.0259E+02,1.1594E+02,2.9044E+01,4.9097E+01,1.7550E+00,2.3958E+00,1.7884E+01,3.7390E+00,6.2884E+00,1.0301E-02,1.3879E-02,1.6568E+00,,,,,,,,,,,,,
30,3.3498E+03,2.9139E+03,3.6435E+02,6.2020E+01,9.5462E+00,2.9139E+03,2.4443E+02,4.5484E+01,7.4428E+01,4.1291E+01,7.5781E+00,1.2435E+01,3.0602E-01,4.1030E-01,6.3734E+00,9.7947E-01,1.5991E+00,1.8065E-03,2.3903E-03,5.8995E-01,,,,,,,,,,,,,
40,1.5067E+03,1.3177E+03,1.5786E+02,2.6933E+01,4.2162E+00,1.3177E+03,1.1408E+02,1.6850E+01,2.6927E+01,1.9303E+01,2.8545E+00,4.5727E+00,8.7611E-02,1.1574E-01,2.9799E+00,3.6980E-01,5.8939E-01,5.1873E-04,6.7616E-04,2.7584E-01,,,,,,,,,,,,,
50,7.9963E+02,7.0132E+02,8.2065E+01,1.4026E+01,2.2199E+00,7.0132E+02,6.2205E+01,7.7402E+00,1.2119E+01,1.0545E+01,1.3253E+00,2.0799E+00,3.3083E-02,4.3163E-02,1.6282E+00,1.7196E-01,2.6851E-01,1.9629E-04,2.5264E-04,1.5072E-01,,,,,,,,,,,,,
60,4.7305E+02,4.1561E+02,4.7930E+01,8.2030E+00,1.3083E+00,4.1561E+02,3.7560E+01,4.0861E+00,6.2837E+00,6.3776E+00,7.0482E-01,1.0864E+00,1.4931E-02,1.9269E-02,9.8494E-01,9.1565E-02,1.4040E-01,8.8741E-05,1.1294E-04,9.1176E-02,,,,,,,,,,,,,
80,2.0441E+02,1.7994E+02,2.0409E+01,3.4995E+00,5.6383E-01,1.7994E+02,1.6702E+01,1.4881E+00,2.2187E+00,2.8434E+00,2.5912E-01,3.8729E-01,4.2835E-03,5.3887E-03,4.3926E-01,3.3723E-02,5.0126E-02,2.5470E-05,3.1827E-05,4.0665E-02,,,,,,,,,,,,,
100,1.0588E+02,9.3301E+01,1.0490E+01,1.8011E+00,2.9206E-01,9.3301E+01,8.8196E+00,6.8102E-01,9.8950E-01,1.5044E+00,1.1928E-01,1.7377E-01,1.6419E-03,2.0357E-03,2.3246E-01,1.5543E-02,2.2509E-02,9.7672E-06,1.2032E-05,2.1521E-02,,,,,,,,,,,,,
150,3.1806E+01,2.8055E+01,3.1249E+00,5.3769E-01,8.7963E-02,2.8055E+01,2.7263E+00,1.6727E-01,2.3133E-01,4.6653E-01,2.9585E-02,4.0915E-02,2.9803E-04,3.6214E-04,7.2113E-02,3.8557E-03,5.3135E-03,1.7750E-06,2.1412E-06,6.6767E-03,,,,,,,,,,,,,
200,1.3591E+01,1.1993E+01,1.3313E+00,2.2921E-01,3.7693E-02,1.1993E+01,1.1835E+00,6.3248E-02,8.4552E-02,2.0275E-01,1.1239E-02,1.5020E-02,9.2519E-05,1.1162E-04,3.1369E-02,1.4654E-03,1.9520E-03,5.5110E-07,6.5996E-07,2.9047E-03,,,,,,,,,,,,,
300,4.2066E+00,3.7130E+00,4.1107E-01,7.0871E-02,1.1708E-02,3.7130E+00,3.7231E-01,1.6945E-02,2.1812E-02,6.3911E-02,3.0259E-03,3.8920E-03,1.9223E-05,2.3478E-05,9.8910E-03,3.9474E-04,5.0605E-04,1.1443E-07,1.3896E-07,9.1615E-04,,,,,,,,,,,,,
400,1.8973E+00,1.6750E+00,1.8513E-01,3.1939E-02,5.2885E-03,1.6750E+00,1.6921E-01,7.0077E-03,8.9081E-03,2.9076E-02,1.2551E-03,1.5921E-03,6.7697E-06,8.4573E-06,4.5005E-03,1.6368E-04,2.0715E-04,4.0118E-08,5.0373E-08,4.1706E-04,,,,,,,,,,,,,
500,1.0553E+00,9.3175E-01,1.0282E-01,1.7743E-02,2.9421E-03,9.3175E-01,9.4487E-02,3.6652E-03,4.6669E-03,1.6244E-02,6.5780E-04,8.3439E-04,3.1561E-06,4.0754E-06,2.5144E-03,8.5754E-05,1.0866E-04,1.8682E-08,2.4501E-08,2.3317E-04,,,,,,,,,,,,,
600,6.6969E-01,5.9142E-01,6.5154E-02,1.1244E-02,1.8662E-03,5.9142E-01,6.0090E-02,2.2156E-03,2.8484E-03,1.0333E-02,3.9803E-04,5.0954E-04,1.7328E-06,2.3809E-06,1.5995E-03,5.1911E-05,6.6342E-05,1.0301E-08,1.4181E-08,1.4847E-04,,,,,,,,,,,,,
800,3.4375E-01,3.0370E-01,3.3345E-02,5.7547E-03,9.5638E-04,3.0370E-01,3.0894E-02,1.0603E-03,1.3908E-03,5.3131E-03,1.9006E-04,2.4974E-04,7.4049E-07,1.0662E-06,8.2252E-04,2.4774E-05,3.2526E-05,4.3148E-09,6.4982E-09,7.6551E-05,,,,,,,,,,,,,
1000,2.1416E-01,1.8927E-01,2.0718E-02,3.5749E-03,5.9477E-04,1.8927E-01,1.9251E-02,6.2512E-04,8.4264E-04,3.3105E-03,1.1210E-04,1.5133E-04,3.9553E-07,6.3171E-07,5.1254E-04,1.4604E-05,1.9744E-05,2.3132E-09,3.7923E-09,4.7882E-05,,,,,,,,,,,,,
1500,9.9371E-02,8.7876E-02,9.5686E-03,1.6503E-03,2.7528E-04,8.7876E-02,8.9247E-03,2.6495E-04,3.7889E-04,1.5344E-03,4.7584E-05,6.7843E-05,1.5463E-07,2.7220E-07,2.3766E-04,6.1904E-06,8.8759E-06,8.6768E-10,1.6626E-09,2.2552E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,0.4,0.6,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
