PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2,,,
4.4785,3.8330E+05,0.0000E+00,0.0000E+00,2.8624E+05,9.7056E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.3044E+04,9.4900E+04,1.2829E+05,5.9038E+03,7.6304E+03,1.6640E+04,1.6329E+04,2.2123E+04,6.1311E+03,7.5709E+03,1.5581E+03,1.8106E+03,3.7356E+03,2.7535E+03,3.6885E+03,3.0404E+02,2.9075E+02,5.5674E+02,3.0920E+01,,,
4.5143,3.9886E+05,0.0000E+00,0.0000E+00,3.0362E+05,9.5239E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3291E+04,6.2200E+04,9.2774E+04,1.2536E+05,5.8286E+03,7.5360E+03,1.6390E+04,1.6012E+04,2.1681E+04,5.9557E+03,7.3527E+03,1.5369E+03,1.7867E+03,3.6782E+03,2.7005E+03,3.6154E+03,2.9982E+02,2.8683E+02,5.4812E+02,3.0494E+01,,,
4.7953,3.4394E+05,0.0000E+00,0.0000E+00,2.6144E+05,8.2504E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1922E+04,5.5787E+04,7.7981E+04,1.0575E+05,5.2835E+03,6.8517E+03,1.4604E+04,1.3786E+04,1.8581E+04,4.7746E+03,5.8839E+03,1.3851E+03,1.6142E+03,3.2680E+03,2.3274E+03,3.1027E+03,2.6963E+02,2.5856E+02,4.8668E+02,2.7447E+01,,,
4.8337,3.5208E+05,0.0000E+00,0.0000E+00,2.7114E+05,8.0949E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4698E+04,2.1748E+04,5.4958E+04,7.6312E+04,1.0342E+05,5.2147E+03,6.7650E+03,1.4382E+04,1.3513E+04,1.8201E+04,4.6364E+03,5.7123E+03,1.3661E+03,1.5925E+03,3.2171E+03,2.2817E+03,3.0401E+03,2.6587E+02,2.5501E+02,4.7904E+02,2.7066E+01,,,
5,3.2486E+05,0.0000E+00,0.0000E+00,2.5020E+05,7.4660E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4027E+04,2.1078E+04,5.1538E+04,6.9619E+04,9.3933E+04,4.9320E+03,6.4061E+03,1.3469E+04,1.2407E+04,1.6670E+04,4.0918E+03,5.0365E+03,1.2883E+03,1.5031E+03,3.0087E+03,2.0967E+03,2.7869E+03,2.5044E+02,2.4042E+02,4.4785E+02,2.5507E+01,,,
6,2.0779E+05,0.0000E+00,0.0000E+00,1.5970E+05,4.8090E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0962E+04,1.6457E+04,3.6676E+04,4.1040E+04,5.4565E+04,3.6334E+03,4.7170E+03,9.3685E+03,7.7242E+03,1.0240E+04,2.0622E+03,2.5242E+03,9.3500E+02,1.0912E+03,2.0800E+03,1.3114E+03,1.7206E+03,1.8074E+02,1.7355E+02,3.0912E+02,1.8455E+01,,,
8,1.0154E+05,0.0000E+00,0.0000E+00,7.7818E+04,2.3720E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.0997E+03,1.0490E+04,2.0533E+04,1.7253E+04,2.2443E+04,2.1984E+03,2.8029E+03,5.1211E+03,3.4957E+03,4.5349E+03,6.7296E+02,8.1614E+02,5.5571E+02,6.3873E+02,1.1299E+03,5.9871E+02,7.6905E+02,1.0663E+02,1.0086E+02,1.6767E+02,1.0931E+01,,,
10,5.7639E+04,0.0000E+00,0.0000E+00,4.4057E+04,1.3582E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.9204E+03,7.0214E+03,1.2640E+04,8.5464E+03,1.0929E+04,1.4652E+03,1.8180E+03,3.1235E+03,1.8242E+03,2.3257E+03,2.7393E+02,3.2963E+02,3.6677E+02,4.1125E+02,6.8748E+02,3.1473E+02,3.9739E+02,7.0047E+01,6.4646E+01,1.0255E+02,7.2009E+00,,,
15,2.0261E+04,0.0000E+00,0.0000E+00,1.5416E+04,4.8455E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3966E+03,3.0916E+03,4.8883E+03,2.2523E+03,2.7871E+03,6.7880E+02,7.7909E+02,1.2029E+03,5.2074E+02,6.4198E+02,5.0390E+01,5.9693E+01,1.6784E+02,1.7499E+02,2.6437E+02,9.0990E+01,1.1111E+02,3.1838E+01,2.8089E+01,3.9423E+01,3.2881E+00,,,
15.44,1.8796E+04,0.0000E+00,0.0000E+00,1.4297E+04,4.4989E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2711E+03,2.9057E+03,4.5552E+03,2.0430E+03,2.5215E+03,6.4161E+02,7.3139E+02,1.1208E+03,4.7470E+02,5.8374E+02,4.4542E+01,5.2702E+01,1.5854E+02,1.6422E+02,2.4633E+02,8.3011E+01,1.0111E+02,3.0062E+01,2.6360E+01,3.6733E+01,3.1055E+00,,,
15.563,4.4748E+04,0.0000E+00,2.6338E+04,1.4002E+04,4.4076E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.6338E+04,2.2376E+03,2.8560E+03,4.4670E+03,1.9886E+03,2.4525E+03,6.3169E+02,7.1870E+02,1.0990E+03,4.6268E+02,5.6857E+02,4.3048E+01,5.0917E+01,1.5606E+02,1.6136E+02,2.4155E+02,8.0929E+01,9.8509E+01,2.9588E+01,2.5901E+01,3.6021E+01,3.0568E+00,,,
18.543,2.7837E+04,0.0000E+00,1.6193E+04,8.8404E+03,2.8040E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.6193E+04,1.6053E+03,1.9377E+03,2.8801E+03,1.0915E+03,1.3258E+03,4.4683E+02,4.8580E+02,7.1007E+02,2.6139E+02,3.1625E+02,2.0210E+01,2.3722E+01,1.0998E+02,1.0891E+02,1.5609E+02,4.5947E+01,5.5061E+01,2.0808E+01,1.7483E+01,2.3276E+01,2.1529E+00,,,
18.692,3.8430E+04,0.0000E+00,2.7027E+04,8.6568E+03,2.7466E+03,0.0000E+00,0.0000E+00,1.1174E+04,1.5852E+04,1.5807E+03,1.9031E+03,2.8223E+03,1.0618E+03,1.2888E+03,4.3976E+02,4.7707E+02,6.9587E+02,2.5460E+02,3.0781E+02,1.9520E+01,2.2905E+01,1.0822E+02,1.0695E+02,1.5298E+02,4.4762E+01,5.3602E+01,2.0474E+01,1.7168E+01,2.2811E+01,2.1185E+00,,,
19.232,3.5774E+04,0.0000E+00,2.5193E+04,8.0305E+03,2.5511E+03,0.0000E+00,0.0000E+00,1.0504E+04,1.4688E+04,1.4958E+03,1.7839E+03,2.6243E+03,9.6192E+02,1.1645E+03,4.1535E+02,4.4703E+02,6.4729E+02,2.3167E+02,2.7936E+02,1.7240E+01,2.0202E+01,1.0216E+02,1.0020E+02,1.4231E+02,4.0765E+01,4.8685E+01,1.9571E+01,1.6085E+01,2.1220E+01,1.9998E+00,,,
19.386,4.0539E+04,0.0000E+00,3.0177E+04,7.8633E+03,2.4989E+03,0.0000E+00,5.4822E+03,1.0319E+04,1.4376E+04,1.4729E+03,1.7517E+03,2.5712E+03,9.3563E+02,1.1319E+03,4.0876E+02,4.3895E+02,6.3427E+02,2.2562E+02,2.7186E+02,1.6650E+01,1.9504E+01,1.0053E+02,9.8381E+01,1.3945E+02,3.9708E+01,4.7388E+01,1.9257E+01,1.5793E+01,2.0794E+01,1.9677E+00,,,
20,3.7409E+04,0.0000E+00,2.7862E+04,7.2419E+03,2.3044E+03,0.0000E+00,5.2027E+03,9.4529E+03,1.3207E+04,1.3864E+03,1.6307E+03,2.3727E+03,8.3937E+02,1.0127E+03,3.8392E+02,4.0859E+02,5.8570E+02,2.0338E+02,2.4436E+02,1.4527E+01,1.6992E+01,9.4363E+01,9.1563E+01,1.2878E+02,3.5823E+01,4.2630E+01,1.8075E+01,1.4699E+01,1.9203E+01,1.8469E+00,,,
30,1.3159E+04,0.0000E+00,9.8974E+03,2.4653E+03,7.9616E+02,0.0000E+00,2.4905E+03,3.3252E+03,4.0817E+03,6.1242E+02,6.1861E+02,8.0453E+02,1.9894E+02,2.3081E+02,1.6620E+02,1.5525E+02,2.0043E+02,5.0802E+01,5.8667E+01,2.3943E+00,2.7437E+00,4.0627E+01,3.4772E+01,4.4155E+01,9.0372E+00,1.0335E+01,7.7769E+00,5.5848E+00,6.5846E+00,7.9451E-01,,,
40,6.1569E+03,0.0000E+00,4.6473E+03,1.1386E+03,3.7093E+02,0.0000E+00,1.4032E+03,1.5233E+03,1.7209E+03,3.3291E+02,2.9861E+02,3.5908E+02,6.9637E+01,7.8380E+01,8.9543E+01,7.5284E+01,9.0135E+01,1.8310E+01,2.0507E+01,6.5136E-01,7.3430E-01,2.1834E+01,1.6873E+01,1.9893E+01,3.2731E+00,3.6114E+00,4.1784E+00,2.7110E+00,2.9667E+00,4.2683E-01,,,
50,3.3917E+03,0.0000E+00,2.5647E+03,6.2283E+02,2.0415E+02,0.0000E+00,8.7778E+02,8.1837E+02,8.6856E+02,2.0418E+02,1.6644E+02,1.8830E+02,3.0465E+01,3.3441E+01,5.4656E+01,4.2152E+01,4.7549E+01,8.1643E+00,8.9170E+00,2.3544E-01,2.6182E-01,1.3311E+01,9.4552E+00,1.0511E+01,1.4649E+00,1.5760E+00,2.5466E+00,1.5197E+00,1.5674E+00,2.6013E-01,,,
60,2.0756E+03,0.0000E+00,1.5711E+03,3.7958E+02,1.2499E+02,0.0000E+00,5.8966E+02,4.8850E+02,4.9290E+02,1.3560E+02,1.0214E+02,1.0987E+02,1.5411E+01,1.6560E+01,3.6192E+01,2.5967E+01,2.7879E+01,4.1865E+00,4.4763E+00,1.0224E-01,1.1236E-01,8.8081E+00,5.8299E+00,6.1707E+00,7.5325E-01,7.9335E-01,1.6848E+00,9.3711E-01,9.2013E-01,1.7209E-01,,,
80,9.5126E+02,0.0000E+00,7.2068E+02,1.7319E+02,5.7391E+01,0.0000E+00,3.0731E+02,2.1404E+02,1.9933E+02,6.9865E+01,4.6503E+01,4.6165E+01,5.2272E+00,5.4259E+00,1.8592E+01,1.1898E+01,1.1797E+01,1.4458E+00,1.4937E+00,2.7462E-02,2.9601E-02,4.5223E+00,2.6750E+00,2.6101E+00,2.6108E-01,2.6569E-01,8.6463E-01,4.3006E-01,3.9007E-01,8.8317E-02,,,
100,5.1793E+02,0.0000E+00,3.9255E+02,9.4067E+01,3.1317E+01,0.0000E+00,1.8231E+02,1.1213E+02,9.8109E+01,4.1225E+01,2.5003E+01,2.3302E+01,2.2568E+00,2.2802E+00,1.0957E+01,6.4266E+00,5.9842E+00,6.3139E-01,6.3511E-01,9.9455E-03,1.0555E-02,2.6650E+00,1.4527E+00,1.3255E+00,1.1430E-01,1.1323E-01,5.0927E-01,2.3258E-01,1.9813E-01,5.2021E-02,,,
104.34,4.6133E+02,0.0000E+00,3.4967E+02,8.3754E+01,2.7905E+01,0.0000E+00,1.6484E+02,9.9131E+01,8.5707E+01,3.7247E+01,2.2204E+01,2.0445E+01,1.9241E+00,1.9342E+00,9.8975E+00,5.7119E+00,5.2551E+00,5.3934E-01,5.3981E-01,8.2064E-03,8.6834E-03,2.4075E+00,1.2914E+00,1.1643E+00,9.7681E-02,9.6278E-02,4.6001E-01,2.0676E-01,1.7403E-01,4.6990E-02,,,
105.17,2.0056E+03,1.5542E+03,3.4215E+02,8.1947E+01,2.7307E+01,1.5542E+03,1.6173E+02,9.6863E+01,8.3557E+01,3.6542E+01,2.1714E+01,1.9948E+01,1.8673E+00,1.8753E+00,9.7099E+00,5.5866E+00,5.1282E+00,5.2361E-01,5.2358E-01,7.9149E-03,8.3710E-03,2.3618E+00,1.2631E+00,1.1362E+00,9.4840E-02,9.3389E-02,4.5129E-01,2.0223E-01,1.6984E-01,4.6098E-02,,,
150,8.0535E+02,6.3376E+02,1.3009E+02,3.1077E+01,1.0417E+01,6.3376E+02,6.8555E+01,3.4556E+01,2.6981E+01,1.5450E+01,8.0048E+00,6.6467E+00,4.9649E-01,4.7912E-01,4.1024E+00,2.0725E+00,1.7199E+00,1.4112E-01,1.3569E-01,1.6189E-03,1.6566E-03,9.9919E-01,4.6930E-01,3.8164E-01,2.5645E-02,2.4276E-02,1.9059E-01,7.5152E-02,5.7064E-02,1.9469E-02,,,
200,3.8053E+02,3.0167E+02,5.9796E+01,1.4263E+01,4.7996E+00,3.0167E+02,3.3810E+01,1.5097E+01,1.0889E+01,7.6215E+00,3.5709E+00,2.7357E+00,1.7284E-01,1.6243E-01,2.0238E+00,9.2846E-01,7.1094E-01,4.9532E-02,4.6418E-02,4.6217E-04,4.6606E-04,4.9285E-01,2.1046E-01,1.5790E-01,9.0207E-03,8.3195E-03,9.4007E-02,3.3705E-02,2.3615E-02,9.6048E-03,,,
300,1.3408E+02,1.0707E+02,2.0482E+01,4.8769E+00,1.6479E+00,1.0707E+02,1.2512E+01,4.8307E+00,3.1395E+00,2.8251E+00,1.1681E+00,8.0480E-01,4.1075E-02,3.7816E-02,7.5048E-01,3.0510E-01,2.1013E-01,1.1877E-02,1.0854E-02,8.5129E-05,8.5903E-05,1.8274E-01,6.9241E-02,4.6709E-02,2.1674E-03,1.9583E-03,3.4856E-02,1.1091E-02,6.9875E-03,3.5629E-03,,,
400,6.5616E+01,5.2624E+01,9.8556E+00,2.3431E+00,7.9354E-01,5.2624E+01,6.2808E+00,2.2216E+00,1.3532E+00,1.4197E+00,5.4322E-01,3.5028E-01,1.5564E-02,1.4360E-02,3.7729E-01,1.4239E-01,9.1505E-02,4.5214E-03,4.1431E-03,2.7378E-05,2.8375E-05,9.1851E-02,3.2297E-02,2.0383E-02,8.2571E-04,7.4745E-04,1.7519E-02,5.1734E-03,3.0501E-03,1.7919E-03,,,
500,3.8549E+01,3.1015E+01,5.7172E+00,1.3573E+00,4.6022E-01,3.1015E+01,3.7414E+00,1.2480E+00,7.2779E-01,8.4604E-01,3.0707E-01,1.8938E-01,7.6697E-03,7.1474E-03,2.2481E-01,8.0618E-02,4.9526E-02,2.2359E-03,2.0653E-03,1.2371E-05,1.2857E-05,5.4741E-02,1.8290E-02,1.1036E-02,4.0810E-04,3.7330E-04,1.0441E-02,2.9297E-03,1.6518E-03,1.0691E-03,,,
600,2.5385E+01,2.0476E+01,3.7254E+00,8.8327E-01,2.9971E-01,2.0476E+01,2.4834E+00,7.9352E-01,4.4848E-01,5.6160E-01,1.9604E-01,1.1707E-01,4.3932E-03,4.1606E-03,1.4922E-01,5.1517E-02,3.0630E-02,1.2846E-03,1.2015E-03,6.5272E-06,6.8683E-06,3.6336E-02,1.1691E-02,6.8284E-03,2.3442E-04,2.1771E-04,6.9306E-03,1.8726E-03,1.0222E-03,7.1055E-04,,,
800,1.3564E+01,1.0983E+01,1.9597E+00,4.6360E-01,1.5745E-01,1.0983E+01,1.3369E+00,4.0395E-01,2.1882E-01,3.0223E-01,1.0024E-01,5.7313E-02,1.9252E-03,1.8899E-03,8.0295E-02,2.6372E-02,1.5005E-02,5.6325E-04,5.4797E-04,2.5047E-06,2.9245E-06,1.9551E-02,5.9865E-03,3.3448E-03,1.0299E-04,9.9071E-05,3.7293E-03,9.5900E-04,5.0107E-04,3.8375E-04,,,
1000,8.5733E+00,6.9594E+00,1.2260E+00,2.8952E-01,9.8390E-02,6.9594E+00,8.4704E-01,2.4826E-01,1.3070E-01,1.9141E-01,6.1736E-02,3.4220E-02,1.0804E-03,1.0780E-03,5.0842E-02,1.6256E-02,8.9769E-03,3.1609E-04,3.1504E-04,1.3810E-06,1.5312E-06,1.2378E-02,3.6898E-03,2.0011E-03,5.7720E-05,5.6947E-05,2.3615E-03,5.9108E-04,2.9998E-04,2.4428E-04,,,
1500,3.9441E+00,3.2116E+00,5.5669E-01,1.3119E-01,4.4582E-02,3.2116E+00,3.8957E-01,1.1121E-01,5.5915E-02,8.7931E-02,2.7761E-02,1.4642E-02,4.1766E-04,4.4104E-04,2.3348E-02,7.3009E-03,3.8426E-03,1.2211E-04,1.2916E-04,5.5165E-07,5.8483E-07,5.6843E-03,1.6576E-03,8.5675E-04,2.2341E-05,2.3261E-05,1.0850E-03,2.6578E-04,1.2880E-04,1.1469E-04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,2,2,4,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
