PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
30,1.3794E+03,0.0000E+00,1.1134E+03,2.1917E+02,4.6865E+01,0.0000E+00,5.9677E+02,2.0492E+02,3.1166E+02,1.1457E+02,3.8135E+01,5.8795E+01,3.3371E+00,4.3313E+00,2.3744E+01,7.2069E+00,1.1055E+01,5.2271E-01,6.7123E-01,2.9407E+00,2.9586E-01,4.2844E-01,,,,,,,,,,,
30.45,1.3224E+03,0.0000E+00,1.0673E+03,2.1010E+02,4.4960E+01,0.0000E+00,5.7554E+02,1.9527E+02,2.9652E+02,1.1047E+02,3.6395E+01,5.6023E+01,3.1375E+00,4.0685E+00,2.2895E+01,6.8797E+00,1.0537E+01,4.9169E-01,6.3081E-01,2.8355E+00,2.8244E-01,4.0836E-01,,,,,,,,,,,
30.694,7.9394E+03,6.6465E+03,1.0435E+03,2.0540E+02,4.3972E+01,6.6465E+03,5.6447E+02,1.9029E+02,2.8872E+02,1.0834E+02,3.5495E+01,5.4592E+01,3.0356E+00,3.9344E+00,2.2453E+01,6.7105E+00,1.0269E+01,4.7583E-01,6.1016E-01,2.7807E+00,2.7550E-01,3.9799E-01,,,,,,,,,,,
40,3.9828E+03,3.3743E+03,4.9095E+02,9.6588E+01,2.0940E+01,3.3743E+03,2.9272E+02,8.0137E+01,1.1809E+02,5.6102E+01,1.5320E+01,2.2874E+01,1.0079E+00,1.2841E+00,1.1625E+01,2.9083E+00,4.3206E+00,1.5922E-01,2.0068E-01,1.4393E+00,1.1945E-01,1.6754E-01,,,,,,,,,,,
50,2.1752E+03,1.8542E+03,2.5890E+02,5.0922E+01,1.1144E+01,1.8542E+03,1.6556E+02,3.8332E+01,5.5008E+01,3.1736E+01,7.4561E+00,1.0838E+01,3.9583E-01,4.9643E-01,6.5777E+00,1.4198E+00,2.0534E+00,6.2861E-02,7.7991E-02,8.1415E-01,5.8334E-02,7.9648E-02,,,,,,,,,,,
60,1.3188E+03,1.1290E+03,1.5305E+02,3.0102E+01,6.6311E+00,1.1290E+03,1.0285E+02,2.0893E+01,2.9303E+01,1.9733E+01,4.1140E+00,5.8421E+00,1.8429E-01,2.2802E-01,4.0916E+00,7.8589E-01,1.1067E+00,2.9376E-02,3.5949E-02,5.0629E-01,3.2261E-02,4.3040E-02,,,,,,,,,,,
80,5.8916E+02,5.0670E+02,6.6473E+01,1.3077E+01,2.9069E+00,5.0670E+02,4.7718E+01,7.9839E+00,1.0771E+01,9.1751E+00,1.5978E+00,2.1817E+00,5.5325E-02,6.6957E-02,1.9027E+00,3.0611E-01,4.1450E-01,8.8592E-03,1.0607E-02,2.3549E-01,1.2571E-02,1.6126E-02,,,,,,,,,,,
100,3.1252E+02,2.6945E+02,3.4715E+01,6.8314E+00,1.5277E+00,2.6945E+02,2.5986E+01,3.7842E+00,4.9445E+00,5.0066E+00,7.6523E-01,1.0116E+00,2.1902E-02,2.6058E-02,1.0386E+00,1.4689E-01,1.9255E-01,3.5183E-03,4.1382E-03,1.2855E-01,6.0332E-03,7.4939E-03,,,,,,,,,,,
150,9.7594E+01,8.4373E+01,1.0650E+01,2.0976E+00,4.7322E-01,8.4373E+01,8.4535E+00,9.8520E-01,1.2113E+00,1.6350E+00,2.0214E-01,2.5140E-01,4.1877E-03,4.8493E-03,3.3939E-01,3.8921E-02,4.7978E-02,6.7568E-04,7.7353E-04,4.2013E-02,1.5986E-03,1.8682E-03,,,,,,,,,,,
200,4.2744E+01,3.6992E+01,4.6320E+00,9.1289E-01,2.0692E-01,3.6992E+01,3.7901E+00,3.8647E-01,4.5542E-01,7.3490E-01,7.9888E-02,9.5229E-02,1.3405E-03,1.5347E-03,1.5262E-01,1.5410E-02,1.8199E-02,2.1684E-04,2.4531E-04,1.8894E-02,6.3293E-04,7.0885E-04,,,,,,,,,,,
300,1.3645E+01,1.1819E+01,1.4700E+00,2.8990E-01,6.6041E-02,1.1819E+01,1.2405E+00,1.0829E-01,1.2126E-01,2.4122E-01,2.2550E-02,2.5509E-02,2.8980E-04,3.3059E-04,5.0118E-02,4.3593E-03,4.8884E-03,4.6904E-05,5.3233E-05,6.2052E-03,1.7902E-04,1.9053E-04,,,,,,,,,,,
400,6.2707E+00,5.4344E+00,6.7322E-01,1.3278E-01,3.0329E-02,5.4344E+00,5.7694E-01,4.5992E-02,5.0293E-02,1.1230E-01,9.6341E-03,1.0614E-02,1.0420E-04,1.2108E-04,2.3350E-02,1.8600E-03,2.0358E-03,1.6848E-05,1.9557E-05,2.8912E-03,7.6381E-05,7.9414E-05,,,,,,,,,,,
500,3.5297E+00,3.0603E+00,3.7781E-01,7.4516E-02,1.7047E-02,3.0603E+00,3.2680E-01,2.4473E-02,2.6538E-02,6.3658E-02,5.1392E-03,5.6099E-03,4.9090E-05,5.8927E-05,1.3238E-02,9.9252E-04,1.0769E-03,7.9281E-06,9.5589E-06,1.6393E-03,4.0752E-05,4.2036E-05,,,,,,,,,,,
600,2.2576E+00,1.9582E+00,2.4096E-01,4.7522E-02,1.0882E-02,1.9582E+00,2.0972E-01,1.4987E-02,1.6253E-02,4.0868E-02,3.1515E-03,3.4401E-03,2.7369E-05,3.4408E-05,8.4990E-03,6.0906E-04,6.6023E-04,4.4429E-06,5.5412E-06,1.0527E-03,2.5008E-05,2.5805E-05,,,,,,,,,,,
800,1.1679E+00,1.0139E+00,1.2401E-01,2.4448E-02,5.6046E-03,1.0139E+00,1.0879E-01,7.2558E-03,7.9626E-03,2.1204E-02,1.5291E-03,1.6874E-03,1.1611E-05,1.5680E-05,4.4096E-03,2.9548E-04,3.2386E-04,1.8756E-06,2.5296E-06,5.4643E-04,1.2140E-05,1.2694E-05,,,,,,,,,,,
1000,7.2921E-01,6.3343E-01,7.7096E-02,1.5191E-02,3.4853E-03,6.3343E-01,6.7960E-02,4.3186E-03,4.8177E-03,1.3244E-02,9.1216E-04,1.0194E-03,6.3698E-06,8.9269E-06,2.7542E-03,1.7616E-04,1.9589E-04,1.0180E-06,1.4623E-06,3.4152E-04,7.2440E-06,7.7105E-06,,,,,,,,,,,
1500,3.3697E-01,2.9305E-01,3.5357E-02,6.9626E-03,1.5991E-03,2.9305E-01,3.1365E-02,1.8575E-03,2.1352E-03,6.1113E-03,3.9191E-04,4.5305E-04,2.5448E-06,3.7219E-06,1.2708E-03,7.5689E-05,8.6983E-05,3.7858E-07,6.1041E-07,1.5802E-04,3.1311E-06,3.4738E-06,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
