PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
3.3759,4.8642E+05,0.0000E+00,0.0000E+00,2.8856E+05,1.9786E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8856E+05,9.2739E+03,1.1648E+04,2.8720E+04,3.3066E+04,4.5800E+04,1.8296E+04,2.2762E+04,2.5944E+03,2.9505E+03,6.7196E+03,5.7912E+03,7.9268E+03,5.4082E+02,5.1765E+02,1.0895E+03,4.4954E+01,5.7222E+01,6.2061E+01,
3.403,6.9144E+05,0.0000E+00,0.0000E+00,4.9717E+05,1.9427E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1434E+05,2.8283E+05,9.1640E+03,1.1524E+04,2.8323E+04,3.2489E+04,4.4974E+04,1.7801E+04,2.2141E+04,2.5605E+03,2.9150E+03,6.6225E+03,5.6898E+03,7.7836E+03,5.3356E+02,5.1120E+02,1.0736E+03,4.4167E+01,5.6188E+01,6.1233E+01,
3.8997,4.8806E+05,0.0000E+00,0.0000E+00,3.4642E+05,1.4165E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4586E+05,2.0056E+05,7.4565E+03,9.5268E+03,2.2200E+04,2.3852E+04,3.2658E+04,1.1067E+04,1.3713E+04,2.0419E+03,2.3599E+03,5.1455E+03,4.1778E+03,5.6600E+03,4.2287E+02,4.1108E+02,8.3217E+02,3.2433E+01,4.0860E+01,4.8603E+01,
3.9309,5.5624E+05,0.0000E+00,0.0000E+00,4.1721E+05,1.3903E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.8111E+04,1.4291E+05,1.9619E+05,7.3647E+03,9.4184E+03,2.1880E+04,2.3413E+04,3.2038E+04,1.0759E+04,1.3329E+04,2.0148E+03,2.3303E+03,5.0689E+03,4.1012E+03,5.5531E+03,4.1711E+02,4.0577E+02,8.1968E+02,3.1839E+01,4.0088E+01,4.7945E+01,
4,5.3403E+05,0.0000E+00,0.0000E+00,4.0054E+05,1.3349E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7082E+04,1.3656E+05,1.8690E+05,7.1671E+03,9.1848E+03,2.1197E+04,2.2477E+04,3.0720E+04,1.0115E+04,1.2525E+04,1.9567E+03,2.2666E+03,4.9051E+03,3.9381E+03,5.3256E+03,4.0479E+02,3.9438E+02,7.9298E+02,3.0573E+01,3.8447E+01,4.6538E+01,
4.6511,3.6497E+05,0.0000E+00,0.0000E+00,2.7143E+05,9.3539E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.0366E+04,8.9915E+04,1.2115E+05,5.6432E+03,7.3167E+03,1.5995E+04,1.5644E+04,2.1133E+04,5.8814E+03,7.2502E+03,1.5148E+03,1.7731E+03,3.6729E+03,2.7467E+03,3.6746E+03,3.1156E+02,3.0662E+02,5.9253E+02,2.1333E+01,2.6538E+01,3.5883E+01,
4.6883,3.7981E+05,0.0000E+00,0.0000E+00,2.8803E+05,9.1784E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2220E+04,5.9551E+04,8.7895E+04,1.1836E+05,5.5715E+03,7.2263E+03,1.5754E+04,1.5339E+04,2.0709E+04,5.7129E+03,7.0407E+03,1.4942E+03,1.7497E+03,3.6162E+03,2.6936E+03,3.6016E+03,3.0725E+02,3.0249E+02,5.8333E+02,2.0921E+01,2.6011E+01,3.5389E+01,
4.975,3.2817E+05,0.0000E+00,0.0000E+00,2.4848E+05,7.9686E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0908E+04,5.3471E+04,7.4029E+04,1.0008E+05,5.0599E+03,6.5818E+03,1.4059E+04,1.3233E+04,1.7786E+04,4.5956E+03,5.6540E+03,1.3490E+03,1.5836E+03,3.2182E+03,2.3264E+03,3.0974E+03,2.7682E+02,2.7319E+02,5.1878E+02,1.8073E+01,2.2373E+01,3.1907E+01,
5,3.3833E+05,0.0000E+00,0.0000E+00,2.5960E+05,7.8738E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4121E+04,2.0798E+04,5.2968E+04,7.3029E+04,9.8679E+04,5.0185E+03,6.5295E+03,1.3924E+04,1.3068E+04,1.7557E+04,4.5115E+03,5.5498E+03,1.3374E+03,1.5702E+03,3.1865E+03,2.2975E+03,3.0578E+03,2.7439E+02,2.7083E+02,5.1364E+02,1.7849E+01,2.2088E+01,3.1628E+01,
5.0148,3.3591E+05,0.0000E+00,0.0000E+00,2.5772E+05,7.8182E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4010E+04,2.0735E+04,5.2672E+04,7.2445E+04,9.7860E+04,4.9942E+03,6.4987E+03,1.3844E+04,1.2971E+04,1.7422E+04,4.4625E+03,5.4890E+03,1.3306E+03,1.5624E+03,3.1679E+03,2.2806E+03,3.0347E+03,2.7296E+02,2.6944E+02,5.1062E+02,1.7717E+01,2.1921E+01,3.1464E+01,
6,2.1679E+05,0.0000E+00,0.0000E+00,1.6604E+05,5.0748E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1029E+04,1.6636E+04,3.7555E+04,4.3338E+04,5.7484E+04,3.7049E+03,4.8289E+03,9.7045E+03,8.1649E+03,1.0818E+04,2.2812E+03,2.7903E+03,9.7207E+02,1.1438E+03,2.2066E+03,1.4421E+03,1.8939E+03,1.9831E+02,1.9614E+02,3.5508E+02,1.1212E+01,1.3690E+01,2.2910E+01,
8,1.0608E+05,0.0000E+00,0.0000E+00,8.1023E+04,2.5055E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.1595E+03,1.0687E+04,2.1148E+04,1.8279E+04,2.3749E+04,2.2478E+03,2.8879E+03,5.3207E+03,3.7144E+03,4.8138E+03,7.4816E+02,9.0655E+02,5.7904E+02,6.7300E+02,1.2018E+03,6.6182E+02,8.5062E+02,1.1727E+02,1.1456E+02,1.9307E+02,5.1524E+00,6.1565E+00,1.3594E+01,
10,6.0282E+04,0.0000E+00,0.0000E+00,4.5924E+04,1.4358E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.9853E+03,7.1947E+03,1.3061E+04,9.0848E+03,1.1599E+04,1.5020E+03,1.8819E+03,3.2533E+03,1.9459E+03,2.4776E+03,3.0564E+02,3.6742E+02,3.8281E+02,4.3503E+02,7.3284E+02,3.4930E+02,4.4117E+02,7.7165E+01,7.3719E+01,1.1767E+02,2.7222E+00,3.1961E+00,8.9680E+00,
15,2.1235E+04,0.0000E+00,0.0000E+00,1.6105E+04,5.1299E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4460E+03,3.1998E+03,5.0795E+03,2.4073E+03,2.9727E+03,6.9829E+02,8.1280E+02,1.2583E+03,5.5920E+02,6.8814E+02,5.6564E+01,6.6926E+01,1.7570E+02,1.8643E+02,2.8297E+02,1.0169E+02,1.2415E+02,3.5183E+01,3.2153E+01,4.5637E+01,7.9387E-01,9.0094E-01,4.1060E+00,
15.866,1.8356E+04,0.0000E+00,0.0000E+00,1.3915E+04,4.4417E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2037E+03,2.8397E+03,4.4298E+03,1.9929E+03,2.4485E+03,6.2606E+02,7.1939E+02,1.0972E+03,4.6739E+02,5.7232E+02,4.4535E+01,5.2569E+01,1.5732E+02,1.6491E+02,2.4674E+02,8.5138E+01,1.0342E+02,3.1479E+01,2.8440E+01,3.9793E+01,6.6477E-01,7.5071E-01,3.6755E+00,
15.993,4.3517E+04,0.0000E+00,2.5537E+04,1.3628E+04,4.3516E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.5537E+04,2.1712E+03,2.7914E+03,4.3440E+03,1.9398E+03,2.3816E+03,6.1637E+02,7.0694E+02,1.0759E+03,4.5557E+02,5.5744E+02,4.3043E+01,5.0790E+01,1.5485E+02,1.6204E+02,2.4195E+02,8.3004E+01,1.0076E+02,3.0984E+01,2.7946E+01,3.9021E+01,6.4812E-01,7.3139E-01,3.6179E+00,
19.145,2.6702E+04,0.0000E+00,1.5466E+04,8.5013E+03,2.7350E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.5466E+04,1.5442E+03,1.8762E+03,2.7669E+03,1.0479E+03,1.2660E+03,4.3201E+02,4.7331E+02,6.8673E+02,2.5351E+02,3.0516E+02,1.9810E+01,2.3189E+01,1.0811E+02,1.0832E+02,1.5447E+02,4.6426E+01,5.5440E+01,2.1587E+01,1.8683E+01,2.4912E+01,3.6273E-01,4.0269E-01,2.5242E+00,
19.299,3.6934E+04,0.0000E+00,2.5930E+04,8.3248E+03,2.6790E+03,0.0000E+00,0.0000E+00,1.0790E+04,1.5140E+04,1.5205E+03,1.8429E+03,2.7114E+03,1.0194E+03,1.2307E+03,4.2518E+02,4.6481E+02,6.7298E+02,2.4692E+02,2.9701E+02,1.9135E+01,2.2390E+01,1.0639E+02,1.0638E+02,1.5139E+02,4.5229E+01,5.3970E+01,2.1241E+01,1.8347E+01,2.4414E+01,3.5338E-01,3.9203E-01,2.4839E+00,
19.849,3.4394E+04,0.0000E+00,2.4173E+04,7.7304E+03,2.4905E+03,0.0000E+00,0.0000E+00,1.0135E+04,1.4038E+04,1.4399E+03,1.7291E+03,2.5233E+03,9.2468E+02,1.1134E+03,4.0188E+02,4.3597E+02,6.2653E+02,2.2496E+02,2.6988E+02,1.6927E+01,1.9781E+01,1.0051E+02,9.9757E+01,1.4094E+02,4.1237E+01,4.9078E+01,2.0061E+01,1.7205E+01,2.2730E+01,3.2223E-01,3.5653E-01,2.3464E+00,
20,3.9007E+04,0.0000E+00,2.8987E+04,7.5778E+03,2.4421E+03,0.0000E+00,5.2607E+03,9.9714E+03,1.3755E+04,1.4189E+03,1.6996E+03,2.4748E+03,9.0069E+02,1.0838E+03,3.9582E+02,4.2850E+02,6.1456E+02,2.1938E+02,2.6301E+02,1.6377E+01,1.9132E+01,9.8980E+01,9.8043E+01,1.3826E+02,4.0223E+01,4.7838E+01,1.9754E+01,1.6910E+01,2.2296E+01,3.1431E-01,3.4752E-01,2.3106E+00,
20.008,3.8974E+04,0.0000E+00,2.8965E+04,7.5696E+03,2.4394E+03,0.0000E+00,5.2643E+03,9.9616E+03,1.3739E+04,1.4178E+03,1.6980E+03,2.4722E+03,8.9941E+02,1.0822E+03,3.9549E+02,4.2810E+02,6.1392E+02,2.1908E+02,2.6264E+02,1.6348E+01,1.9097E+01,9.8898E+01,9.7951E+01,1.3811E+02,4.0169E+01,4.7771E+01,1.9738E+01,1.6894E+01,2.2273E+01,3.1389E-01,3.4704E-01,2.3087E+00,
30,1.3760E+04,0.0000E+00,1.0330E+04,2.5846E+03,8.4522E+02,0.0000E+00,2.5397E+03,3.5081E+03,4.2819E+03,6.2939E+02,6.4977E+02,8.4284E+02,2.1450E+02,2.4809E+02,1.7190E+02,1.6399E+02,2.1124E+02,5.5133E+01,6.3493E+01,2.7146E+00,3.1060E+00,4.2737E+01,3.7493E+01,4.7610E+01,1.0212E+01,1.1664E+01,8.6176E+00,6.4693E+00,7.6788E+00,7.9871E-02,8.4848E-02,9.9673E-01,
40,6.4508E+03,0.0000E+00,4.8610E+03,1.1955E+03,3.9432E+02,0.0000E+00,1.4384E+03,1.6125E+03,1.8101E+03,3.4303E+02,3.1528E+02,3.7734E+02,7.5333E+01,8.4492E+01,9.2815E+01,7.9913E+01,9.5287E+01,1.9950E+01,2.2274E+01,7.4097E-01,8.3383E-01,2.3016E+01,1.8282E+01,2.1515E+01,3.7178E+00,4.1162E+00,4.6394E+00,3.1556E+00,3.4703E+00,2.9091E-02,2.9964E-02,5.3655E-01,
50,3.5585E+03,0.0000E+00,2.6866E+03,6.5474E+02,2.1723E+02,0.0000E+00,9.0221E+02,8.6924E+02,9.1512E+02,2.1083E+02,1.7641E+02,1.9833E+02,3.3039E+01,3.6129E+01,5.6749E+01,4.4908E+01,5.0383E+01,8.9216E+00,9.7106E+00,2.6847E-01,2.9798E-01,1.4054E+01,1.0282E+01,1.1394E+01,1.6673E+00,1.7910E+00,2.8321E+00,1.7753E+00,1.8378E+00,1.3066E-02,1.3121E-02,3.2752E-01,
60,2.1801E+03,0.0000E+00,1.6476E+03,3.9941E+02,1.3311E+02,0.0000E+00,6.0720E+02,5.2031E+02,5.2004E+02,1.4023E+02,1.0857E+02,1.1594E+02,1.6747E+01,1.7923E+01,3.7631E+01,2.7746E+01,2.9595E+01,4.5852E+00,4.8845E+00,1.1682E-01,1.2813E-01,9.3122E+00,6.3577E+00,6.7011E+00,8.5933E-01,9.0333E-01,1.8762E+00,1.0980E+00,1.0808E+00,6.7360E-03,6.6215E-03,2.1696E-01,
80,1.0008E+03,0.0000E+00,7.5713E+02,1.8251E+02,6.1211E+01,0.0000E+00,3.1758E+02,2.2881E+02,2.1073E+02,7.2424E+01,4.9651E+01,4.8848E+01,5.6969E+00,5.8878E+00,1.9375E+01,1.2769E+01,1.2558E+01,1.5889E+00,1.6348E+00,3.1486E-02,3.3859E-02,4.7915E+00,2.9299E+00,2.8493E+00,2.9895E-01,3.0350E-01,9.6496E-01,5.0612E-01,4.5951E-01,2.3442E-03,2.2259E-03,1.1159E-01,
100,5.4559E+02,0.0000E+00,4.1291E+02,9.9251E+01,3.3428E+01,0.0000E+00,1.8878E+02,1.2023E+02,1.0389E+02,4.2818E+01,2.6783E+01,2.4706E+01,2.4649E+00,2.4790E+00,1.1438E+01,6.9198E+00,6.3835E+00,6.9557E-01,6.9663E-01,1.1431E-02,1.2101E-02,2.8283E+00,1.5897E+00,1.4467E+00,1.3120E-01,1.2966E-01,5.6937E-01,2.7462E-01,2.3389E-01,1.0290E-03,9.5125E-04,6.5842E-02,
107.21,4.5145E+02,0.0000E+00,3.4169E+02,8.2069E+01,2.7682E+01,0.0000E+00,1.6012E+02,9.8302E+01,8.3272E+01,3.6267E+01,2.2064E+01,1.9945E+01,1.8989E+00,1.8937E+00,9.6855E+00,5.7082E+00,5.1610E+00,5.3756E-01,5.3395E-01,8.3458E-03,8.7928E-03,2.3951E+00,1.3172E+00,1.1700E+00,1.0146E-01,9.9448E-02,4.8206E-01,2.2662E-01,1.8918E-01,7.9588E-04,7.2972E-04,5.5746E-02,
108.07,1.9400E+03,1.4982E+03,3.3436E+02,8.0301E+01,2.7089E+01,1.4982E+03,1.5711E+02,9.6061E+01,8.1187E+01,3.5582E+01,2.1578E+01,1.9462E+01,1.8430E+00,1.8363E+00,9.5022E+00,5.5836E+00,5.0366E+00,5.2194E-01,5.1794E-01,8.0512E-03,8.4774E-03,2.3498E+00,1.2885E+00,1.1419E+00,9.8521E-02,9.6473E-02,4.7293E-01,2.2168E-01,1.8463E-01,7.7279E-04,7.0789E-04,5.4690E-02,
150,8.3699E+02,6.5584E+02,1.3715E+02,3.2860E+01,1.1145E+01,6.5584E+02,7.1276E+01,3.7228E+01,2.8646E+01,1.6102E+01,8.6212E+00,7.0703E+00,5.4416E-01,5.2243E-01,4.2969E+00,2.2439E+00,1.8409E+00,1.5608E-01,1.4933E-01,1.8671E-03,1.9085E-03,1.0639E+00,5.1852E-01,4.1797E-01,2.9549E-02,2.7886E-02,2.1378E-01,8.9232E-02,6.7599E-02,2.3183E-04,2.0478E-04,2.4722E-02,
200,3.9693E+02,3.1354E+02,6.3140E+01,1.5105E+01,5.1422E+00,3.1354E+02,3.5247E+01,1.6313E+01,1.1580E+01,7.9625E+00,3.8592E+00,2.9159E+00,1.8985E-01,1.7743E-01,2.1248E+00,1.0088E+00,7.6255E-01,5.4915E-02,5.1187E-02,5.3380E-04,5.3847E-04,5.2604E-01,2.3335E-01,1.7330E-01,1.0420E-02,9.5743E-03,1.0569E-01,4.0161E-02,2.8035E-02,8.1762E-05,7.0367E-05,1.2224E-02,
300,1.4028E+02,1.1166E+02,2.1674E+01,5.1756E+00,1.7692E+00,1.1166E+02,1.3090E+01,5.2395E+00,3.3450E+00,2.9615E+00,1.2677E+00,8.5976E-01,4.5234E-02,4.1383E-02,7.9056E-01,3.3289E-01,2.2591E-01,1.3203E-02,1.1999E-02,9.8740E-05,9.9605E-05,1.9570E-01,7.7104E-02,5.1385E-02,2.5103E-03,2.2589E-03,3.9319E-02,1.3272E-02,8.3149E-03,1.9702E-05,1.6625E-05,4.5490E-03,
400,6.8792E+01,5.5004E+01,1.0445E+01,2.4901E+00,8.5310E-01,5.5004E+01,6.5863E+00,2.4152E+00,1.4430E+00,1.4916E+00,5.9101E-01,3.7459E-01,1.7166E-02,1.5728E-02,3.9830E-01,1.5577E-01,9.8490E-02,5.0363E-03,4.5809E-03,3.1968E-05,3.2572E-05,9.8579E-02,3.6059E-02,2.2449E-02,9.5832E-04,8.6378E-04,1.9806E-02,6.2071E-03,3.6335E-03,7.5218E-06,6.3654E-06,2.2927E-03,
500,4.0473E+01,3.2469E+01,6.0649E+00,1.4438E+00,4.9523E-01,3.2469E+01,3.9298E+00,1.3587E+00,7.7639E-01,8.9027E-01,3.3464E-01,2.0262E-01,8.4682E-03,7.8303E-03,2.3771E-01,8.8334E-02,5.3330E-02,2.4937E-03,2.2829E-03,1.4424E-05,1.4724E-05,5.8841E-02,2.0456E-02,1.2162E-02,4.7443E-04,4.3115E-04,1.1822E-02,3.5210E-03,1.9687E-03,3.7237E-06,3.1857E-06,1.3695E-03,
600,2.6678E+01,2.1460E+01,3.9547E+00,9.4017E-01,3.2272E-01,2.1460E+01,2.6114E+00,8.6488E-01,4.7847E-01,5.9160E-01,2.1389E-01,1.2528E-01,4.8542E-03,4.5586E-03,1.5796E-01,5.6513E-02,3.2990E-02,1.4326E-03,1.3300E-03,7.4798E-06,8.0281E-06,3.9099E-02,1.3090E-02,7.5261E-03,2.7246E-04,2.5142E-04,7.8558E-03,2.2531E-03,1.2185E-03,2.1415E-06,1.8630E-06,9.1103E-04,
800,1.4272E+01,1.1526E+01,2.0820E+00,4.9384E-01,1.6966E-01,1.1526E+01,1.4076E+00,4.4091E-01,2.3341E-01,3.1878E-01,1.0954E-01,6.1320E-02,2.1297E-03,2.0702E-03,8.5104E-02,2.8975E-02,1.6161E-02,6.2894E-04,6.0724E-04,2.9299E-06,3.3436E-06,2.1064E-02,6.7133E-03,3.6862E-03,1.2000E-04,1.1442E-04,4.2323E-03,1.1557E-03,5.9713E-04,9.4461E-07,8.5358E-07,4.9225E-04,
1000,9.0249E+00,7.3074E+00,1.3029E+00,3.0850E-01,1.0605E-01,7.3074E+00,8.9238E-01,2.7120E-01,1.3935E-01,2.0200E-01,6.7520E-02,3.6603E-02,1.1966E-03,1.1793E-03,5.3916E-02,1.7877E-02,9.6629E-03,3.5386E-04,3.4784E-04,1.5328E-06,1.7776E-06,1.3344E-02,4.1414E-03,2.2044E-03,6.7232E-05,6.5851E-05,2.6813E-03,7.1294E-04,3.5730E-04,5.3166E-07,4.9561E-07,3.1316E-04,
1500,4.1522E+00,3.3727E+00,5.9168E-01,1.3980E-01,4.8055E-02,3.3727E+00,4.1048E-01,1.2164E-01,5.9559E-02,9.2811E-02,3.0399E-02,1.5641E-02,4.6224E-04,4.8398E-04,2.4763E-02,8.0389E-03,4.1333E-03,1.3672E-04,1.4270E-04,6.0959E-07,6.5689E-07,6.1283E-03,1.8628E-03,9.4280E-04,2.6085E-05,2.6866E-05,1.2320E-03,3.2086E-04,1.5317E-04,2.0996E-07,2.0976E-07,1.4638E-04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,2,2,4,0.4,0.6,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
