PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
300,2.4415E-03,2.3098E-03,1.3168E-04,0.0000E+00,0.0000E+00,2.3098E-03,1.3147E-04,7.5493E-08,1.3034E-07,,,,,,,,,,,,,,,,,,,,,,,,
400,1.0454E-03,9.8899E-04,5.6376E-05,0.0000E+00,0.0000E+00,9.8899E-04,5.6296E-05,2.9062E-08,5.0979E-08,,,,,,,,,,,,,,,,,,,,,,,,
500,5.6346E-04,5.3308E-04,3.0383E-05,0.0000E+00,0.0000E+00,5.3308E-04,3.0342E-05,1.4468E-08,2.6204E-08,,,,,,,,,,,,,,,,,,,,,,,,
600,3.5086E-04,3.3194E-04,1.8920E-05,0.0000E+00,0.0000E+00,3.3194E-04,1.8896E-05,8.4708E-09,1.5831E-08,,,,,,,,,,,,,,,,,,,,,,,,
800,1.7708E-04,1.6753E-04,9.5514E-06,0.0000E+00,0.0000E+00,1.6753E-04,9.5398E-06,3.8580E-09,7.7643E-09,,,,,,,,,,,,,,,,,,,,,,,,
1000,1.1009E-04,1.0415E-04,5.9387E-06,0.0000E+00,0.0000E+00,1.0415E-04,5.9317E-06,2.2056E-09,4.7719E-09,,,,,,,,,,,,,,,,,,,,,,,,
1500,5.1892E-05,4.9087E-05,2.8043E-06,0.0000E+00,0.0000E+00,4.9087E-05,2.8012E-06,9.0659E-10,2.2497E-09,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,1.33,2.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
