PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
3.8371,4.6653E+05,0.0000E+00,0.0000E+00,3.5434E+05,1.1219E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.5087E+04,1.1785E+05,1.6140E+05,7.0660E+03,9.0220E+03,1.9505E+04,1.9390E+04,2.6552E+04,7.1791E+03,8.9205E+03,1.7303E+03,1.9468E+03,3.9539E+03,2.6817E+03,3.6037E+03,2.6241E+02,1.3677E+02,2.4165E+02,,,,
3.8679,4.8493E+05,0.0000E+00,0.0000E+00,3.7482E+05,1.1011E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7715E+04,7.4096E+04,1.1524E+05,1.5777E+05,6.9757E+03,8.9105E+03,1.9217E+04,1.9019E+04,2.6030E+04,6.9748E+03,8.6649E+03,1.7068E+03,1.9211E+03,3.8939E+03,2.6307E+03,3.5334E+03,2.5876E+02,1.3490E+02,2.3798E+02,,,,
4,4.4754E+05,0.0000E+00,0.0000E+00,3.4581E+05,1.0173E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7383E+04,6.9887E+04,1.0487E+05,1.4367E+05,6.6054E+03,8.4520E+03,1.8045E+04,1.7522E+04,2.3927E+04,6.1734E+03,7.6625E+03,1.6112E+03,1.8158E+03,3.6502E+03,2.4249E+03,3.2501E+03,2.4390E+02,1.2727E+02,2.2303E+02,,,,
4.1268,4.1497E+05,0.0000E+00,0.0000E+00,3.2047E+05,9.4496E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6518E+04,6.6028E+04,9.6031E+04,1.3189E+05,6.2765E+03,8.0410E+03,1.7009E+04,1.6224E+04,2.2110E+04,5.5078E+03,6.8308E+03,1.5267E+03,1.7223E+03,3.4359E+03,2.2466E+03,3.0051E+03,2.3080E+02,1.2050E+02,2.0989E+02,,,,
4.1599,4.2511E+05,0.0000E+00,0.0000E+00,3.3238E+05,9.2728E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7873E+04,2.6330E+04,6.5062E+04,9.4082E+04,1.2904E+05,6.1949E+03,7.9383E+03,1.6753E+04,1.5906E+04,2.1666E+04,5.3491E+03,6.6326E+03,1.5058E+03,1.6991E+03,3.3829E+03,2.2029E+03,2.9452E+03,2.2757E+02,1.1883E+02,2.0665E+02,,,,
5,2.7226E+05,0.0000E+00,0.0000E+00,2.1250E+05,5.9752E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3918E+04,2.0719E+04,4.6415E+04,5.5983E+04,7.5469E+04,4.5593E+03,5.8424E+03,1.1706E+04,9.9533E+03,1.3389E+04,2.6963E+03,3.3266E+03,1.0913E+03,1.2324E+03,2.3478E+03,1.3837E+03,1.8283E+03,1.6376E+02,8.8665E+01,1.4328E+02,,,,
6,1.7380E+05,0.0000E+00,0.0000E+00,1.3543E+05,3.8378E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0517E+04,1.5757E+04,3.2758E+04,3.2770E+04,4.3622E+04,3.3303E+03,4.2310E+03,8.0768E+03,6.1086E+03,8.1160E+03,1.3407E+03,1.6455E+03,7.8746E+02,8.8299E+02,1.6120E+03,8.5338E+02,1.1141E+03,1.1742E+02,6.3466E+01,9.8319E+01,,,,
8,8.4356E+04,0.0000E+00,0.0000E+00,6.5510E+04,1.8847E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.7243E+03,9.6273E+03,1.8019E+04,1.3499E+04,1.7640E+04,1.9905E+03,2.4539E+03,4.3589E+03,2.7056E+03,3.5237E+03,4.2877E+02,5.2170E+02,4.6399E+02,5.0645E+02,8.6599E+02,3.8127E+02,4.8812E+02,6.8598E+01,3.6371E+01,5.2783E+01,,,,
10,4.7705E+04,0.0000E+00,0.0000E+00,3.6950E+04,1.0756E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.6038E+03,6.2711E+03,1.0967E+04,6.6063E+03,8.5013E+03,1.3154E+03,1.5634E+03,2.6328E+03,1.3897E+03,1.7810E+03,1.7205E+02,2.0782E+02,3.0423E+02,3.2100E+02,5.2217E+02,1.9718E+02,2.4844E+02,4.5529E+01,2.3047E+01,3.1819E+01,,,,
13.802,2.0701E+04,0.0000E+00,0.0000E+00,1.5975E+04,4.7259E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5657E+03,3.1938E+03,5.1078E+03,2.2638E+03,2.8437E+03,7.0820E+02,7.8293E+02,1.2230E+03,5.0571E+02,6.3231E+02,4.4181E+01,5.2750E+01,1.6239E+02,1.6003E+02,2.4238E+02,7.2418E+01,8.9026E+01,2.4283E+01,1.1491E+01,1.4768E+01,,,,
13.913,5.0226E+04,0.0000E+00,2.9952E+04,1.5644E+04,4.6299E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.9952E+04,2.5278E+03,3.1382E+03,5.0089E+03,2.2033E+03,2.7659E+03,6.9721E+02,7.6920E+02,1.1993E+03,4.9287E+02,6.1587E+02,4.2694E+01,5.0960E+01,1.5984E+02,1.5721E+02,2.3769E+02,7.0595E+01,8.6731E+01,2.3902E+01,1.1289E+01,1.4482E+01,,,,
15,4.1090E+04,0.0000E+00,2.4439E+04,1.2837E+04,3.8137E+03,0.0000E+00,0.0000E+00,0.0000E+00,2.4439E+04,2.1942E+03,2.6553E+03,4.1563E+03,1.7041E+03,2.1274E+03,6.0120E+02,6.5003E+02,9.9610E+02,3.8614E+02,4.7959E+02,3.0869E+01,3.6738E+01,1.3761E+02,1.3277E+02,1.9742E+02,5.5424E+01,6.7678E+01,2.0575E+01,9.5345E+00,1.2028E+01,,,,
16.282,3.2855E+04,0.0000E+00,1.9427E+04,1.0343E+04,3.0845E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.9427E+04,1.8743E+03,2.2079E+03,3.3822E+03,1.2852E+03,1.5936E+03,5.1076E+02,5.3955E+02,8.1132E+02,2.9499E+02,3.6393E+02,2.1617E+01,2.5642E+01,1.1673E+02,1.1014E+02,1.6081E+02,4.2430E+01,5.1466E+01,1.7450E+01,7.9099E+00,9.7973E+00,,,,
16.412,4.5049E+04,0.0000E+00,3.1899E+04,1.0128E+04,3.0214E+03,0.0000E+00,0.0000E+00,1.2880E+04,1.9020E+04,1.8456E+03,2.1682E+03,3.3147E+03,1.2502E+03,1.5491E+03,5.0269E+02,5.2977E+02,7.9516E+02,2.8732E+02,3.5423E+02,2.0878E+01,2.4757E+01,1.1486E+02,1.0814E+02,1.5762E+02,4.1341E+01,5.0105E+01,1.7172E+01,7.7664E+00,9.6024E+00,,,,
16.913,4.1852E+04,0.0000E+00,2.9703E+04,9.3546E+03,2.7946E+03,0.0000E+00,0.0000E+00,1.2146E+04,1.7557E+04,1.7413E+03,2.0238E+03,3.0709E+03,1.1263E+03,1.3922E+03,4.7332E+02,4.9437E+02,7.3691E+02,2.6007E+02,3.1983E+02,1.8306E+01,2.1680E+01,1.0809E+02,1.0090E+02,1.4608E+02,3.7449E+01,4.5276E+01,1.6159E+01,7.2466E+00,8.8998E+00,,,,
17.049,4.7415E+04,0.0000E+00,3.5518E+04,9.1594E+03,2.7373E+03,0.0000E+00,6.4375E+03,1.1894E+04,1.7186E+04,1.7146E+03,1.9869E+03,3.0090E+03,1.0955E+03,1.3533E+03,4.6581E+02,4.8536E+02,7.2215E+02,2.5326E+02,3.1126E+02,1.7678E+01,2.0929E+01,1.0636E+02,9.9056E+01,1.4316E+02,3.6476E+01,4.4071E+01,1.5900E+01,7.1142E+00,8.7216E+00,,,,
20,3.1577E+04,0.0000E+00,2.3774E+04,5.9979E+03,1.8051E+03,0.0000E+00,4.8639E+03,7.8852E+03,1.1025E+04,1.2522E+03,1.3675E+03,1.9893E+03,6.2592E+02,7.6296E+02,3.3701E+02,3.3389E+02,4.7885E+02,1.4806E+02,1.7950E+02,8.7407E+00,1.0277E+01,7.6759E+01,6.8104E+01,9.4979E+01,2.1411E+01,2.5341E+01,1.1473E+01,4.8925E+00,5.7862E+00,,,,
30,1.0930E+04,0.0000E+00,8.2848E+03,2.0256E+03,6.1930E+02,0.0000E+00,2.2678E+03,2.6794E+03,3.3375E+03,5.4452E+02,5.0279E+02,6.6197E+02,1.4544E+02,1.7085E+02,1.4409E+02,1.2331E+02,1.6093E+02,3.6088E+01,4.2142E+01,1.4098E+00,1.6255E+00,3.2671E+01,2.5155E+01,3.1989E+01,5.2612E+00,5.9986E+00,4.8816E+00,1.8081E+00,1.9486E+00,,,,
40,5.0782E+03,0.0000E+00,3.8609E+03,9.3017E+02,2.8709E+02,0.0000E+00,1.2606E+03,1.2043E+03,1.3961E+03,2.9301E+02,2.3785E+02,2.9179E+02,5.0218E+01,5.7313E+01,7.6955E+01,5.8646E+01,7.1467E+01,1.2798E+01,1.4516E+01,3.7825E-01,4.2945E-01,1.7415E+01,1.1975E+01,1.4234E+01,1.8747E+00,2.0761E+00,2.6015E+00,8.6103E-01,8.6690E-01,,,,
50,2.7813E+03,0.0000E+00,2.1174E+03,5.0650E+02,1.5738E+02,0.0000E+00,7.8008E+02,6.3788E+02,6.9946E+02,1.7833E+02,1.3061E+02,1.5159E+02,2.1745E+01,2.4231E+01,4.6654E+01,3.2362E+01,3.7346E+01,5.6395E+00,6.2453E+00,1.3530E-01,1.5165E-01,1.0548E+01,6.6141E+00,7.4509E+00,8.2876E-01,8.9610E-01,1.5753E+00,4.7569E-01,4.5366E-01,,,,
60,1.6945E+03,0.0000E+00,1.2910E+03,3.0752E+02,9.6020E+01,0.0000E+00,5.1965E+02,3.7674E+02,3.9458E+02,1.1769E+02,7.9215E+01,8.7799E+01,1.0911E+01,1.1913E+01,3.0719E+01,1.9707E+01,2.1732E+01,2.8652E+00,3.1092E+00,5.8239E-02,6.4548E-02,6.9420E+00,4.0320E+00,4.3306E+00,4.2204E-01,4.4712E-01,1.0365E+00,2.8995E-01,2.6428E-01,,,,
80,7.7162E+02,0.0000E+00,5.8827E+02,1.3948E+02,4.3869E+01,0.0000E+00,2.6767E+02,1.6247E+02,1.5814E+02,6.0042E+01,3.5441E+01,3.6479E+01,3.6565E+00,3.8621E+00,1.5637E+01,8.8723E+00,9.0909E+00,9.7594E-01,1.0248E+00,1.5431E-02,1.6786E-02,3.5334E+00,1.8271E+00,1.8142E+00,1.4423E-01,1.4784E-01,5.2723E-01,1.3073E-01,1.1074E-01,,,,
93.406,5.0430E+02,0.0000E+00,3.8455E+02,9.1018E+01,2.8729E+01,0.0000E+00,1.8532E+02,1.0295E+02,9.6279E+01,4.1456E+01,2.2847E+01,2.2583E+01,2.0281E+00,2.1040E+00,1.0789E+01,5.7376E+00,5.6464E+00,5.4530E-01,5.6250E-01,7.5425E-03,8.0454E-03,2.4433E+00,1.1824E+00,1.1276E+00,8.0703E-02,8.1259E-02,3.6367E-01,8.4603E-02,6.8837E-02,,,,
94.153,2.2895E+03,1.7961E+03,3.7622E+02,8.9039E+01,2.8109E+01,1.7961E+03,1.8181E+02,1.0056E+02,9.3847E+01,4.0667E+01,2.2335E+01,2.2030E+01,1.9676E+00,2.0392E+00,1.0583E+01,5.6098E+00,5.5091E+00,5.2919E-01,5.4540E-01,7.2716E-03,7.7520E-03,2.3967E+00,1.1561E+00,1.1002E+00,7.8326E-02,7.8793E-02,3.5674E-01,8.2721E-02,6.7165E-02,,,,
100,1.9661E+03,1.5480E+03,3.1881E+02,7.5414E+01,2.3837E+01,1.5480E+03,1.5729E+02,8.4184E+01,7.7340E+01,3.5161E+01,1.8813E+01,1.8264E+01,1.5650E+00,1.6108E+00,9.1486E+00,4.7308E+00,4.5729E+00,4.2200E-01,4.3196E-01,5.5186E-03,5.8584E-03,2.0716E+00,9.7521E-01,9.1347E-01,6.2496E-02,6.2435E-02,3.0835E-01,6.9778E-02,5.5768E-02,,,,
150,6.8103E+02,5.4372E+02,1.0474E+02,2.4706E+01,7.8662E+00,5.4372E+02,5.8237E+01,2.5460E+01,2.1040E+01,1.2996E+01,5.8959E+00,5.1404E+00,3.3946E-01,3.3439E-01,3.3800E+00,1.4929E+00,1.2962E+00,9.2836E-02,9.1029E-02,8.8969E-04,9.1805E-04,7.6514E-01,3.0823E-01,2.5931E-01,1.3794E-02,1.3194E-02,1.1388E-01,2.2056E-02,1.5837E-02,,,,
200,3.1935E+02,2.5663E+02,4.7846E+01,1.1272E+01,3.6037E+00,2.5663E+02,2.8422E+01,1.0990E+01,8.4341E+00,6.3489E+00,2.5948E+00,2.0985E+00,1.1714E-01,1.1256E-01,1.6516E+00,6.5961E-01,5.3125E-01,3.2275E-02,3.0734E-02,2.5180E-04,2.5623E-04,3.7384E-01,1.3631E-01,1.0637E-01,4.8050E-03,4.4842E-03,5.5639E-02,9.7542E-03,6.4978E-03,,,,
300,1.1114E+02,8.9843E+01,1.6249E+01,3.8222E+00,1.2274E+00,8.9843E+01,1.0371E+01,3.4646E+00,2.4132E+00,2.3221E+00,8.3480E-01,6.1171E-01,2.7552E-02,2.6009E-02,6.0448E-01,2.1309E-01,1.5524E-01,7.6596E-03,7.1583E-03,4.5891E-05,4.6706E-05,1.3680E-01,4.4090E-02,3.1163E-02,1.1409E-03,1.0464E-03,2.0360E-02,3.1551E-03,1.9046E-03,,,,
400,5.3973E+01,4.3781E+01,7.7770E+00,1.8270E+00,5.8815E-01,4.3781E+01,5.1591E+00,1.5804E+00,1.0375E+00,1.1567E+00,3.8469E-01,2.6532E-01,1.0452E-02,9.9000E-03,3.0113E-01,9.8527E-02,6.7464E-02,2.9186E-03,2.7328E-03,1.5002E-05,1.5643E-05,6.8161E-02,2.0373E-02,1.3550E-02,4.3477E-04,4.0012E-04,1.0145E-02,1.4581E-03,8.2857E-04,,,,
500,3.1534E+01,2.5648E+01,4.4925E+00,1.0541E+00,3.3981E-01,2.5648E+01,3.0541E+00,8.8182E-01,5.5659E-01,6.8513E-01,2.1590E-01,1.4304E-01,5.0924E-03,4.8942E-03,1.7839E-01,5.5378E-02,3.6415E-02,1.4248E-03,1.3549E-03,6.5419E-06,7.0132E-06,4.0380E-02,1.1453E-02,7.3144E-03,2.1254E-04,1.9842E-04,6.0104E-03,8.1976E-04,4.4762E-04,,,,
600,2.0686E+01,1.6862E+01,2.9196E+00,6.8421E-01,2.2079E-01,1.6862E+01,2.0184E+00,5.5830E-01,3.4284E-01,4.5289E-01,1.3720E-01,8.8368E-02,2.9077E-03,2.8482E-03,1.1792E-01,3.5229E-02,2.2512E-02,8.1445E-04,7.9077E-04,3.4640E-06,3.7464E-06,2.6692E-02,7.2869E-03,4.5220E-03,1.2157E-04,1.1560E-04,3.9734E-03,5.2162E-04,2.7697E-04,,,,
800,1.1005E+01,9.0001E+00,1.5312E+00,3.5813E-01,1.1567E-01,9.0001E+00,1.0811E+00,2.8260E-01,1.6741E-01,2.4255E-01,6.9732E-02,4.3289E-02,1.2687E-03,1.2885E-03,6.3146E-02,1.7927E-02,1.1027E-02,3.5721E-04,3.5876E-04,1.3140E-06,1.5813E-06,1.4293E-02,3.7084E-03,2.2164E-03,5.3197E-05,5.2641E-05,2.1282E-03,2.6563E-04,1.3606E-04,,,,
1000,6.9430E+00,5.6906E+00,9.5672E-01,2.2346E-01,7.2207E-02,5.6906E+00,6.8349E-01,1.7308E-01,1.0015E-01,1.5330E-01,4.2839E-02,2.5869E-02,7.0752E-04,7.4295E-04,3.9900E-02,1.1006E-02,6.6071E-03,1.9903E-04,2.0678E-04,7.2147E-07,8.3710E-07,9.0310E-03,2.2773E-03,1.3279E-03,2.9708E-05,3.0338E-05,1.3452E-03,1.6326E-04,8.1764E-05,,,,
1500,3.1934E+00,2.6251E+00,4.3439E-01,1.0123E-01,3.2724E-02,2.6251E+00,3.1420E-01,7.7163E-02,4.3021E-02,7.0386E-02,1.9145E-02,1.1128E-02,2.7450E-04,2.9962E-04,1.8317E-02,4.9209E-03,2.8379E-03,7.7017E-05,8.4131E-05,2.8152E-07,3.1189E-07,4.1460E-03,1.0181E-03,5.7089E-04,1.1442E-05,1.2418E-05,6.1870E-04,7.3328E-05,3.5572E-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,2,1.33,2.67,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
