PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
10,7.7287E+04,0.0000E+00,5.9779E+04,1.4089E+04,3.4195E+03,0.0000E+00,1.1248E+04,1.8296E+04,3.0234E+04,2.8006E+03,2.8630E+03,4.7956E+03,1.5577E+03,2.0716E+03,6.9246E+02,6.2709E+02,1.0358E+03,3.0463E+02,4.0267E+02,7.5654E+00,9.1858E+00,1.1493E+02,8.3255E+01,1.3269E+02,9.2082E+00,,,,,,,,
15,2.6758E+04,0.0000E+00,2.0832E+04,4.7401E+03,1.1861E+03,0.0000E+00,5.4023E+03,6.0746E+03,9.3552E+03,1.2326E+03,1.0371E+03,1.6388E+03,3.6140E+02,4.7011E+02,2.9955E+02,2.2810E+02,3.5664E+02,7.4026E+01,9.5666E+01,1.1974E+00,1.4371E+00,4.9496E+01,3.0270E+01,4.5724E+01,3.9676E+00,,,,,,,,
20,1.2374E+04,0.0000E+00,9.6564E+03,2.1654E+03,5.5177E+02,0.0000E+00,3.0357E+03,2.6789E+03,3.9418E+03,6.6955E+02,4.8287E+02,7.3179E+02,1.2342E+02,1.5773E+02,1.6140E+02,1.0676E+02,1.6033E+02,2.5958E+01,3.2948E+01,3.1435E-01,3.7387E-01,2.6618E+01,1.4353E+01,2.0578E+01,2.1339E+00,,,,,,,,
30,4.0877E+03,0.0000E+00,3.1953E+03,7.0798E+02,1.8437E+02,0.0000E+00,1.2722E+03,8.0682E+02,1.1164E+03,2.7224E+02,1.5565E+02,2.2194E+02,2.5938E+01,3.2219E+01,6.5191E+01,3.4734E+01,4.9123E+01,5.6226E+00,6.9364E+00,4.5674E-02,5.3501E-02,1.0805E+01,4.6772E+00,6.3155E+00,8.6055E-01,,,,,,,,
40,1.8412E+03,0.0000E+00,1.4400E+03,3.1753E+02,8.3729E+01,0.0000E+00,6.6003E+02,3.3592E+02,4.4401E+02,1.3974E+02,6.7424E+01,9.1846E+01,8.3654E+00,1.0157E+01,3.3381E+01,1.5144E+01,2.0469E+01,1.8428E+00,2.2226E+00,1.1356E-02,1.3132E-02,5.5297E+00,2.0415E+00,2.6345E+00,4.4035E-01,,,,,,,,
50,9.8682E+02,0.0000E+00,7.7193E+02,1.6976E+02,4.5137E+01,0.0000E+00,3.8918E+02,1.6827E+02,2.1447E+02,8.1986E+01,3.4691E+01,4.5534E+01,3.4445E+00,4.1026E+00,1.9564E+01,7.8278E+00,1.0196E+01,7.6642E-01,9.0705E-01,3.8444E-03,4.3977E-03,3.2399E+00,1.0561E+00,1.3133E+00,2.5800E-01,,,,,,,,
53.818,8.0266E+02,0.0000E+00,6.2789E+02,1.3799E+02,3.6781E+01,0.0000E+00,3.2578E+02,1.3376E+02,1.6835E+02,6.8562E+01,2.7794E+01,3.6024E+01,2.5675E+00,3.0379E+00,1.6357E+01,6.2805E+00,8.0780E+00,5.7294E-01,6.7373E-01,2.6899E-03,3.0654E-03,2.7086E+00,8.4751E-01,1.0408E+00,2.1569E-01,,,,,,,,
54.249,4.2830E+03,3.4982E+03,6.1397E+02,1.3492E+02,3.5973E+01,3.4982E+03,3.1952E+02,1.3047E+02,1.6398E+02,6.7241E+01,2.7132E+01,3.5118E+01,2.4869E+00,2.9405E+00,1.6042E+01,6.1319E+00,7.8760E+00,5.5512E-01,6.5234E-01,2.5879E-03,2.9478E-03,2.6563E+00,8.2749E-01,1.0148E+00,2.1153E-01,,,,,,,,
60,3.2744E+03,2.6833E+03,4.6243E+02,1.0153E+02,2.7158E+01,2.6833E+03,2.4976E+02,9.5139E+01,1.1753E+02,5.2505E+01,1.9990E+01,2.5424E+01,1.6619E+00,1.9469E+00,1.2523E+01,4.5263E+00,5.7125E+00,3.7233E-01,4.3364E-01,1.5876E-03,1.7989E-03,2.0735E+00,6.1101E-01,7.3628E-01,1.6512E-01,,,,,,,,
80,1.5347E+03,1.2724E+03,2.0515E+02,4.4958E+01,1.2125E+01,1.2724E+03,1.2163E+02,3.8425E+01,4.5092E+01,2.5551E+01,8.2832E+00,9.9998E+00,5.2544E-01,5.9909E-01,6.0935E+00,1.8846E+00,2.2578E+00,1.1885E-01,1.3404E-01,3.9617E-04,4.4182E-04,1.0087E+00,2.5462E-01,2.9125E-01,8.0321E-02,,,,,,,,
