PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
15,4.7443E+03,0.0000E+00,3.9255E+03,7.0529E+02,1.1342E+02,0.0000E+00,1.8480E+03,7.7359E+02,1.3040E+03,3.3068E+02,1.2661E+02,2.1489E+02,1.3976E+01,1.9136E+01,5.8136E+01,1.9109E+01,3.2310E+01,7.2554E-01,9.7737E-01,2.1627E+00,,,,,,,,,,,,,
20,2.1098E+03,0.0000E+00,1.7444E+03,3.1381E+02,5.1634E+01,0.0000E+00,9.3586E+02,3.0501E+02,5.0350E+02,1.6659E+02,5.1567E+01,8.5700E+01,4.2269E+00,5.7191E+00,2.9263E+01,7.8200E+00,1.2946E+01,2.2124E-01,2.9452E-01,1.0882E+00,,,,,,,,,,,,,
20.991,1.8396E+03,0.0000E+00,1.5208E+03,2.7363E+02,4.5178E+01,0.0000E+00,8.3243E+02,2.6027E+02,4.2811E+02,1.4809E+02,4.4218E+01,7.3214E+01,3.4494E+00,4.6569E+00,2.6012E+01,6.7102E+00,1.1068E+01,1.8076E-01,2.4011E-01,9.6721E-01,,,,,,,,,,,,,
21.159,1.1827E+04,1.0028E+04,1.4868E+03,2.6751E+02,4.4193E+01,1.0028E+04,8.1645E+02,2.5355E+02,4.1678E+02,1.4523E+02,4.3109E+01,7.1332E+01,3.3355E+00,4.5015E+00,2.5510E+01,6.5426E+00,1.0786E+01,1.7483E-01,2.3214E-01,9.4854E-01,,,,,,,,,,,,,
30,4.7541E+03,4.0902E+03,5.4841E+02,9.8824E+01,1.6679E+01,4.0902E+03,3.4213E+02,7.9409E+01,1.2688E+02,6.0775E+01,1.3915E+01,2.2371E+01,7.5804E-01,1.0055E+00,1.0677E+01,2.1251E+00,3.3880E+00,4.0027E-02,5.2237E-02,3.9676E-01,,,,,,,,,,,,,
40,2.1644E+03,1.8748E+03,2.3908E+02,4.3136E+01,7.3862E+00,1.8748E+03,1.6244E+02,2.9978E+01,4.6664E+01,2.8881E+01,5.3576E+00,8.3881E+00,2.2093E-01,2.8838E-01,5.0760E+00,8.2068E-01,1.2742E+00,1.1719E-02,1.5048E-02,1.8855E-01,,,,,,,,,,,,,
50,1.1605E+03,1.0091E+03,1.2493E+02,2.2564E+01,3.8992E+00,1.0091E+03,8.9708E+01,1.3966E+01,2.1261E+01,1.5972E+01,2.5281E+00,3.8699E+00,8.4619E-02,1.0896E-01,2.8077E+00,3.8802E-01,5.8900E-01,4.5014E-03,5.7018E-03,1.0430E-01,,,,,,,,,,,,,
60,6.9191E+02,6.0307E+02,7.3287E+01,1.3248E+01,2.3042E+00,6.0307E+02,5.4703E+01,7.4549E+00,1.1129E+01,9.7546E+00,1.3617E+00,2.0437E+00,3.8631E-02,4.9162E-02,1.7151E+00,2.0931E-01,3.1151E-01,2.0594E-03,2.5774E-03,6.3710E-02,,,,,,,,,,,,,
80,3.0237E+02,2.6425E+02,3.1429E+01,5.6891E+00,9.9803E-01,2.6425E+02,2.4684E+01,2.7602E+00,3.9855E+00,4.4132E+00,5.1015E-01,7.4043E-01,1.1254E-02,1.4047E-02,7.7621E-01,7.8575E-02,1.1307E-01,6.0151E-04,7.3822E-04,2.8836E-02,,,,,,,,,,,,,
100,1.5788E+02,1.3817E+02,1.6247E+01,2.9438E+00,5.1925E-01,1.3817E+02,1.3173E+01,1.2785E+00,1.7954E+00,2.3601E+00,2.3802E-01,3.3602E-01,4.3585E-03,5.3610E-03,4.1521E-01,3.6716E-02,5.1375E-02,2.3345E-04,2.8224E-04,1.5426E-02,,,,,,,,,,,,,
150,4.8058E+01,4.2122E+01,4.8906E+00,8.8766E-01,1.5776E-01,4.2122E+01,4.1436E+00,3.2034E-01,4.2664E-01,7.4498E-01,6.0231E-02,8.0676E-02,8.0687E-04,9.6056E-04,1.3113E-01,9.3129E-03,1.2355E-02,4.3214E-05,5.1013E-05,4.8723E-03,,,,,,,,,,,,,
200,2.0709E+01,1.8161E+01,2.0986E+00,3.8132E-01,6.8038E-02,1.8161E+01,1.8185E+00,1.2264E-01,1.5746E-01,3.2766E-01,2.3218E-02,2.9889E-02,2.5313E-04,2.9839E-04,5.7688E-02,3.5883E-03,4.5882E-03,1.3560E-05,1.5872E-05,2.1437E-03,,,,,,,,,,,,,
300,6.4772E+00,5.6827E+00,6.5418E-01,1.1894E-01,2.1319E-02,5.6827E+00,5.7975E-01,3.3364E-02,4.1068E-02,1.0463E-01,6.3532E-03,7.8379E-03,5.3425E-05,6.3258E-05,1.8440E-02,9.8266E-04,1.2042E-03,2.8583E-06,3.3771E-06,6.8544E-04,,,,,,,,,,,,,
400,2.9397E+00,2.5798E+00,2.9631E-01,5.3904E-02,9.6807E-03,2.5798E+00,2.6552E-01,1.3922E-02,1.6860E-02,4.7977E-02,2.6596E-03,3.2259E-03,1.8870E-05,2.3032E-05,8.4568E-03,4.1145E-04,4.9574E-04,1.0098E-06,1.2322E-06,3.1449E-04,,,,,,,,,,,,,
500,1.6415E+00,1.4409E+00,1.6515E-01,3.0050E-02,5.4031E-03,1.4409E+00,1.4897E-01,7.3250E-03,8.8551E-03,2.6932E-02,1.4026E-03,1.6955E-03,8.8028E-06,1.1286E-05,4.7477E-03,2.1689E-04,2.6076E-04,4.7240E-07,5.9915E-07,1.7666E-04,,,,,,,,,,,,,
600,1.0444E+00,9.1702E-01,1.0487E-01,1.9083E-02,3.4340E-03,9.1702E-01,9.5014E-02,4.4469E-03,5.4100E-03,1.7183E-02,8.5267E-04,1.0360E-03,4.8817E-06,6.5222E-06,3.0292E-03,1.3187E-04,1.5945E-04,2.6177E-07,3.4715E-07,1.1281E-04,,,,,,,,,,,,,
800,5.3743E-01,4.7212E-01,5.3770E-02,9.7826E-03,1.7621E-03,4.7212E-01,4.8992E-02,2.1353E-03,2.6425E-03,8.8606E-03,4.0882E-04,5.0824E-04,2.0574E-06,2.9209E-06,1.5621E-03,6.3255E-05,7.8165E-05,1.0952E-07,1.5830E-07,5.8309E-05,,,,,,,,,,,,,
1000,3.3504E-01,2.9445E-01,3.3413E-02,6.0777E-03,1.0956E-03,2.9445E-01,3.0547E-02,1.2627E-03,1.6031E-03,5.5249E-03,2.4231E-04,3.0764E-04,1.1037E-06,1.7355E-06,9.7409E-04,3.7439E-05,4.7389E-05,5.9098E-08,9.2048E-08,3.6484E-05,,,,,,,,,,,,,
1500,1.5523E-01,1.3653E-01,1.5393E-02,2.7989E-03,5.0519E-04,1.3653E-01,1.4140E-02,5.3921E-04,7.1418E-04,2.5568E-03,1.0323E-04,1.3769E-04,4.3326E-07,7.4501E-07,4.5083E-04,1.5947E-05,2.1220E-05,2.1841E-08,3.9401E-08,1.7125E-05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,2.4,3.6,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
