PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
30,1.4989E+03,0.0000E+00,1.2062E+03,2.3968E+02,5.3026E+01,0.0000E+00,6.3415E+02,2.2780E+02,3.4427E+02,1.2275E+02,4.2598E+01,6.5332E+01,3.9223E+00,5.0766E+00,2.5947E+01,8.2555E+00,1.2607E+01,6.5156E-01,8.3499E-01,3.4654E+00,5.1590E-01,7.4791E-01,,,,,,,,,,,
31.776,1.2737E+03,0.0000E+00,1.0249E+03,2.0363E+02,4.5173E+01,0.0000E+00,5.5154E+02,1.8920E+02,2.8417E+02,1.0670E+02,3.5597E+01,5.4248E+01,3.0936E+00,3.9896E+00,2.2551E+01,6.9053E+00,1.0479E+01,5.1492E-01,6.5751E-01,3.0117E+00,4.3158E-01,6.2173E-01,,,,,,,,,,,
32.03,7.5898E+03,6.3445E+03,1.0020E+03,1.9907E+02,4.4179E+01,6.3445E+03,5.4094E+02,1.8438E+02,2.7669E+02,1.0464E+02,3.4719E+01,5.2863E+01,2.9933E+00,3.8583E+00,2.2115E+01,6.7359E+00,1.0213E+01,4.9836E-01,6.3604E-01,2.9535E+00,4.2100E-01,6.0595E-01,,,,,,,,,,,
40,4.2544E+03,3.5923E+03,5.3263E+02,1.0575E+02,2.3701E+01,3.5923E+03,3.1227E+02,8.9462E+01,1.3090E+02,6.0320E+01,1.7202E+01,2.5530E+01,1.1901E+00,1.5116E+00,1.2746E+01,3.3494E+00,4.9500E+00,1.9947E-01,2.5090E-01,1.7018E+00,2.0943E-01,2.9383E-01,,,,,,,,,,,
50,2.3341E+03,1.9845E+03,2.8117E+02,5.5807E+01,1.2617E+01,1.9845E+03,1.7711E+02,4.2927E+01,6.1137E+01,3.4213E+01,8.4041E+00,1.2135E+01,4.6887E-01,5.8608E-01,7.2307E+00,1.6415E+00,2.3604E+00,7.9038E-02,9.7813E-02,9.6518E-01,1.0267E-01,1.4016E-01,,,,,,,,,,,
60,1.4171E+03,1.2102E+03,1.6636E+02,3.3016E+01,7.5097E+00,1.2102E+03,1.1027E+02,2.3457E+01,3.2633E+01,2.1319E+01,4.6508E+00,6.5576E+00,2.1881E-01,2.6978E-01,4.5071E+00,9.1055E-01,1.2755E+00,3.7028E-02,4.5208E-02,6.0148E-01,5.6962E-02,7.5937E-02,,,,,,,,,,,
80,6.3475E+02,5.4473E+02,7.2366E+01,1.4362E+01,3.2965E+00,5.4473E+02,5.1335E+01,8.9978E+00,1.2033E+01,9.9446E+00,1.8143E+00,2.4578E+00,6.5917E-02,7.9465E-02,2.1043E+00,3.5659E-01,4.7950E-01,1.1210E-02,1.3378E-02,2.8067E-01,2.2298E-02,2.8560E-02,,,,,,,,,,,
100,3.3731E+02,2.9023E+02,3.7836E+01,7.5110E+00,1.7330E+00,2.9023E+02,2.8023E+01,4.2767E+00,5.5359E+00,5.4396E+00,8.7164E-01,1.1426E+00,2.6161E-02,3.0996E-02,1.1506E+00,1.7166E-01,2.2336E-01,4.4641E-03,5.2344E-03,1.5358E-01,1.0736E-02,1.3308E-02,,,,,,,,,,,
150,1.0567E+02,9.1185E+01,1.1634E+01,2.3112E+00,5.3762E-01,9.1185E+01,9.1540E+00,1.1187E+00,1.3612E+00,1.7837E+00,2.3147E-01,2.8514E-01,5.0240E-03,5.7901E-03,3.7756E-01,4.5727E-02,5.5893E-02,8.6101E-04,9.8232E-04,5.0402E-02,2.8605E-03,3.3319E-03,,,,,,,,,,,
200,4.6373E+01,4.0062E+01,5.0680E+00,1.0074E+00,2.3538E-01,4.0062E+01,4.1150E+00,4.4013E-01,5.1289E-01,8.0389E-01,9.1783E-02,1.0828E-01,1.6125E-03,1.8364E-03,1.7024E-01,1.8165E-02,2.1254E-02,2.7710E-04,3.1213E-04,2.2727E-02,1.1364E-03,1.2675E-03,,,,,,,,,,,
300,1.4842E+01,1.2834E+01,1.6118E+00,3.2063E-01,7.5258E-02,1.2834E+01,1.3512E+00,1.2378E-01,1.3690E-01,2.6474E-01,2.6010E-02,2.9135E-02,3.4995E-04,3.9565E-04,5.6092E-02,5.1590E-03,5.7260E-03,6.0108E-05,6.7944E-05,7.4893E-03,3.2271E-04,3.4164E-04,,,,,,,,,,,
400,6.8310E+00,5.9102E+00,7.3918E-01,1.4702E-01,3.4603E-02,5.9102E+00,6.2965E-01,5.2683E-02,5.6850E-02,1.2350E-01,1.1137E-02,1.2117E-02,1.2585E-04,1.4528E-04,2.6184E-02,2.2069E-03,2.3884E-03,2.1640E-05,2.5005E-05,3.4964E-03,1.3802E-04,1.4257E-04,,,,,,,,,,,
500,3.8490E+00,3.3318E+00,4.1518E-01,8.2581E-02,1.9463E-02,3.3318E+00,3.5709E-01,2.8074E-02,3.0017E-02,7.0092E-02,5.9486E-03,6.4108E-03,5.9212E-05,7.1065E-05,1.4863E-02,1.1796E-03,1.2637E-03,1.0199E-05,1.2193E-05,1.9849E-03,7.3753E-05,7.5509E-05,,,,,,,,,,,
600,2.4634E+00,2.1333E+00,2.6492E-01,5.2688E-02,1.2428E-02,2.1333E+00,2.2934E-01,1.7200E-02,1.8380E-02,4.5032E-02,3.6500E-03,3.9315E-03,3.2946E-05,4.1424E-05,9.5498E-03,7.2405E-04,7.7477E-04,5.6891E-06,7.0821E-06,1.2754E-03,4.5276E-05,4.6341E-05,,,,,,,,,,,
800,1.2753E+00,1.1054E+00,1.3641E-01,2.7121E-02,6.4044E-03,1.1054E+00,1.1906E-01,8.3434E-03,9.0085E-03,2.3385E-02,1.7754E-03,1.9277E-03,1.4183E-05,1.8663E-05,4.9591E-03,3.5209E-04,3.8024E-04,2.4154E-06,3.2289E-06,6.6255E-04,2.2025E-05,2.2790E-05,,,,,,,,,,,
1000,7.9643E-01,6.9078E-01,8.4813E-02,1.6851E-02,3.9824E-03,6.9078E-01,7.4393E-02,4.9704E-03,5.4487E-03,1.4609E-02,1.0592E-03,1.1650E-03,7.6747E-06,1.0825E-05,3.0981E-03,2.1000E-04,2.3000E-04,1.3167E-06,1.8625E-06,4.1413E-04,1.3146E-05,1.3828E-05,,,,,,,,,,,
1500,3.6793E-01,3.1951E-01,3.8877E-02,7.7194E-03,1.8260E-03,3.1951E-01,3.4324E-02,2.1398E-03,2.4131E-03,6.7391E-03,4.5606E-04,5.1668E-04,3.0645E-06,4.4312E-06,1.4290E-03,9.0349E-05,1.0205E-04,4.8722E-07,7.8227E-07,1.9144E-04,5.6776E-06,6.2034E-06,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,1.33,2.67,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
