Z,Element,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,6s1/2,7s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,6p1/2,6p3/2,3d3/2,3d5/2,4d3/2,4d5/2,5d3/2,5d5/2,4f5/2,4f7/2,5f5/2,5f7/2
29,Cu,8979,1096.7,122.5,,,,,952.3,932.7,77.3,75.1,,,,,,,,,,,,,,,,
30,Zn,9659,1196.2,139.8,,,,,1044.9,1021.8,91.4,88.6,,,,,,,10.2,10.1,,,,,,,,
31,Ga,10367,1299,159.5,,,,,1143.2,1116.4,103.5,100,,,,,,,18.7,18.7,,,,,,,,
32,Ge,11103,1414.6,180.1,,,,,1248.1,1217,124.9,120.8,,,,,,,29.8,29.2,,,,,,,,
33,As,11867,1527,204.7,,,,,1359.1,1323.6,146.2,141.2,,,,,,,41.7,41.7,,,,,,,,
34,Se,12658,1652,229.6,,,,,1474.3,1433.9,166.5,160.7,,,,,,,55.5,54.6,,,,,,,,
35,Br,13474,1782,257,,,,,1596,1550,189,182,,,,,,,70,69,,,,,,,,
36,Kr,14326,1921,292.8,27.5,,,,1730.9,1678.4,222.2,214.4,14.1,14.1,,,,,95,93.8,,,,,,,,
37,Rb,15200,2065,326.7,30.5,,,,1864,1804,248.7,239.1,16.3,15.3,,,,,113,112,,,,,,,,
38,Sr,16105,2216,358.7,38.9,,,,2007,1940,280.3,270,21.3,20.1,,,,,136,134.2,,,,,,,,
39,Y,17038,2373,392,43.8,,,,2156,2080,310.6,298.8,24.4,23.1,,,,,157.7,155.8,,,,,,,,
40,Zr,17998,2532,430.3,50.6,,,,2307,2223,343.5,329.8,28.5,27.1,,,,,181.1,178.8,,,,,,,,
41,Nb,18986,2698,466.6,56.4,,,,2465,2371,376.1,360.6,32.6,30.8,,,,,205,202.3,,,,,,,,
42,Mo,20000,2866,506.3,63.2,,,,2625,2520,411.6,394,37.6,35.5,,,,,231.1,227.9,,,,,,,,
43,Tc,21044,3043,544,69.5,,,,2793,2677,447.6,417.7,42.3,39.9,,,,,257.6,253.9,,,,,,,,
44,Ru,22117,3224,586.1,75,,,,2967,2838,483.5,461.4,46.3,43.2,,,,,284.2,280,,,,,,,,
45,Rh,23220,3412,628.1,81.4,,,,3146,3004,521.3,496.5,50.5,47.3,,,,,311.9,307.2,,,,,,,,
46,Pd,24350,3604,671.6,87.1,,,,3330,3173,559.9,532.3,55.7,50.9,,,,,340.5,335.2,,,,,,,,
47,Ag,25514,3806,719,97,,,,3524,3351,603.8,573,63.7,58.3,,,,,374,368.3,,,,,,,,
48,Cd,26711,4018,772,109.8,,,,3727,3538,652.6,618.4,63.9,63.9,,,,,411.9,405.2,11.7,10.7,,,,,,
49,In,27940,4238,827.2,122.9,,,,3938,3730,703.2,665.3,73.5,73.5,,,,,451.4,443.9,17.7,16.9,,,,,,
50,Sn,29200,4465,884.7,137.1,,,,4156,3929,756.5,714.6,83.6,83.6,,,,,493.2,484.9,24.9,23.9,,,,,,
51,Sb,30491,4698,946,153.2,,,,4380,4132,812.7,766.4,95.6,95.6,,,,,537.5,528.2,33.3,32.1,,,,,,
52,Te,31814,4939,1006,169.4,,,,4612,4341,870.8,820,103.3,103.3,,,,,583.4,573,41.9,40.4,,,,,,
53,I,33169,5188,1072,186,,,,4852,4557,931,875,123,123,,,,,630.8,619.3,50.6,48.9,,,,,,
54,Xe,34561,5453,1148.7,213.2,23.3,,,5107,4786,1002.1,940.6,146.7,145.5,13.4,12.1,,,689,676.4,69.5,67.5,,,,,,
55,Cs,35985,5714,1211,232.3,22.7,,,5359,5012,1071,1003,172.4,161.3,14.2,12.1,,,740.5,726.6,79.8,77.5,,,,,,
56,Ba,37441,5989,1293,253.5,30.3,,,5624,5247,1137,1063,192,178.6,17,14.8,,,795.7,780.5,92.6,89.9,,,,,,
57,La,38925,6266,1362,274.7,34.3,,,5891,5483,1209,1128,205.8,196,19.3,16.8,,,853,836,105.3,102.5,,,,,,
58,Ce,40443,6549,1436,291,37.8,,,6164,5723,1274,1187,223.2,206.5,19.8,17,,,902.4,883.8,109,,,,0.1,0.1,,
59,Pr,41991,6835,1511,304.5,37.4,,,6440,5964,1337,1242,236.3,217.6,22.3,22.3,,,948.3,928.8,115.1,115.1,,,2,2,,
60,Nd,43569,7126,1575,319.2,37.5,,,6722,6208,1403,1297,243.3,224.6,21.1,21.1,,,1003.3,980.4,120.5,120.5,,,1.5,1.5,,
61,Pm,45184,7428,,337,,,,7013,6459,1471,1357,242,242,,,,,1052,1027,120,120,,,,,,
62,Sm,46834,7737,1723,347.2,37.4,,,7312,6716,1541,1420,265.6,247.4,21.3,21.3,,,1110.9,1083.4,129,129,,,5.2,5.2,,
63,Eu,48519,8052,1800,360,32,,,7617,6977,1614,1481,284,257,22,22,,,1158.6,1127.5,133,127.7,,,0,0,,
64,Gd,50239,8376,1881,378.6,36,,,7930,7243,1688,1544,286,271,28,21,,,1221.9,1189.6,149,142.6,,,8.6,8.6,,
65,Tb,51996,8708,1968,396,45.6,,,8252,7514,1768,1611,322.4,284.1,28.7,22.6,,,1276.9,1241.1,150.5,150.5,,,7.7,2.4,,
66,Dy,53789,9046,2047,414.2,49.9,,,8581,7790,1842,1676,333.5,293.2,26.3,26.3,,,1333,1292.6,153.6,153.6,,,8,4.3,,
67,Ho,55618,9394,2128,432.4,49.3,,,8918,8071,1923,1741,343.5,308.2,30.8,24.1,,,1392,1351,160,160,,,8.6,5.2,,
68,Er,57486,9751,2207,449.8,50.6,,,9264,8358,2006,1812,366.2,320.2,31.4,24.7,,,1453,1409,167.6,167.6,,,,4.7,,
69,Tm,59390,10116,2307,470.9,54.7,,,9617,8648,2090,1885,385.9,332.6,31.8,25,,,1515,1468,175.5,175.5,,,,4.6,,
70,Yb,61332,10486,2398,480.5,52,,,9978,8944,2173,1950,388.7,339.7,30.3,24.1,,,1576,1528,191.2,182.4,,,2.5,1.3,,
71,Lu,63314,10870,2491,506.8,57.3,,,10349,9244,2264,2024,412.4,359.2,33.6,26.7,,,1639,1589,206.1,196.3,,,8.9,7.5,,
72,Hf,65351,11271,2601,538,64.2,,,10739,9561,2365,2108,438.2,380.7,38,29.9,,,1716,1662,220,211.5,,,15.9,14.2,,
73,Ta,67416,11682,2708,563.4,69.7,,,11136,9881,2469,2194,463.4,400.9,42.2,32.7,,,1793,1735,237.9,226.4,,,23.5,21.6,,
74,W,69525,12100,2820,594.1,75.6,,,11544,10207,2575,2281,490.4,423.6,45.3,36.8,,,1872,1809,255.9,243.5,,,33.6,31.4,,
75,Re,71676,12527,2932,625.4,83,,,11959,10535,2682,2367,518.7,446.8,45.6,34.6,,,1949,1883,273.9,260.5,,,42.9,40.5,,
76,Os,73871,12968,3049,658.2,,,,12385,10871,2792,2457,549.1,470.7,58,44.5,,,2031,1960,293.1,278.5,,,53.4,50.7,,
77,Ir,76111,13419,3174,691.1,95.2,,,12824,11215,2909,2551,577.8,495.8,63,48,,,2116,2040,311.9,296.3,,,63.8,60.8,,
78,Pt,78395,13880,3296,725.4,101.7,,,13273,11564,3027,2645,609.1,519.4,65.3,51.7,,,2202,2122,331.6,314.6,,,74.5,71.2,,
79,Au,80725,14353,3425,762.1,107.2,,,13734,11919,3148,2743,642.7,546.3,74.2,57.2,,,2291,2206,353.2,335.1,,,87.6,84,,
80,Hg,83102,14839,3562,802.2,127,,,14209,12284,3279,2847,680.2,576.6,83.1,64.5,,,2385,2295,378.2,358.8,9.6,7.8,104,99.9,,
81,Tl,85530,15347,3704,846.2,136,,,14698,12658,3416,2957,720.5,609.5,94.6,73.5,,,2485,2389,405.7,385,14.7,12.5,122.2,117.8,,
82,Pb,88005,15861,3851,891.8,147,,,15200,13035,3554,3066,761.9,643.5,106.4,83.3,,,2586,2484,434.3,412.2,20.7,18.1,141.7,136.9,,
83,Bi,90524,16388,3999,939,159.3,,,15711,13419,3696,3177,805.2,678.8,119,92.6,,,2688,2580,464,440.1,26.9,23.8,162.3,157,,
84,Po,93105,16939,4149,995,177,,,16244,13814,3854,3302,851,705,132,104,,,2798,2683,500,473,31,31,184,184,,
85,At,95730,17493,4317,1042,195,,,16785,14214,4008,3426,886,740,148,115,,,2909,2787,533,507,40,40,210,210,,
86,Rn,98404,18049,4482,1097,214,26,,17337,14619,4159,3538,929,768,164,127,,,3022,2892,567,541,48,48,238,238,,
87,Fr,101137,18639,4652,1153,234,34,,17907,15031,4327,3663,980,810,182,140,15,15,3136,3000,603,577,58,58,268,268,,
88,Ra,103922,19237,4822,1208,254,44,,18484,15444,4490,3792,1058,879,200,153,19,19,3248,3105,636,603,68,68,299,299,,
89,Ac,106755,19840,5002,1269,272,60,,19083,15871,4656,3909,1080,890,215,167,49,,3370,3219,675,639,80,80,319,319,,
90,Th,109651,20472,5182,1330,290,41.4,,19693,16300,4830,4046,1168,966.4,229,182,24.5,16.6,3491,3332,712.1,675.2,92.5,85.4,342.4,333.1,,
91,Pa,112601,21105,5367,1387,310,65,,20314,16733,5001,4174,1224,1007,232,232,42,,3611,3442,743,708,94,94,371,360,,
92,U,115606,21757,5548,1439,321,43.9,,20948,17166,5182,4303,1271,1043,257,192,26.8,16.8,3728,3552,778.3,736.2,102.8,94.2,388.2,377.4,,
93,Np,,,,,,,,,,,,,1086,,206,29,18,,,816,771,,101,414,402,,
94,Pu,,,,,,,,,,,,,1121,,216,31,18,,,850,802,,105,439,427,,
95,Am,,,,,351,,,,,,,,,,216,31,18,,,883,832,119,109,463,449,,
96,Cm,,,,,,,,,,,,,,,232,32,18,,,919,865,,113,487,473,,
97,Bk,,,,,,,,,,,,,,,246,34,18,,,958,901,,120,514,498,,
98,Cf,,,,,,,,,,,,,,,,35,19,,,994,933,,124,541,523,,
